catalog_id,evidence_id,protocol_or_spec,owner,version_or_date,status,canonical_url_or_identifier,cm4di_domains,primary_mapping_role,coverage_status,last_verified
PROTO-001,CM4DI-EVID0019,"OpenID Connect Core 1.0 + Errata Set 2","OpenID Foundation",2023-12-15,Final,"https://openid.net/specs/openid-connect-core-1_0.html","Federation;Authentication;Identity Information","OP/RP, subject identifier, ID Token, claims and authentication mappings","existing-summary_needs-exhaustive",2026-08-29
PROTO-002,CM4DI-EVID0020,"OpenID for Verifiable Presentations 1.0","OpenID Foundation",2025-07,Final,"https://openid.net/specs/openid-4-verifiable-presentations-1_0.html","Credential Exchange","PresentationRequest, verifier, wallet/holder and presentation mappings","existing-summary_needs-exhaustive",2026-08-29
PROTO-003,CM4DI-EVID0021,"OpenID for Verifiable Credential Issuance 1.0","OpenID Foundation",2025-09,Final,"https://openid.net/specs/openid-4-verifiable-credential-issuance-1_0-final.html","Credential Management;Credential Exchange","Credential issuer, offer/request and issuance-event mappings","existing-summary_needs-exhaustive",2026-08-29
PROTO-004,CM4DI-EVID0022,"OpenID Federation 1.1","OpenID Foundation",2026-05-06,Final,"https://openid.net/specs/openid-federation-1_1-final.html","Federation;Trust Governance","Federation entity, entity statement, trust chain/anchor and policy mappings","existing-summary_needs-exhaustive",2026-08-29
PROTO-005,CM4DI-EVID0023,"Authorization API 1.0 (AuthZEN)","OpenID Foundation",2026-01,Final,"https://openid.net/specs/authorization-api-1_0.html","Authorization","Subject/principal, resource, action, context and decision benchmark","existing-summary_needs-exhaustive",2026-08-29
PROTO-006,,"SAML 2.0","OASIS",2005,"OASIS Standard","https://docs.oasis-open.org/security/saml/v2.0/","Federation;Authentication;Identity Information","Federation/assertion/IdP/SP mappings","existing-summary",2026-08-29
PROTO-007,,"SCIM Core Schema RFC 7643","IETF",2015,"Proposed Standard; updated","https://www.rfc-editor.org/rfc/rfc7643","Identity Administration","Account/profile/group/provisioning schema mappings","existing-summary",2026-08-29
PROTO-008,,"SCIM Protocol RFC 7644","IETF",2015,"Proposed Standard; updated","https://www.rfc-editor.org/rfc/rfc7644","Identity Administration","Provisioning create/update/deactivate operations","existing-summary",2026-08-29
PROTO-009,,"OAuth 2.0 Token Exchange RFC 8693","IETF",2020,"Proposed Standard","https://www.rfc-editor.org/rfc/rfc8693","Federation;Authorization;Workload Identity;Agent Identity","TokenExchange and actor/subject delegation mappings","existing-summary_needs-exhaustive",2026-08-29
PROTO-010,,"XACML 3.0 + Errata 01","OASIS",current-maintained,"OASIS Standard","https://docs.oasis-open.org/xacml/3.0/","Authorization","Policy/request/decision benchmark without importing full policy language into Core","existing-summary_needs-exhaustive",2026-08-29
PROTO-011,CM4DI-EVID0018,"Web Authentication Level 2","W3C",2021-04-08,Recommendation,"https://www.w3.org/TR/webauthn-2/","Authentication","Authenticator, public-key credential, RP, attestation and authentication mappings","existing-summary_needs-exhaustive",2026-08-29
