source_record_id,coverage_unit,coverage_type,status,source_locator,mining_pass,blocked_reason,last_verified,notes
SM-EU-001,"full legal act including recitals, operative articles and amendments","legal-structure","pending","Regulation 2024/1183","Pass-A",,2026-08-29,"Existing evidence summary is not equivalent to exhaustive mining."
SM-EU-002,"ARF v3.0.0 chapters, annexes and change log","architecture-structure","in-progress","ARF v3.0.0 + CHANGELOG","Pass-A",,2026-08-29,"Prior evidence includes high-level extraction; topic-by-topic coverage pending."
SM-EU-003,"current consolidated text","legal-structure","pending","2024/2977 consolidated 2026-08-11","Pass-A",,2026-08-29,"Explicitly include 2026/1731 amendments."
SM-EU-004,"current text plus 2026/1731 amendments","legal-structure","pending","2024/2979","Pass-A",,2026-08-29,"Wallet integrity/core functionality."
SM-EU-005,"current text plus 2026/1731 amendments","legal-structure","pending","2024/2980","Pass-A",,2026-08-29,"Trusted-entity notifications."
SM-EU-006,"full legal act plus Annex III relation to FCAF","legal-structure","pending","2024/2981","Pass-A",,2026-08-29,"Certification/security vs functional conformance distinction."
SM-EU-007,"current consolidated text","legal-structure","pending","2024/2982 consolidated 2026-08-11","Pass-A",,2026-08-29,"Protocols/interfaces."
SM-EU-008,"full act plus 2026/1730 amendment","legal-structure","pending","2025/848","Pass-A",,2026-08-29,"Relying-party registry and intended-use semantics."
SM-EU-009,"all amendments and referenced standards/specifications","amendment-delta","pending","2026/1731","Pass-A",,2026-08-29,"Must reconcile with ARF 3.0.0."
SM-EU-010,"all amendments and referenced standards/specifications","amendment-delta","pending","2026/1730","Pass-A",,2026-08-29,"Must reconcile with RP-registration model."
SM-NORM-001,"accessible clauses/definitions; full-text limitations recorded","standard","blocked-partial","ISO/IEC 24760-1:2025","Pass-A","full standard text may require licensed access",2026-08-29,"Do not overclaim exhaustive clause mining when only official abstract/accessible text is available."
SM-NORM-002,"accessible clauses/architecture; full-text limitations recorded","standard","blocked-partial","ISO/IEC 24760-2:2025","Pass-A","full standard text may require licensed access",2026-08-29,"Coverage debt explicit."
SM-NORM-003,"entire public NIST suite overview","guideline","pending","NIST SP 800-63-4","Pass-A",,2026-08-29,"Parts A/B/C have separate records."
SM-NORM-004,"entire public document","guideline","pending","NIST SP 800-63A-4","Pass-A",,2026-08-29,"Proofing/enrollment priority."
SM-NORM-005,"entire public document","guideline","pending","NIST SP 800-63B-4","Pass-A",,2026-08-29,"Authenticator lifecycle priority."
SM-NORM-006,"entire public document","guideline","pending","NIST SP 800-63C-4","Pass-A",,2026-08-29,"Federation/assertions priority."
SM-NORM-007,"entire W3C Recommendation","standard","pending","VC Data Model 2.0","Pass-A",,2026-08-29,"Include data model terms and lifecycle/status references."
SM-NORM-008,"entire W3C Recommendation","standard","pending","DID Core 1.0","Pass-A",,2026-08-29,"DID 1.1 tracked as emerging monitor."
SM-NORM-009,"entire Final Specification","standard","pending","OID4VP 1.0","Pass-A",,2026-08-29,"Presentation semantics."
SM-NORM-010,"entire Final Specification","standard","pending","OID4VCI 1.0","Pass-A",,2026-08-29,"Issuance semantics."
SM-NORM-011,"entire Final Specification","standard","pending","OpenID Federation 1.1","Pass-A",,2026-08-29,"Trust-chain/entity-statement semantics."
SM-NORM-012,"entire Final Specification","standard","pending","AuthZEN Authorization API 1.0","Pass-A",,2026-08-29,"Authorization kernel benchmark."
SM-ACA-001,"full paper methods/model/evaluation/limitations","academic-fulltext","pending","DOI 10.1016/j.teler.2026.100322","Pass-A",,2026-08-29,"Direct competitor."
SM-ACA-002,"full paper corpus/method/ontological fragments/limitations","academic-fulltext","pending","DOI 10.3390/info17010085","Pass-A",,2026-08-29,"Broadest current conceptual precursor."
SM-ACA-003,"full paper ontology architecture/classes/OWL/evaluation","academic-fulltext","pending","DOI 10.1109/AINA.2009.124","Pass-A",,2026-08-29,"Historical direct OWL competitor."
SM-NEI-001,"ontology documentation + OWL vocabulary relevant to CM4DI projection","neighbor-ontology","pending","gUFO","Pass-A",,2026-08-29,"Formal projection dependency candidate."
SM-NEI-002,"conceptual model + OWL + paper where accessible","neighbor-ontology","pending","ONTrust","Pass-A",,2026-08-29,"Trust alignment priority."
SM-NEI-003,"entire Recommendation concept model relevant to provenance","neighbor-ontology","pending","PROV-O","Pass-A",,2026-08-29,"Avoid provenance reinvention."
SM-NEI-004,"organization/member/role portions","neighbor-ontology","pending","W3C ORG","Pass-A",,2026-08-29,"Supporting rather than full CM4DI ownership."
SM-NEI-005,"policy/permission/prohibition/duty/action/asset/party portions","neighbor-ontology","pending","ODRL 2.2","Pass-A",,2026-08-29,"Authorization boundary."
SM-NEI-006,"personal-data processing roles, purposes, legal bases, rights and risk portions","neighbor-ontology","pending","DPV v2","Pass-A",,2026-08-29,"Privacy boundary and mappings."
