row_id,source_family,source_name,version_status,trust_or_governance_constructs,cm4di_domains,cm4di_alignment,boundary_rule,coverage_status,source
TG-001,neighbor-ontology,ONTrust,current research artifact,TrustRelation;Trustor;Trustee;Trustworthiness,Trust Governance,Align generic trust relation/assessment patterns; retain identity-specific framework/registry/anchor semantics,Generic trust theory remains neighbor-owned,substantive-seed,https://github.com/unibz-core/trust-ontology
TG-002,EU-EUDI,Regulation (EU) 2024/1183 — European Digital Identity Framework,in force; amends eIDAS 910/2014,wallet legal framework; user control; PID/EAA; relying parties; certification; trust ecosystem,Government Identity;Trust Governance;Credential Exchange;Identity Assurance,Map legal/architecture governance constructs to TrustFramework/TrustRegistry/TrustedList/TrustAnchor/Certification/Accreditation/EcosystemParticipation as justified,Jurisdiction-specific rules remain source-local,existing-summary-needs-exhaustive,https://eur-lex.europa.eu/eli/reg/2024/1183/oj
TG-003,EU-EUDI,Commission Implementing Regulation (EU) 2024/2979 — Wallet integrity and core functionalities,in force; amended in 2026 lineage,wallet unit; wallet instance; wallet provider; wallet unit attestation; WSCA/WSCD; user authentication; disclosure policy; status/revocation,Credential Exchange;Authentication;Identity Evidence;Trust Governance,Map legal/architecture governance constructs to TrustFramework/TrustRegistry/TrustedList/TrustAnchor/Certification/Accreditation/EcosystemParticipation as justified,Jurisdiction-specific rules remain source-local,substantive-pass-started,https://eur-lex.europa.eu/eli/reg_impl/2024/2979/oj/eng
TG-004,EU-EUDI,Commission Implementing Regulation (EU) 2024/2980 — ecosystem notifications,in force; amended lineage,notifications; trusted providers/entities; ecosystem status,Trust Governance;Government Identity,Map legal/architecture governance constructs to TrustFramework/TrustRegistry/TrustedList/TrustAnchor/Certification/Accreditation/EcosystemParticipation as justified,Jurisdiction-specific rules remain source-local,initial-review,https://eur-lex.europa.eu/eli/reg_impl/2024/2980/oj/eng
TG-005,EU-EUDI,Commission Implementing Regulation (EU) 2024/2981 — certification of EUDI Wallets,in force,certification; certification scheme; scheme owner; conformity assessment; object of certification; assurance level high; wallet solution/component boundary,Trust Governance;Credential Exchange,Map legal/architecture governance constructs to TrustFramework/TrustRegistry/TrustedList/TrustAnchor/Certification/Accreditation/EcosystemParticipation as justified,Jurisdiction-specific rules remain source-local,substantive-pass-started,https://eur-lex.europa.eu/eli/reg_impl/2024/2981/oj/eng
TG-006,EU-EUDI,Commission Implementing Regulation (EU) 2025/848 — Wallet-Relying Party registration,in force; applies from 2026-12-24; amended by 2026 lineage,wallet-relying party; national register; registrar; intended use; access certificate; registration certificate; entitlement; suspension/cancellation; record retention,Trust Governance;Federation;Credential Exchange;Authorization,Map legal/architecture governance constructs to TrustFramework/TrustRegistry/TrustedList/TrustAnchor/Certification/Accreditation/EcosystemParticipation as justified,Jurisdiction-specific rules remain source-local,substantive-pass-started,https://eur-lex.europa.eu/eli/reg_impl/2025/848/oj/eng
TG-007,EU-EUDI,Commission Implementing Regulation (EU) 2026/1730,2026-07-15 amending act,amends relying-party registration technical/standards lineage,Trust Governance;Federation;Credential Exchange,Map legal/architecture governance constructs to TrustFramework/TrustRegistry/TrustedList/TrustAnchor/Certification/Accreditation/EcosystemParticipation as justified,Jurisdiction-specific rules remain source-local,registered-needs-extraction,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32026R1730
TG-008,EU-EUDI,Commission Implementing Regulation (EU) 2026/1731,2026-07-15 amending act,"amends PID/EAA, integrity/core, notification, protocols/interfaces standards/specifications",Credential Exchange;Trust Governance;Government Identity;Authentication,Map legal/architecture governance constructs to TrustFramework/TrustRegistry/TrustedList/TrustAnchor/Certification/Accreditation/EcosystemParticipation as justified,Jurisdiction-specific rules remain source-local,registered-needs-extraction,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32026R1731
TG-009,EU-EUDI,EUDI Wallet Architecture and Reference Framework v3.0.0,Latest release; 2026-07-21; GitHub release published 2026-07-23,roles; trust model; Relying Party Services; wallet-to-wallet; Trusted Lists; LoTEs; trust anchors; FCAF; high-level requirements,Credential Exchange;Trust Governance;Government Identity;Federation;Authentication,Map legal/architecture governance constructs to TrustFramework/TrustRegistry/TrustedList/TrustAnchor/Certification/Accreditation/EcosystemParticipation as justified,Jurisdiction-specific rules remain source-local,substantive-pass-started,https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/releases/tag/v3.0.0
TG-010,EU-EUDI,EUDI Functional Conformance Assessment Framework,current v3-related functional-conformance resource,functional test cases for Wallet Solution requirements; conformance evidence,Credential Exchange;Trust Governance;Evaluation,Map legal/architecture governance constructs to TrustFramework/TrustRegistry/TrustedList/TrustAnchor/Certification/Accreditation/EcosystemParticipation as justified,Jurisdiction-specific rules remain source-local,registered-needs-extraction,https://conformance.eudi.dev
TG-011,global-framework,UK Digital Verification Services Trust Framework 1.0,2026-06-09; final; effectiveness transition stated by authority,"Provider roles, certification, register status, holder/orchestration semantics",Trust Governance;Identity Establishment;Identity Administration,Cross-jurisdiction comparison target,Framework-specific certification/accreditation and legal semantics do not redefine Core,existing-summary_needs-exhaustive,https://www.gov.uk/government/publications/uk-digital-verification-services-trust-framework-1-0
TG-012,global-framework,How to check someone's identity (GPG45) 1.0,2026-06-09; final,"Identity evidence, checking, scoring/confidence and proofing",Identity Evidence;Identity Establishment;Trust Governance,Cross-jurisdiction comparison target,Framework-specific certification/accreditation and legal semantics do not redefine Core,existing-summary_needs-exhaustive,https://www.gov.uk/government/publications/how-to-check-someones-identity-1-0
TG-013,global-framework,"How to create, bind and share attributes 1.0",2026-06-09; final,"Attribute source, provenance, binding, quality and sharing",Identity Information;Identity Evidence;Trust Governance,Cross-jurisdiction comparison target,Framework-specific certification/accreditation and legal semantics do not redefine Core,existing-summary_needs-exhaustive,https://www.gov.uk/government/publications/how-to-create-bind-and-share-attributes-1-0
TG-014,global-framework,Pan-Canadian Trust Framework,current; living modular framework,"Conformance profiles, authentication, credentials, privacy, trust registries",Trust Governance;Authentication;Credential Management,Cross-jurisdiction comparison target,Framework-specific certification/accreditation and legal semantics do not redefine Core,existing-summary_needs-exhaustive,https://diacc.ca/trust-framework/
TG-015,global-framework,PCTF Trust Registries Final Recommendation V1.0,2023-11; final recommendation,"Registry participant, certification status, trustmark, issuer/verifier/wallet-provider status",Trust Governance,Cross-jurisdiction comparison target,Framework-specific certification/accreditation and legal semantics do not redefine Core,existing-summary_needs-exhaustive,https://diacc.ca/2023/11/13/the-diacc-releases-its-pan-canadian-trust-framework-pctf-trust-registries-final-recommendation-v1-0/
TG-016,global-framework,Australia Digital ID Act 2024 and Digital ID system governance,2024; in force,"Accreditation, regulatory authority, system participation, identity/attribute/exchange provider roles",Trust Governance;Government Identity,Cross-jurisdiction comparison target,Framework-specific certification/accreditation and legal semantics do not redefine Core,existing-summary_needs-exhaustive,https://www.digitalidsystem.gov.au/what-is-digital-id/digital-id-act-2024
TG-017,global-framework,"Australia Digital ID Rules, Accreditation Rules and Data Standards",2024-current; in force/current instruments,"Accreditation requirements, participation status, identity verification/authentication levels",Trust Governance;Government Identity,Cross-jurisdiction comparison target,Framework-specific certification/accreditation and legal semantics do not redefine Core,existing-summary_needs-exhaustive,https://www.digitalidsystem.gov.au/rules-and-regulations
TG-018,global-framework,MOSIP 1.2.0 Architecture,2026-current; current documentation,"Foundational-ID lifecycle, resident/partner/RP/provider roles",Government Identity;Identity Establishment;Credential Management;Authentication,Cross-jurisdiction comparison target,Framework-specific certification/accreditation and legal semantics do not redefine Core,existing-summary_needs-targeted-mining,https://docs.mosip.io/1.2.0/overview/architecture
TG-019,global-framework,World Bank ID4D Practitioner Guide / Principles,current; living guidance,"Legal/regulatory framework, institutional mandate, oversight, privacy, interoperability and lifecycle",Government Identity;Trust Governance,Cross-jurisdiction comparison target,Framework-specific certification/accreditation and legal semantics do not redefine Core,existing-summary_needs-targeted-mining,https://id4d.worldbank.org/guide/1-principles
