relation_id,label,relation_type,source,target,source_cardinality,target_cardinality,definition,derived_or_constraint,cq_ids
CM4DI-R0001,represents,material,DigitalIdentity,IdentitySubject,"0..*","1","A DigitalIdentity represents exactly one IdentitySubject in the model scope; a subject may have multiple digital identities.","Inverse representedBy",CQ0001
CM4DI-R0002,interpretedIn,material,DigitalIdentity,IdentityContext,"0..*","1","A DigitalIdentity is interpreted within one IdentityContext.","IdentityContext is not AdministrativeDomain/TrustDomain by default",CQ0001
CM4DI-R0003,hasIdentifier,material,DigitalIdentity,Identifier,"0..1","0..*","A DigitalIdentity may be referenced by one or more Identifiers; an Identifier may reference at most one DigitalIdentity in a given assertion scope.","Do not infer subject identity solely from identifier equality",CQ0004
CM4DI-R0004,identifiesSubject,material,Identifier,IdentitySubject,"0..*","0..1","An Identifier may identify an IdentitySubject directly within its scheme/scope.","XOR/qualified coexistence with identifiesRepresentation is profile-sensitive",CQ0004
CM4DI-R0005,scopedBy,material,Identifier,IdentityContext,"0..*","0..1","An Identifier may be scoped by an IdentityContext.","Scheme/namespace is datatype or profile mapping",CQ0004
CM4DI-R0006,about,material,Claim,IdentitySubject,"0..*","1","A Claim is about exactly one IdentitySubject at the proposition level.","Credential may aggregate claims about multiple subjects separately",CQ0005
CM4DI-R0007,asserts,material,Claim,IdentityAttribute,"0..*","0..*","A Claim may assert one or more IdentityAttributes.","Claim may also carry proposition content not decomposed into attributes",CQ0005
CM4DI-R0008,assertedBy,material,Claim,Party,"0..*","0..1","A Claim may record the Party that asserted/issued it.","Issuer profile roles may specialize Party",CQ0005
CM4DI-R0009,supportsClaim,material,Evidence,Claim,"0..*","0..*","Evidence may support one or more Claims and a Claim may be supported by multiple evidence items.","Support does not imply truth",CQ0006
CM4DI-R0010,providedBy,material,Evidence,Party,"0..*","0..1","Evidence may have a providing/source Party.","Source-system provenance may be profile metadata",CQ0006
CM4DI-R0011,derivedFrom,material,Evidence,Evidence,"0..*","0..*","Evidence may be derived from other evidence artifacts.","Acyclicity should be checked in formal constraints where required",CQ0006
CM4DI-R0012,playsProofRoleIn,material,Proof,IdentityProofing,"0..*","0..*","Evidence playing the Proof role may participate in identity proofing.","Proof is a role of Evidence, not a cryptographic superclass",CQ0007
CM4DI-R0013,mediatesSubject,mediation,IdentityBinding,IdentitySubject,"0..*","1","IdentityBinding existentially depends on and mediates one IdentitySubject.","Relator mediation",CQ0012
CM4DI-R0014,bindsDigitalIdentity,mediation,IdentityBinding,DigitalIdentity,"0..*","0..1","IdentityBinding may bind a subject to a DigitalIdentity.","At least one bind target among DigitalIdentity/Credential/Authenticator is required",CQ0012
CM4DI-R0015,bindsCredential,mediation,IdentityBinding,Credential,"0..*","0..*","IdentityBinding may bind a subject to one or more Credentials.","Relator mediation",CQ0012
CM4DI-R0016,bindsAuthenticator,mediation,IdentityBinding,Authenticator,"0..*","0..*","IdentityBinding may bind an Authenticator role-player to the represented subject/context.","Does not make authenticator the subject",CQ0012
CM4DI-R0017,groundedBy,material,IdentityBinding,Evidence,"0..*","1..*","IdentityBinding is grounded by one or more Evidence items.","Evidence provenance required for high-assurance profiles",CQ0012
CM4DI-R0018,credentialAbout,material,Credential,IdentitySubject,"0..*","1..*","A Credential concerns one or more IdentitySubjects.","Holder may differ from subject",CQ0008
CM4DI-R0019,carriesClaim,material,Credential,Claim,"0..*","1..*","A Credential carries or supports one or more Claims.","Claim remains separate information object",CQ0008
CM4DI-R0020,credentialIssuedBy,material,Credential,Party,"0..*","1","A Credential has exactly one issuing Party at the neutral Core level.","P02/P04 may classify Party as Issuer role",CQ0008
CM4DI-R0021,hasCredentialStatus,material,Credential,CredentialStatus,"1","0..1","A Credential may bear a current CredentialStatus mode.","History reconstructed from lifecycle events/status assertions",CQ0008
CM4DI-R0022,affectsCredential,material,CredentialLifecycleEvent,Credential,"0..*","1","Each CredentialLifecycleEvent affects a Credential.","Subevents include issuance/suspension/revocation/rotation in appropriate layers",CQ0009
CM4DI-R0023,producesCredential,material,CredentialIssuance,Credential,"0..*","1..*","CredentialIssuance produces one or more Credentials.","Issuance event may batch credentials",CQ0009
CM4DI-R0024,proofingSubject,material,IdentityProofing,IdentitySubject,"0..*","1","IdentityProofing concerns one IdentitySubject role occurrence.","Proofed-person state is result/assessment not rigid Person subtype",CQ0010
CM4DI-R0025,usesEvidence,material,IdentityProofing,Evidence,"0..*","1..*","IdentityProofing uses one or more Evidence items.","Evidence types remain profile-specific",CQ0010
CM4DI-R0026,producesAssuranceAssessment,material,IdentityProofing,AssuranceAssessment,"0..*","0..*","Proofing may produce an assurance/confidence assessment.","Assessment dimension must identify proofing",CQ0010
CM4DI-R0027,enrollsSubject,material,Enrollment,IdentitySubject,"0..*","1","Enrollment establishes managed participation/representation for an IdentitySubject.","Not Provisioning",CQ0011
