impl_id,repository,owner,type,ecosystem,default_branch,current_status,license_status,ontology_relevant_constructs,benchmark_role,cm4di_domains,selection_status,last_verified
IMPL-001,w3c/vc-data-model-2.0-test-suite,W3C,conformance-test-suite,Verifiable Credentials,main,public-active,"inspect authoritative LICENSE before code reuse","credential; credentialSubject; issuer; verifier; presentation; status; conformance assertions","Executable protocol/data-model conformance evidence","Credential Management;Credential Exchange",SELECT,2026-08-29
IMPL-002,openid-certification/conformance-suite,OpenID Certification,conformance-suite,OpenID/OAuth/OID4VC,master,public-active-mirror,"license review required; authoritative development lineage must be recorded","client; authorization server; relying party; federation; issuance/presentation flows; protocol results","Executable conformance/profile evidence; GitHub mirror status must be disclosed","Federation;Authentication;Credential Exchange;Authorization",SELECT,2026-08-29
IMPL-003,eu-digital-identity-wallet/eudi-lib-ios-wallet-kit,European Digital Identity Wallet,official-reference-library,EUDI Wallet,main,public-active,"Apache-2.0 per prior registry; re-check release LICENSE before reuse","wallet; holder; credential; presentation; issuance; status; verifier interaction","EU operational/reference mapping and scenario evidence","Credential Exchange;Government Identity;Trust Governance",SELECT,2026-08-29
IMPL-004,keycloak/keycloak,Keycloak,open-source-IAM,Enterprise IAM/SSO,main,public-active,"Apache-2.0 known; verify release LICENSE","realm; user; group; client; role; session; identity provider; user federation; broker","Mature operational IAM benchmark and state/lifecycle evidence","Identity Administration;Federation;Authentication;Authorization",SELECT,2026-08-29
IMPL-005,zitadel/zitadel,ZITADEL,open-source-IAM,Enterprise IAM/CIAM/SSO,main,public-active,"license review required before code reuse","organization; user; service account; project; application; role assignment; external IdP; account linking","Modern multitenant IAM benchmark including non-human and federation semantics","Identity Administration;Federation;Authorization;Workload Identity",SELECT,2026-08-29
IMPL-006,ory/kratos,Ory,open-source-identity-lifecycle,Application Identity,master,public-active,"license review required before code reuse","identity; schema; trait; session; login/registration/recovery flows","Identity lifecycle/persistence benchmark separated from OAuth server concerns","Identity Administration;Authentication",SELECT,2026-08-29
IMPL-007,ory/hydra,Ory,open-source-OAuth-OIDC-server,OAuth2/OIDC,master,public-active,"license review required before code reuse","OAuth client; consent/login flow; token; authorization server; session-like protocol state","Focused federation/authorization-server benchmark","Federation;Authorization;Authentication",SELECT,2026-08-29
IMPL-008,goauthentik/authentik,authentik,open-source-IAM,Enterprise SSO,main,public-active,"license review required before code reuse","user; group; source; provider; application; flow; stage; policy","Flexible flow/source/provider benchmark and Anticorruption-Layer test","Identity Administration;Federation;Authentication;Authorization",SELECT,2026-08-29
IMPL-009,dexidp/dex,Dex,open-source-OIDC-broker,Federation/SSO,master,public-active,"Apache-2.0 commonly used; verify LICENSE","connector; client; claims; external IdP; OIDC broker","Focused identity-broker and connector benchmark","Federation;Authentication",SELECT,2026-08-29
IMPL-010,spiffe/spire,SPIFFE,open-source-workload-identity,Workload Identity,main,public-active,"Apache-2.0 known; verify release LICENSE","workload; SPIFFE ID; SVID; node attestation; workload attestation; trust domain; trust bundle","Executable non-human/workload identity benchmark","Workload Identity;Identity Evidence;Credential Management",SELECT,2026-08-29
IMPL-011,mosip/mosip-ref-impl,MOSIP,open-reference-implementation,Foundational/Government Identity,master,public-active,"MIT reported in prior registry; verify LICENSE","resident; registration; proofing; issuance; authentication; partner; credential provider; relying party","Government/foundational-ID lifecycle and partner ecosystem benchmark","Government Identity;Identity Establishment;Credential Management;Authentication;Trust Governance",SELECT,2026-08-29
