concept_id,label,stereotype,definition,external_source_families,core_alignment,coverage_state,key_boundary_rule
CM4DI-C3001,Workload,kind,Running compute entity such as a process container job or deployed workload that can play IdentitySubject and Principal roles.,Google Cloud,IdentitySubject/Principal,wave6-candidate,No MachineIdentity superclass; distinguish Workload Device Agent and representation/credential/principal roles
CM4DI-C3002,RuntimeInstance,kind,Concrete execution instance of software or a workload at runtime.,,Workload,wave6-candidate,No MachineIdentity superclass; distinguish Workload Device Agent and representation/credential/principal roles
CM4DI-C3003,ServiceAccount,kind,Non-human managed account representation used by software or automation.,Kubernetes;Google Cloud,P01 Account / DigitalIdentity,wave6-candidate,No MachineIdentity superclass; distinguish Workload Device Agent and representation/credential/principal roles
CM4DI-C3004,ServicePrincipal,roleMixin,Tenant/domain-local security-principal role representing an application or service for authorization.,Microsoft Entra,Principal,wave6-candidate,No MachineIdentity superclass; distinguish Workload Device Agent and representation/credential/principal roles
CM4DI-C3005,ManagedIdentity,roleMixin,Managed workload-identity pattern in which credential lifecycle is controlled by the platform.,Microsoft Entra,DigitalIdentity/Credential,wave6-candidate,No MachineIdentity superclass; distinguish Workload Device Agent and representation/credential/principal roles
CM4DI-C3006,Device,kind,Physical or virtual device capable of independently playing identity subject principal and/or authenticator roles.,,IdentitySubject/Principal/Authenticator,wave6-candidate,No MachineIdentity superclass; distinguish Workload Device Agent and representation/credential/principal roles
CM4DI-C3007,DeviceIdentityRecord,kind,Directory or registry representation of a device distinct from the device and its credentials.,Microsoft Entra,DigitalIdentity-related representation,wave6-candidate,No MachineIdentity superclass; distinguish Workload Device Agent and representation/credential/principal roles
CM4DI-C3008,NodeAttestation,event,Attestation event establishing properties/identity of a node or host used as evidence for workload identity.,SPIRE,Evidence/IdentityBinding,wave6-candidate,No MachineIdentity superclass; distinguish Workload Device Agent and representation/credential/principal roles
CM4DI-C3009,WorkloadAttestation,event,Attestation event establishing which runtime workload is requesting an identity or credential.,SPIRE,Evidence/IdentityBinding,wave6-candidate,No MachineIdentity superclass; distinguish Workload Device Agent and representation/credential/principal roles
CM4DI-C3010,TrustDomain,kind,Identity namespace/security boundary backed by an issuing authority and trust material.,SPIFFE,Distinct from IdentityContext and P04 TrustFramework,wave6-candidate,No MachineIdentity superclass; distinguish Workload Device Agent and representation/credential/principal roles
CM4DI-C3011,TrustBundle,kind,Cryptographic trust artifact containing authoritative verification material for a trust domain.,SPIFFE,TrustReference/Evidence,wave6-candidate,No MachineIdentity superclass; distinguish Workload Device Agent and representation/credential/principal roles
CM4DI-C3012,SVID,kind,SPIFFE verifiable identity document carrying a SPIFFE identifier and cryptographic proof material.,SPIFFE,Credential,wave6-candidate,No MachineIdentity superclass; distinguish Workload Device Agent and representation/credential/principal roles
CM4DI-C3013,TemporaryCredential,kind,Short-lived credential issued for a session federated principal workload or agent.,Kubernetes,Credential,wave6-candidate,No MachineIdentity superclass; distinguish Workload Device Agent and representation/credential/principal roles
CM4DI-C3014,TokenExchange,event,Event transforming or exchanging external proof/credential for a local temporary credential or security context.,Google Cloud,Credential lifecycle/federation,wave6-candidate,No MachineIdentity superclass; distinguish Workload Device Agent and representation/credential/principal roles
CM4DI-C3015,SoftwareAgent,kind,Goal-directed software entity capable of acting autonomously or on delegated authority.,,IdentitySubject/Principal,wave6-candidate,No MachineIdentity superclass; distinguish Workload Device Agent and representation/credential/principal roles
CM4DI-C3016,AIAgent,subkind,SoftwareAgent specialization whose behavior is driven substantially by AI models/planning mechanisms.,,SoftwareAgent,wave6-candidate,No MachineIdentity superclass; distinguish Workload Device Agent and representation/credential/principal roles
CM4DI-C3017,AgentIdentity,kind,Managed digital identity representation specifically associated with a SoftwareAgent.,Microsoft Entra Agent ID;AWS AgentCore,DigitalIdentity,wave6-candidate,No MachineIdentity superclass; distinguish Workload Device Agent and representation/credential/principal roles
CM4DI-C3018,AgentSponsor,roleMixin,Accountability/governance role played by a person or organization responsible for an agent identity lifecycle.,Microsoft Entra Agent ID,Party,wave6-candidate,No MachineIdentity superclass; distinguish Workload Device Agent and representation/credential/principal roles
