concept_id,label,ontouml_stereotype,semantic_family,definition,parent_or_played_role,status,evidence_basis,cq_ids,scope_note
CM4DI-C0001,Party,roleMixin,Subjecthood/Interaction,"Contextual role played by an entity participating in an identity-related interaction; not a universal superclass of persons organizations devices or software.",External substantial entity,candidate,"GateB NC032; baseline; standards; IAM","CQ0002;CQ0005;CQ0022","May be played by heterogeneous kinds supplied by profiles/domain models."
CM4DI-C0002,IdentitySubject,roleMixin,Subjecthood,"Contextual role played by an entity that a DigitalIdentity Claim Credential or identity-management process is about.",External substantial entity,candidate,"GateB NC001; ISO; government; nonhuman","CQ0001;CQ0002;CQ0003","Human/non-human neutral."
CM4DI-C0003,DigitalIdentity,kind,Digital Representation,"Managed digital information/representation artifact that represents an IdentitySubject in an IdentityContext.",InformationObject,candidate,"GateB NC002; baseline; academic; IAM","CQ0001;CQ0002;CQ0024","Distinct from subject Account Profile LegalIdentity and Identifier."
CM4DI-C0004,Identifier,kind,Digital Representation,"Information/sign used to distinguish or reference an entity or representation under an identifier scheme and scope.",InformationObject,candidate,"GateB NC003; ISO; DID; SPIFFE","CQ0004","DID/SPIFFE ID are profile mappings/specializations."
CM4DI-C0005,IdentityContext,situation,Digital Representation,"Contextual situation in which a DigitalIdentity Identifier or identity information receives its intended identity-management interpretation.",Situation,candidate,"GateB NC004; baseline; academic","CQ0001;CQ0002;CQ0017","Not Tenant Realm TrustDomain Audience or social context by default."
CM4DI-C0006,IdentityAttribute,kind,Identity Information,"Information element representing a property/value attributed to an IdentitySubject for identity-management purposes.",InformationObject,candidate,"GateB NC009; baseline; government; IAM","CQ0005;CQ0006","Do not equate automatically with intrinsic UFO qualities or social identities."
CM4DI-C0007,Claim,kind,Identity Information,"Assertion information object expressing a proposition about an IdentitySubject and optionally one or more IdentityAttributes.",InformationObject,candidate,"GateB NC008; OIDC; VC; NIST; academic","CQ0005;CQ0006","Protocol name/value claim members are mappings, not ontological definition."
CM4DI-C0008,Evidence,kind,Evidence/Provenance,"Information artifact used to support a Claim IdentityProofing IdentityBinding attestation or assessment.",InformationObject,candidate,"GateB NC005/007; NIST; nonhuman; academic","CQ0006;CQ0007;CQ0010;CQ0012","Generic evidence; source/derivation explicitly modeled."
CM4DI-C0009,Proof,role,Evidence/Provenance,"Contextual role played by Evidence when it is used to establish or verify a proposition binding or integrity claim.",Evidence,candidate,"GateB NC007; VC Data Integrity; WebAuthn; academic","CQ0007","Cryptographic proof mechanisms stay in profiles."
CM4DI-C0010,IdentityBinding,relator,Evidence/Binding,"Relator that mediates an IdentitySubject and one or more identity representations credentials or authenticators and is grounded by evidence/provenance.",Relator,candidate,"GateB NC011; government; attestation; standards","CQ0011;CQ0012","Distinct from simple aboutness and from account linking."
CM4DI-C0011,Credential,kind,Credential,"Issued information artifact carrying/supporting Claims about one or more subjects with provenance and lifecycle/status semantics.",InformationObject,candidate,"GateB NC012; NIST; W3C VC; ISO; SPIFFE","CQ0008;CQ0009","Includes human/non-human credential categories without equating every token to identity."
CM4DI-C0012,CredentialStatus,mode,Credential,"Dependent status mode of a Credential such as active suspended revoked expired or otherwise invalid according to a status scheme.",Credential,candidate,"GateB NC013; VC status; academic","CQ0008;CQ0009","Concrete status-list encodings are profile-specific."
