candidate_id,candidate_label,candidate_type,current_cm4di_status,primary_evidence_families,recurrence,recommendation,rationale,gate_b_question
CAND-NH-001,Identity-Bearing Entity,Foundational abstraction,Partial via Party/IdentitySubject,"ISO 24760; Entra; Google; SPIFFE; device/agent evidence",High,Core foundational review,"Current evidence requires persons organizations devices software/workloads and agents to be representable without assuming all are Parties in the same ontological sense.","Should IdentitySubject become a role played by a broader IdentityBearingEntity abstraction rather than a rigid kind?"
CAND-NH-002,Non-Human Identity Subject,Role/abstraction,Missing,"Entra; Google; Kubernetes; SPIFFE; Agent ID",High,Core-or-profile candidate,"Non-human entities repeatedly participate as identified/authenticated/authorized subjects.","Use one neutral IdentitySubject role for human and non-human entities or add explicit subtype(s)?"
CAND-NH-003,Software Agent,Agentive software entity,Missing,"Entra Agent ID; AWS AgentCore",Medium,Agent profile candidate,"AI-agent sources distinguish autonomous goal-directed software from conventional application identity.","What UFO category captures software agency without anthropomorphizing it?"
CAND-NH-004,AI Agent,Software-agent specialization,Missing,"Entra Agent ID; AWS AgentCore",Medium,Agent profile candidate,"Current platforms treat AI agents as specialized non-human actors with dynamic lifecycle and delegated/autonomous access.","Should AI Agent specialize a generic SoftwareAgent profile class or remain mapping-only until academic evidence?"
CAND-NH-005,Application Definition,Software artifact/entity,Missing,"Entra application object; platform application models",High,Machine/Workload profile,"Durable application definition is distinct from deployed instance/workload and identity account.","How should application artifact identity criteria be modeled under UFO?"
CAND-NH-006,Application Instance / Service Instance,Operational software entity,Missing,"Entra service principal; deployments; AgentCore",Medium,Machine/Workload profile,"An application can have tenant/deployment-specific operational instances distinct from its global definition.","Model as software execution/object, role, or system-specific representation?"
CAND-NH-007,Workload,Running compute entity/context,Missing,"Google WIF; Entra Workload ID; SPIFFE; Kubernetes; AWS",High,Machine/Workload profile with Core subject compatibility,"Workload denotes executing software/process/container/job rather than account or credential.","What identity criterion distinguishes workload from application/service/process, and should Core name it explicitly?"
CAND-NH-008,Process / Runtime Instance,Execution entity,Missing,"SPIRE workload attestation; Kubernetes",Medium,Machine/Workload profile,"Runtime attestation can identify a concrete process or scheduled workload using runtime selectors.","Need explicit Process/RuntimeInstance or can Workload cover these execution particulars?"
CAND-NH-009,Service,Software/service entity or role,Ambiguous,"SPIFFE; Entra; AWS",High,Semantic normalization required,"Service is used for software capability, deployment and IAM service-principal contexts; meanings differ.","Define neutral service semantics or avoid first-class Core use?"
CAND-NH-010,Workload Identity,Digital identity pattern,Missing,"Google; Entra; AWS; AgentCore; SPIFFE",High,Profile candidate using Core DigitalIdentity,"A workload identity is an identity representation enabling a workload to authenticate, not the workload itself.","Can generic DigitalIdentity cleanly represent workload identity without a new Core class?"
CAND-NH-011,Service Account,Account pattern,Missing,"Kubernetes; Entra service-account governance; cloud IAM",High,Profile specialization of Account,"Service account is a non-human account/identity representation used by automation/workloads.","Should ServiceAccount specialize a neutral Account class introduced from Issue #5?"
CAND-NH-012,Service Principal,Security-principal/application-instance pattern,Missing,"Microsoft Entra; AWS service principal terminology",High,Mapping/profile candidate,"Entra service principal is tenant-local application identity/security principal and differs from Kubernetes service account.","Map to Principal + ApplicationInstance rather than introduce universal ServicePrincipal?"
CAND-NH-013,Managed Identity,Managed workload-identity pattern,Missing,"Microsoft Entra; cloud analogues",Medium,Mapping/profile candidate,"Managed identity externalizes credential management and is implemented as a special service principal in Entra.","Model as management property/pattern of WorkloadIdentity rather than ontological kind?"
CAND-NH-014,Federated Workload Principal,Contextual principal,Missing,"Google WIF; GitHub OIDC; Entra federation",High,Machine/Workload profile,"External workload identities can become authorized principals without creating durable local accounts.","Represent as Principal role grounded by Federation/Mapping rather than persistent DigitalIdentity?"
CAND-NH-015,Principal,Authorization role,Missing,"Google; Entra; AWS; Kubernetes; Issue #5",High,Core candidate requiring UFO analysis,"Authorization consistently targets principals that can be human, group or non-human identity representations.","Should Principal be an anti-rigid role played by identity subjects/accounts/representations?"
CAND-NH-016,Device,Physical/virtual object,Missing as explicit identity-bearing kind,"Entra devices; AWS IoT; ISO 24760",High,Core subject compatibility + Device profile,"Devices can be identity-bearing entities with independent registration/state/access relevance.","Does Core require Device as a named kind or only allow external domain entities to play IdentitySubject?"
