row_id,domain_id,domain_name,bounded_context_id,bounded_context_name,source_family,source_id,source_title,coverage_strength,concept_ids,relation_ids,event_patterns,lifecycle_patterns,constraints,cq_ids,boundary_signal,rename_split_merge_signal,decision,notes
BCOV-001,CM4DI-D0001;CM4DI-D0002,Identity Representation;Identity Information,CM4DI-BC0001,Identity Semantics Context,W3C DID Core;SPIFFE,,,partial-seed,CM4DI-C0001;CM4DI-C0002;CM4DI-C0003;CM4DI-C0004;CM4DI-C0005;CM4DI-C0006;CM4DI-C0007,,,,,,"Owns the canonical language for identity subjects, representations, identifiers, contexts, attributes and claims.",none accepted; revalidate under #66,retain-current-boundary,Source-family aggregation is preliminary; publication-grade family-by-family rows follow #136–#139.
BCOV-002,CM4DI-D0003;CM4DI-D0004,Identity Evidence;Identity Establishment,CM4DI-BC0002,Identity Assurance Context,NIST SP 800-63A-4;NIST SP 800-63B-4;NIST SP 800-63C-4;UK Government,,,broad-seed,CM4DI-C0008;CM4DI-C0009;CM4DI-C0010;CM4DI-C0015;CM4DI-C0016;CM4DI-C0020;CM4DI-C0034,,,,,,"Owns evidential roles, proof use, identity binding, assurance assessment, proofing and enrollment semantics.",none accepted; revalidate under #66,retain-current-boundary,Source-family aggregation is preliminary; publication-grade family-by-family rows follow #136–#139.
BCOV-003,CM4DI-D0005,Credential Management,CM4DI-BC0003,Credential Lifecycle Context,W3C VC 2.0;ISO mdoc;OpenID4VCI,,,broad-seed,CM4DI-C0011;CM4DI-C0012;CM4DI-C0013;CM4DI-C0014;CM4DI-C2001,,,,,,"Owns protocol-neutral credential issuance, status and lifecycle semantics.",none accepted; revalidate under #66,retain-current-boundary,Source-family aggregation is preliminary; publication-grade family-by-family rows follow #136–#139.
BCOV-004,CM4DI-D0006,Authentication,CM4DI-BC0004,Authentication Context,AWS,,,partial-seed,CM4DI-C0017;CM4DI-C0018;CM4DI-C0019;CM4DI-C1015,,,,,,"Owns authentication events, authenticators, results and session semantics.",none accepted; revalidate under #66,retain-current-boundary,Source-family aggregation is preliminary; publication-grade family-by-family rows follow #136–#139.
BCOV-005,CM4DI-D0007,Authorization,CM4DI-BC0005,Authorization Context,AWS;Google Cloud;RFC 8693;Microsoft Entra,,,broad-seed,CM4DI-C0021;CM4DI-C0022;CM4DI-C0023;CM4DI-C0024;CM4DI-C0025;CM4DI-C0026;CM4DI-C0027;CM4DI-C0028;CM4DI-C0029;CM4DI-C0030;CM4DI-C1016;CM4DI-C1017;CM4DI-C1018;CM4DI-C1019;CM4DI-C1020,,,,,,"Owns access requests, principals, resources, actions, permissions, grants, delegation, policies and authorization decisions.",none accepted; revalidate under #66,retain-current-boundary,Source-family aggregation is preliminary; publication-grade family-by-family rows follow #136–#139.
BCOV-006,CM4DI-D0008,Identity Administration,CM4DI-BC0006,Identity Administration Context,AWS;Okta;Keycloak;PingOne;Microsoft Entra;IETF SCIM,,,broad-seed,CM4DI-C1001;CM4DI-C1002;CM4DI-C1003;CM4DI-C1004;CM4DI-C1005;CM4DI-C1006;CM4DI-C1007;CM4DI-C1008;CM4DI-C1012;CM4DI-C1013;CM4DI-C1014,,,,,,"Owns platform-local accounts, profiles, identity sources, stores, administrative domains, applications, provisioning and attribute mappings.",none accepted; revalidate under #66,retain-current-boundary,Source-family aggregation is preliminary; publication-grade family-by-family rows follow #136–#139.
BCOV-007,CM4DI-D0009,Federation,CM4DI-BC0007,Federation Context,OASIS SAML;OpenID Connect;Auth0;Keycloak,,,broad-seed,CM4DI-C0033;CM4DI-C1009;CM4DI-C1010;CM4DI-C1011,,,,,,"Owns cross-domain federation relationships, configured federation connections, brokers and relying-party interaction semantics.",none accepted; revalidate under #66,retain-current-boundary,Source-family aggregation is preliminary; publication-grade family-by-family rows follow #136–#139.
BCOV-008,CM4DI-D0010,Credential Exchange,CM4DI-BC0008,Credential Exchange Context,W3C VC 2.0;OpenID4VC;OpenID4VP;W3C DID Core;W3C DID/Controlled Identifiers;W3C VC ecosystem,,,broad-seed,CM4DI-C2002;CM4DI-C2003;CM4DI-C2004;CM4DI-C2005;CM4DI-C2006;CM4DI-C2007;CM4DI-C2008;CM4DI-C2009;CM4DI-C2010;CM4DI-C2011;CM4DI-C2012,,,,,,"Owns holder, wallet, request, presentation, controller, verification-method and selective-disclosure semantics.",none accepted; revalidate under #66,retain-current-boundary,Source-family aggregation is preliminary; publication-grade family-by-family rows follow #136–#139.
BCOV-009,CM4DI-D0011,Workload Identity,CM4DI-BC0009,Workload Identity Context,Google Cloud;Kubernetes;Microsoft Entra;SPIRE;SPIFFE,,,broad-seed,CM4DI-C3001;CM4DI-C3002;CM4DI-C3003;CM4DI-C3004;CM4DI-C3005;CM4DI-C3008;CM4DI-C3009;CM4DI-C3010;CM4DI-C3011;CM4DI-C3012;CM4DI-C3013;CM4DI-C3014,,,,,,"Owns runtime workload identity, service-account/principal patterns, attestation, trust domains, SVIDs and token exchange.",none accepted; revalidate under #66,retain-current-boundary,Source-family aggregation is preliminary; publication-grade family-by-family rows follow #136–#139.
BCOV-010,CM4DI-D0012,Device Identity,CM4DI-BC0010,Device Identity Context,Microsoft Entra,,,partial-seed,CM4DI-C3006;CM4DI-C3007,,,,,,Owns device identity-bearing semantics and managed device identity records while reusing authentication and authorization roles.,none accepted; revalidate under #66,retain-current-boundary,Source-family aggregation is preliminary; publication-grade family-by-family rows follow #136–#139.
BCOV-011,CM4DI-D0013,Agent Identity,CM4DI-BC0011,Agent Identity Context,Microsoft Entra Agent ID;AWS AgentCore,,,partial-seed,CM4DI-C3015;CM4DI-C3016;CM4DI-C3017;CM4DI-C3018,,,,,,"Owns software-agent and AI-agent identity, managed agent identity and sponsor/accountability semantics.",none accepted; revalidate under #66,retain-current-boundary,Source-family aggregation is preliminary; publication-grade family-by-family rows follow #136–#139.
