trace_id,research_goal,capability,domain,bounded_context,concept_ids,feature_candidate,user_story_candidate,acceptance_or_cq,test_or_evaluation,status
TR-001,"Cross-paradigm identity representation","Represent a subject through scoped digital identity","Identity Representation","Identity Semantics Context","CM4DI-C0002;CM4DI-C0003;CM4DI-C0004;CM4DI-C0005","Create and resolve digital identity representation","As an integrating system I can represent a subject with scoped identifiers without treating an account as the subject","CQ0001;CQ0002;CQ0004","SPARQL CQ + multi-system mapping scenario",candidate
TR-002,"Evidence-backed identity establishment","Establish identity with explicit evidence/binding","Identity Establishment","Identity Assurance Context","CM4DI-C0008;CM4DI-C0010;CM4DI-C0015;CM4DI-C0016;CM4DI-C0020","Proofing and enrollment workflow","As an identity service I can preserve the evidence and assurance basis of an established identity","CQ0010;CQ0011;CQ0012","NIST/EUDI scenario + SHACL/provenance checks",candidate
TR-003,"Credential interoperability","Manage neutral credential lifecycle","Credential Management","Credential Lifecycle Context","CM4DI-C0011;CM4DI-C0012;CM4DI-C0013;CM4DI-C0014;CM4DI-C2001","Credential issuance and status lifecycle","As an issuer I can issue and manage credential state independently of presentation protocol","CQ0008;CQ0009","OID4VCI/VC test mapping + lifecycle examples",candidate
TR-004,"Reusable authentication semantics","Authenticate heterogeneous actors/authenticators","Authentication","Authentication Context","CM4DI-C0017;CM4DI-C0018;CM4DI-C0019;CM4DI-C1015","Authentication event and session handling","As an authentication service I can record an authentication outcome separately from the resulting session","CQ0013;CQ0014;CQ0025","LANL/RBA instantiation + SPARQL/SHACL",candidate
TR-005,"Neutral access semantics","Decide and persist access separately","Authorization","Authorization Context","CM4DI-C0021;CM4DI-C0022;CM4DI-C0023;CM4DI-C0024;CM4DI-C0025;CM4DI-C0026;CM4DI-C0027;CM4DI-C0028;CM4DI-C0029","Authorization decision and durable access grant","As an access platform I can distinguish runtime authorization results from durable access assignments","CQ0016;CQ0018;CQ0019;CQ0020","AuthZEN/XACML plus AWS/Entra/Google mapping tests",candidate
TR-006,"Enterprise identity administration","Manage local representations and provisioning","Identity Administration","Identity Administration Context","CM4DI-C1001;CM4DI-C1002;CM4DI-C1003;CM4DI-C1005;CM4DI-C1012;CM4DI-C1013;CM4DI-C1014","Account/profile/source/provisioning management","As an IAM integrator I can synchronize accounts while preserving subject/source/provenance distinctions","CQ0024","SCIM/Okta/Keycloak persistence and mapping tests",candidate
TR-007,"Cross-domain SSO interoperability","Federate without conflating synchronization","Federation","Federation Context","CM4DI-C1009;CM4DI-C1010;CM4DI-C1011;CM4DI-C0033","Federation broker and connection management","As a relying system I can federate an external workforce identity without requiring local account provisioning","CQ0032","Google Workforce Identity Federation + OIDC/SAML mapping scenario",candidate
TR-008,"Wallet and presentation interoperability","Present credential-derived information","Credential Exchange","Credential Exchange Context","CM4DI-C2002;CM4DI-C2004;CM4DI-C2006;CM4DI-C2007;CM4DI-C2003;CM4DI-C2012","Credential presentation workflow","As a verifier I can request and evaluate credential-derived information without equating holder with credential subject","CQ0026","OpenID4VP/EUDI reference implementation/conformance scenario",candidate
TR-009,"Non-human workload identity","Establish and use workload identity","Workload Identity","Workload Identity Context","CM4DI-C3001;CM4DI-C3003;CM4DI-C3004;CM4DI-C3005;CM4DI-C3008;CM4DI-C3009;CM4DI-C3012;CM4DI-C3014","Workload attestation and short-lived credential exchange","As a workload platform I can attest a workload and issue/use a temporary identity credential without a human user account","CQ0027;CQ0028","SPIRE + Google WIF + Entra MI mapping tests",candidate
TR-010,"Device identity separation","Represent device independently of authenticator role","Device Identity","Device Identity Context","CM4DI-C3006;CM4DI-C3007;CM4DI-C0018","Device identity registration","As an IAM/device platform I can distinguish the device from its directory record and authenticator role","CQ0028","Directory/device mapping + SHACL anti-conflation",candidate
TR-011,"Delegated agent identity","Govern agent identity and delegated authority","Agent Identity","Agent Identity Context","CM4DI-C3015;CM4DI-C3016;CM4DI-C3017;CM4DI-C3018;CM4DI-C0030;CM4DI-C0029","Agent identity and sponsor/delegation management","As a system owner I can identify an AI agent and record who sponsors and delegates authority to it","CQ0029","Emerging agent scenario; evidence hardening required",candidate-evidence-gap
TR-012,"Governed trust interoperability","Represent framework participation and conformance","Trust Governance","Trust Governance Context","CM4DI-C4001;CM4DI-C4003;CM4DI-C4004;CM4DI-C4005;CM4DI-C4011;CM4DI-C4012;CM4DI-C4013;CM4DI-C4014;CM4DI-C0031;CM4DI-C0032","Trust registry and conformance integration","As an ecosystem integrator I can represent participant status/certification without conflating trust registry trust anchor and trust assessment","CQ0022;CQ0023","EUDI/PCTF/UK/Australia cross-framework scenario",candidate
TR-013,"Government digital identity integration","Map legal identity and government attestations","Government Identity","Government Identity Context","CM4DI-C4015;CM4DI-C4016;CM4DI-C4017;CM4DI-C4018","Government identity adapter","As a government-identity integrator I can map PID/attestation/provider semantics into neutral identity and credential structures","government/EUDI profile CQ family; Gate-D expansion pending","EUDI/MOSIP/ID4D scenario and coverage evaluation",candidate
