cq_id,scope,question,purpose,required_concepts,required_relations,external_source_families,evaluation_target,current_support_state,reasoning_or_query_plan,next_action
CM4DI-CQ0001,Core,"What real or technical entity is a given DigitalIdentity about, and in what IdentityContext is that representation interpreted?",Separate subject from representation and context,IdentitySubject;DigitalIdentity;IdentityContext,represents;interpretedIn,,SPARQL+scenario,core-normative-support-to-bind,SPARQL+scenario,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0002,Core,Can the same underlying entity play IdentitySubject in multiple identity contexts without becoming multiple real-world entities?,Support contextual multiplicity,IdentitySubject;DigitalIdentity;IdentityContext,playsRole;represents;interpretedIn,,scenario,core-normative-support-to-bind,scenario,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0003,Core+TechnicalIdentity,"Can a non-human entity such as a device, workload or software agent be represented as an IdentitySubject without classifying it as a Person?",Human/non-human compatibility,IdentitySubject,playedBy,,scenario,core-normative-support-to-bind,scenario,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0004,Core,"Which Identifier identifies or references a subject or DigitalIdentity, under which scheme and scope?",Identifier semantics,Identifier;IdentitySubject;DigitalIdentity;IdentityContext,hasIdentifier;identifiesSubject;scopedBy,W3C DID Core;SPIFFE,SPARQL,mapped-source-support,SPARQL,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0005,Core,"What Claim is made about which IdentitySubject, by whom, and what IdentityAttribute or proposition does it assert?",Normalize Claim semantics,Claim;IdentitySubject;IdentityAttribute;Party,about;asserts;assertedBy,,SPARQL,core-normative-support-to-bind,SPARQL,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0006,Core,"What Evidence supports a Claim, IdentityProofing activity, IdentityBinding or AssuranceAssessment, and what is its provenance?",Evidence traceability,Evidence;Claim;IdentityProofing;IdentityBinding;AssuranceAssessment,supportsClaim;usesEvidence;groundedBy;derivedFrom;providedBy,NIST SP 800-63A-4;NIST SP 800-63B-4;NIST SP 800-63C-4;UK Government,SPARQL,mapped-source-support,SPARQL,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0007,Core,"When is an Evidence item being used as Proof, and what proposition or binding does that proof support?",Evidence/Proof anti-conflation,Evidence;Proof,playsProofRoleIn;supportsClaim;groundedBy,,scenario,core-normative-support-to-bind,scenario,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0008,Core,"Which Credential was issued by which issuer for which subject, what Claims does it support, and what is its current status?",Credential semantics,Credential;IdentitySubject;Claim;CredentialStatus,credentialIssuedBy;credentialAbout;carriesClaim;hasCredentialStatus,W3C VC 2.0;ISO mdoc,SPARQL,mapped-source-support,SPARQL,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0009,Core,Which lifecycle event changed the state/status of a Credential and when?,Credential lifecycle,Credential;CredentialLifecycleEvent;CredentialStatus,affectsCredential;hasCredentialStatus,W3C VC 2.0;ISO mdoc,SPARQL,mapped-source-support,SPARQL,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0010,Core,"What evidence and checks were used during IdentityProofing, and what confidence/assurance assessment resulted?",Separate proofing from authentication,IdentityProofing;Evidence;AssuranceAssessment,usesEvidence;producesAssuranceAssessment,NIST SP 800-63A-4;NIST SP 800-63B-4;NIST SP 800-63C-4;UK Government,SPARQL,mapped-source-support,SPARQL,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0011,Core,"What managed relationship or representation was established by Enrollment, and which subject did it bind?",Enrollment semantics,Enrollment;IdentityBinding;IdentitySubject;DigitalIdentity,enrollsSubject;createsBinding;createsDigitalIdentity,,scenario,core-normative-support-to-bind,scenario,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0012,Core,"What IdentityBinding links a subject to a DigitalIdentity, Credential or Authenticator, and what Evidence grounds that binding?",Binding semantics,IdentityBinding;IdentitySubject;DigitalIdentity;Credential;Authenticator;Evidence,mediatesSubject;bindsDigitalIdentity;bindsCredential;bindsAuthenticator;groundedBy,W3C VC 2.0;ISO mdoc,SPARQL,mapped-source-support,SPARQL,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0013,Core,"Who or what performed an Authentication, which Authenticator was used, in what context, and what result was produced?",Authentication event trace,Authentication;Authenticator;AuthenticationResult;IdentityContext;Party,performedBy;usesAuthenticator;authenticationInContext;producesAuthenticationResult,,SPARQL+dataset,core-normative-support-to-bind,SPARQL+dataset,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0014,Core,"Can an Authenticator be a device, secret, key or other entity without making those entities all the same ontological kind?",Authenticator role pattern,Authenticator,playedBy,,scenario,core-normative-support-to-bind,scenario,Bind exact source locators and executable query after #60/#69
