row_id,source_type,source_name,version_or_year,formalism,foundational_grounding,modularity,reasoning_or_axiom_signal,cm4di_overlap,provisional_position,formalization_risk,coverage_status,source_or_identifier
FORM-001,competitor,MFSSIA: Ontology of blockchain-based multi-factor challenge set self-sovereign identity authentication,2026,ontology; formal conceptual rules,UFO,to-extract,to-extract from primary source,Authentication; trust; non-human actors; identity verification; UFO grounding,"CM4DI targets cross-paradigm reference semantics across enterprise, credentials, government, workload/device/agent, authorization and standards/framework mappings with broader formal/evaluation architecture",Do not infer formal equivalence from shared terms.,existing-summary_needs-fulltext-revalidation,https://doi.org/10.1016/j.teler.2026.100322
FORM-002,competitor,An Ontology-Based Architecture for Federated Identity Management,2009,OWL,none identified in current evidence,to-extract,to-extract from primary source,Federation; IdentityProvider; ServiceProvider; CircleOfTrust; OWL formalization,"CM4DI is broader, foundationally grounded, DDD/modular, current-standard aligned and evaluated across multiple paradigms; direct historical OWL comparison is required",Do not infer formal equivalence from shared terms.,fulltext-locator-found_needs-extraction,https://doi.org/10.1109/AINA.2009.124
FORM-003,competitor,An Ontology-Based Identity and Access Management Metamodel for Secure Adaptive Enterprise Architecture,2021,ontology/metamodel,ontology-based enterprise architecture approach,to-extract,to-extract from primary source,Identity management; access management; security architecture; metamodel,CM4DI contributes a cross-paradigm identity reference ontology and formal standards/framework/neighbor mappings rather than an enterprise-architecture-specific IAM metamodel,Do not infer formal equivalence from shared terms.,existing-summary_needs-fulltext-revalidation,https://doi.org/hdl:10453/153295
FORM-004,competitor,SemID: Combining Semantics with Identity Management,2007,ontology implemented/modelled in Protégé,none identified in current evidence,to-extract,to-extract from primary source,Identity management; role/policy/resource access; semantic-web ontology,"Historical formal IAM ontology focused on corporate access-control semantics; CM4DI separates identity, authorization, federation, credential/government/non-human domains and adds foundational grounding plus current standards/evaluation",Do not infer formal equivalence from shared terms.,discovered_needs-fulltext-extraction,https://doi.org/10.1109/SECUREWARE.2007.4385304
FORM-005,competitor,Distributed Identity Management for Semantic Entities (semDIM),2020,modular DUL-based OWL ontology patterns; semantic-web architecture,DUL,to-extract,to-extract from primary source,Distributed identifiers; persons/groups/roles; cross-namespace identity; reasoning; modular semantic architecture,"Particularly important contrast: semDIM centrally uses owl:sameAs for distributed identity, whereas CM4DI treats account linking/co-reference conservatively and separates IdentitySubject, DigitalIdentity and Account; CM4DI also has broader standards/government/workload/credential/trust scope",Do not infer formal equivalence from shared terms.,discovered_needs-fulltext-extraction,https://doi.org/10.1007/978-3-030-76228-5_36
FORM-006,competitor,Decentralized Semantic Identity,2016,Semantic Web identity architecture using WebID/FOAF/JWT/blockchain,FOAF/WebID semantic stack,to-extract,to-extract from primary source,semantic identity representation; claims; authentication; decentralized user control,Architecture/semantic identity comparator rather than a well-founded cross-paradigm reference ontology; CM4DI remains technology-neutral and separates identity representation from protocol/blockchain mechanisms,Do not infer formal equivalence from shared terms.,discovered_needs-fulltext-extraction,https://doi.org/10.1145/2993318.2993348
FORM-007,neighbor,gUFO,current-maintained,OWL 2 DL,UFO,selective foundational import candidate subject to #69,type categories; mediates; participatedIn; historicallyDependsOn; event/situation patterns,Kind;Role;RoleMixin;Relator;Event;Situation;Quality;mediation;participation;historical dependence,reuse-and-align-candidate,medium,substantive-seed,https://github.com/nemo-ufes/gufo
FORM-008,neighbor,ONTrust,current research artifact,OntoUML; gUFO-based OWL,UFO/gUFO,do not import until exact module/axiom dependency review,trust relation; trustor/trustee roles; trustworthiness/risk patterns,TrustAssessment; trust relation; trustworthiness; risk arising from trust,align-and-bridge,medium,substantive-seed,https://github.com/unibz-core/trust-ontology
FORM-009,neighbor,PROV-O,W3C Recommendation family,OWL 2 / PROV family,PROV-DM/PROV semantics,no full import by default; selectively align provenance relations,Entity/Activity/Agent; wasGeneratedBy; used; wasAttributedTo; wasDerivedFrom; specialization/alternate,provenance of Claim;Evidence;Credential;AttributeMapping;source derivation; generation/use/attribution,align-and-bridge,low-medium,substantive-seed,https://www.w3.org/TR/prov-o/
FORM-010,neighbor,W3C ORG,W3C Recommendation,RDF/OWL vocabulary,FOAF/SKOS ecosystem,do not import into Core by default,Organization; Membership linking Agent-Organization-Role; subOrganizationOf; ChangeEvent,Organization; Membership; Role; organizational unit; registered organization adjacency,bridge-and-reuse,low,substantive-seed,https://www.w3.org/TR/vocab-org/
FORM-011,neighbor,ODRL Information Model 2.2,W3C Recommendation 2018,RDF information model/vocabulary,independent policy model,do not import into CM4DI Core; map rich policy expressions at authorization profile/interface,Policy; Rule; Permission; Prohibition; Duty; Constraint; Party; Asset; Action,AccessPolicy; Permission; Action; Asset/Resource; Constraint; Duty; prohibition,bridge,medium,substantive-seed,https://www.w3.org/TR/odrl-model/
FORM-012,neighbor,Data Privacy Vocabulary 2.0,W3C Community Group Final Report 2024,RDF vocabulary/ontology modules,privacy/data-protection domain,do not import into Core; align privacy/legal-boundary mappings,privacy/legal processing relations and taxonomies,personal data; processing; purpose; consent; legal basis; technology; rights; measures,bridge,medium,substantive-seed,https://www.w3.org/community/reports/dpvcg/CG-FINAL-dpv-20240801/
