coverage_id,relation_id,label,scope,source,target,relation_semantics_or_stereotype,cq_ids,governed_status,external_coverage_state,next_action
REL-0001,CM4DI-R0001,represents,Core,DigitalIdentity,IdentitySubject,formal,CQ0001,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0002,CM4DI-R0002,interpretedIn,Core,DigitalIdentity,IdentityContext,formal,CQ0001,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0003,CM4DI-R0003,hasIdentifier,Core,DigitalIdentity,Identifier,formal,CQ0004,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0004,CM4DI-R0004,identifiesSubject,Core,Identifier,IdentitySubject,formal,CQ0004,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0005,CM4DI-R0005,scopedBy,Core,Identifier,IdentityContext,formal,CQ0004,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0006,CM4DI-R0006,about,Core,Claim,IdentitySubject,formal,CQ0005,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0007,CM4DI-R0007,asserts,Core,Claim,IdentityAttribute,formal,CQ0005,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0008,CM4DI-R0008,assertedBy,Core,Claim,Party,historicalDependence,CQ0005,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0009,CM4DI-R0009,supportsClaim,Core,Evidence,Claim,formal,CQ0006,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0010,CM4DI-R0010,providedBy,Core,Evidence,Party,historicalDependence,CQ0006,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0011,CM4DI-R0011,derivedFrom,Core,Evidence,Evidence,historicalDependence,CQ0006,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0012,CM4DI-R0012,playsProofRoleIn,Core,Proof,IdentityProofing,participation,CQ0007,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0013,CM4DI-R0013,mediatesSubject,Core,IdentityBinding,IdentitySubject,mediation,CQ0012,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0014,CM4DI-R0014,bindsDigitalIdentity,Core,IdentityBinding,DigitalIdentity,mediation,CQ0012,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0015,CM4DI-R0015,bindsCredential,Core,IdentityBinding,Credential,mediation,CQ0012,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0016,CM4DI-R0016,bindsAuthenticator,Core,IdentityBinding,Authenticator,mediation,CQ0012,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0017,CM4DI-R0017,groundedBy,Core,IdentityBinding,Evidence,formal,CQ0012,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0018,CM4DI-R0018,credentialAbout,Core,Credential,IdentitySubject,formal,CQ0008,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0019,CM4DI-R0019,carriesClaim,Core,Credential,Claim,formal,CQ0008,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0020,CM4DI-R0020,credentialIssuedBy,Core,Credential,Party,historicalDependence,CQ0008,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0021,CM4DI-R0021,hasCredentialStatus,Core,Credential,CredentialStatus,characterization,CQ0008,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0022,CM4DI-R0022,affectsCredential,Core,CredentialLifecycleEvent,Credential,participation,CQ0009,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0023,CM4DI-R0023,producesCredential,Core,CredentialIssuance,Credential,historicalDependence,CQ0009,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0024,CM4DI-R0024,proofingSubject,Core,IdentityProofing,IdentitySubject,participation,CQ0010,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0025,CM4DI-R0025,usesEvidence,Core,IdentityProofing,Evidence,participation,CQ0010,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0026,CM4DI-R0026,producesAssuranceAssessment,Core,IdentityProofing,AssuranceAssessment,historicalDependence,CQ0010,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0027,CM4DI-R0027,enrollsSubject,Core,Enrollment,IdentitySubject,participation,CQ0011,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0028,CM4DI-R0028,createsDigitalIdentity,Core,Enrollment,DigitalIdentity,historicalDependence,CQ0011,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0029,CM4DI-R0029,createsBinding,Core,Enrollment,IdentityBinding,historicalDependence,CQ0011,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0030,CM4DI-R0030,performedBy,Core,Authentication,Party,participation,CQ0013,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0031,CM4DI-R0031,authenticatesSubject,Core,Authentication,IdentitySubject,participation,CQ0013,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0032,CM4DI-R0032,usesAuthenticator,Core,Authentication,Authenticator,participation,CQ0013,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0033,CM4DI-R0033,authenticationInContext,Core,Authentication,IdentityContext,formal,CQ0013,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0034,CM4DI-R0034,producesAuthenticationResult,Core,Authentication,AuthenticationResult,historicalDependence,CQ0013,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0035,CM4DI-R0035,hasAssuranceAssessment,Core,AuthenticationResult,AssuranceAssessment,formal,CQ0015,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0036,CM4DI-R0036,evaluatesRequest,Core,Authorization,AuthorizationRequest,participation,CQ0018,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0037,CM4DI-R0037,requestPrincipal,Core,AuthorizationRequest,Principal,formal,CQ0016,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0038,CM4DI-R0038,requestResource,Core,AuthorizationRequest,Resource,formal,CQ0016,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0039,CM4DI-R0039,requestAction,Core,AuthorizationRequest,Action,formal,CQ0016,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0040,CM4DI-R0040,requestContext,Core,AuthorizationRequest,AuthorizationContext,formal,CQ0017,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0041,CM4DI-R0041,producesAuthorizationResult,Core,Authorization,AuthorizationResult,historicalDependence,CQ0018,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0042,CM4DI-R0042,permitsAction,Core,Permission,Action,formal,CQ0019,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0043,CM4DI-R0043,permissionAppliesTo,Core,Permission,Resource,formal,CQ0019,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0044,CM4DI-R0044,grantPrincipal,Core,AccessGrant,Principal,mediation,CQ0020,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0045,CM4DI-R0045,grantPermission,Core,AccessGrant,Permission,mediation,CQ0020,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0046,CM4DI-R0046,grantScope,Core,AccessGrant,Resource,mediation,CQ0020,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0047,CM4DI-R0047,delegator,Core,Delegation,Principal,mediation,CQ0021,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0048,CM4DI-R0048,delegatee,Core,Delegation,Principal,mediation,CQ0021,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0049,CM4DI-R0049,delegatedPermission,Core,Delegation,Permission,mediation,CQ0021,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0050,CM4DI-R0050,assessmentTarget,Core,AssuranceAssessment,IdentityProofing,formal,CQ0015,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0051,CM4DI-R0051,trustTarget,Core,TrustAssessment,Party,formal,CQ0022,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0052,CM4DI-R0052,trustSupportedBy,Core,TrustAssessment,Evidence,formal,CQ0022,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0053,CM4DI-R0053,trustAlignsTo,Core,TrustAssessment,TrustReference,formal,CQ0022,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0054,CM4DI-R0054,reliesOn,Core,RelyingParty,Claim,formal,CQ0032,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0055,CM4DI-R0055,verifiesEvidence,Core,Verifier,Evidence,formal,CQ0026,gate-c-candidate,baseline-source-supported,External relation-level evidence closure under #135/#140
REL-0056,CM4DI-R1001,representsAccount,P01,Account,IdentitySubject,Account represents or is associated with a subject without being identical to it.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0057,CM4DI-R1002,hasProfile,P01,Account,UserProfile,Account is associated with a mutable user/profile record.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
