cq_id,profile,question,purpose,status,required_profile_concepts,required_core_concepts,expected_capability
CM4DI-CQ0033,P01,"Which Account represents a given IdentitySubject in a specified AdministrativeDomain?","Test subject/account/domain separation",wave6-candidate,"Account;AdministrativeDomain","IdentitySubject","Return local account representations without treating them as subjects."
CM4DI-CQ0034,P01,"Which IdentitySource is authoritative for a specified attribute in a UserProfile?","Test provenance/source authority",wave6-candidate,"IdentitySource;AuthoritativeIdentitySource;UserProfile","IdentityAttribute;Evidence","Resolve controlling source for profile data."
CM4DI-CQ0035,P01,"Which FederationConnection and broker mediate an authentication between external and local domains?","Test federation mediation",wave6-candidate,"Federation;FederationConnection;IdentityBroker","Authentication;Party;RelyingParty","Trace configured federation path."
CM4DI-CQ0036,P01,"Did a successful AuthenticationResult establish a Session and what is its independent lifecycle status?","Separate result from session",wave6-candidate,"Session","AuthenticationResult","Trace session established from authentication result."
CM4DI-CQ0037,P01,"Which PermissionBundle and Core Permissions support a given AccessGrant for a Principal?","Normalize IAM roles/permission sets",wave6-candidate,"PermissionBundle","Principal;Permission;AccessGrant","Trace operational role bundle to semantic permission/grant."
CM4DI-CQ0038,P02,"Who is the Credential subject, who currently plays Holder, and are they the same entity?","Test holder/subject distinction",wave6-candidate,"Holder","Credential;IdentitySubject","Return subject and holder independently."
CM4DI-CQ0039,P02,"Which Issuer issued a Credential and through which CredentialIssuance event?","Test issuance role/event",wave6-candidate,"Issuer","Credential;CredentialIssuance","Trace credential provenance to issuer and issuance."
CM4DI-CQ0040,P02,"What PresentationRequest caused a CredentialPresentation and which Claims were disclosed?","Test presentation semantics",wave6-candidate,"PresentationRequest;CredentialPresentation;VerifiablePresentation","Claim;Credential","Trace request to presentation and disclosed claims."
CM4DI-CQ0041,P02,"Which VerificationMethod was used to evaluate a Proof in a presentation?","Test proof/verification mechanism separation",wave6-candidate,"VerificationMethod;CredentialPresentationVerifier","Proof;Evidence","Trace profile cryptographic method without redefining Proof."
CM4DI-CQ0042,P02,"Was SelectiveDisclosure used and which credential information remained undisclosed?","Test disclosure mode",wave6-candidate,"SelectiveDisclosure;CredentialPresentation","Credential;Claim","Identify selective-disclosure behavior."
CM4DI-CQ0043,P03,"Which Workload is represented by a ServiceAccount or ManagedIdentity and which Principal role does it play?","Test workload/representation/principal separation",wave6-candidate,"Workload;ServiceAccount;ManagedIdentity","IdentitySubject;Principal;DigitalIdentity","Trace non-human bearer to managed representation and principal."
CM4DI-CQ0044,P03,"Which WorkloadAttestation evidence grounds an IdentityBinding for a workload?","Test runtime attestation binding",wave6-candidate,"WorkloadAttestation;Workload","Evidence;IdentityBinding","Trace attestation to subject-representation binding."
CM4DI-CQ0045,P03,"Which SPIFFE Identifier and SVID belong to a workload and under which TrustDomain?","Test SPIFFE semantic decomposition",wave6-candidate,"SVID;TrustDomain;Workload","Identifier;Credential;IdentitySubject","Return workload identifier credential and trust-domain scope separately."
CM4DI-CQ0046,P03,"Is a Device acting as IdentitySubject, Authenticator, Principal, or more than one of these in a scenario?","Test role multiplicity without identity collapse",wave6-candidate,"Device;DeviceIdentityRecord","IdentitySubject;Authenticator;Principal","Return contextual role occurrences for device."
CM4DI-CQ0047,P03,"Does an AI Agent access a resource through autonomous AccessGrant or delegated authority, and who is its Sponsor?","Test agent authorization/accountability",wave6-candidate,"AIAgent;AgentIdentity;AgentSponsor","AccessGrant;Delegation;Principal","Distinguish autonomous from delegated access and identify sponsor."
CM4DI-CQ0048,P04,"Which TrustFramework governs an EcosystemParticipation and what is its current ParticipantStatus?","Test governance participation",wave6-candidate,"TrustFramework;EcosystemParticipation;ParticipantStatus","Party;TrustReference","Trace participant to framework and status."
CM4DI-CQ0049,P04,"Which Certification or Accreditation event established a provider or assessor status?","Separate conformance lifecycles",wave6-candidate,"Certification;Accreditation;ConformityAssessmentBody","Party;AssuranceAssessment","Trace governance status-establishing event."
CM4DI-CQ0050,P04,"What AssuranceAssessment dimension and level apply to proofing authentication or federation in a framework?","Test dimension-specific assurance",wave6-candidate,"TrustFramework","AssuranceAssessment","Return assurance dimension/value without one overloaded LoA."
CM4DI-CQ0051,P04,"Which LegalIdentity or PersonIdentificationData grounds a government Credential about an IdentitySubject?","Test legal/digital identity separation",wave6-candidate,"LegalIdentity;PersonIdentificationData;GovernmentAttestation","IdentitySubject;Credential;Claim","Trace legal basis and governed data without equating them to DigitalIdentity."
CM4DI-CQ0052,P04,"Is a trust decision based on TrustAssessment, registry/certification status, or a technical TrustChain/TrustAnchor?","Test trust anti-conflation",wave6-candidate,"TrustRegistry;TrustedList;TrustAnchor;TrustChain;Certification","TrustAssessment;TrustReference","Distinguish evaluative trust, governance conformance and cryptographic trust infrastructure."
