item_id,source_family,subject,states_or_constraint,transition_or_rule,cm4di_alignment,affected_domain,formalization_question,status
LFC-001,Credential standards,Credential,"issued;active;suspended;revoked;expired;invalid","issuance establishes credential; status events alter managed validity",CredentialStatus;CredentialLifecycleEvent;CredentialIssuance,Credential Management,"Which states are open-world ontology facts versus closed-world SHACL integrity constraints?",active
LFC-002,IAM products,Account,"staged/pending;active;locked;suspended/deactivated;deleted","administrative lifecycle changes managed representation availability",Account + Provisioning/administrative events,Identity Administration,"Need neutral AccountStatus concept/mode or remain product mappings?",investigate
LFC-003,Authentication,Session,"created;active;reauth-required;revoked;expired","successful authentication may create session; logout/risk/admin action can terminate it",Session;AuthenticationResult,Authentication,"Should generic session lifecycle event/status be added or profile-only?",investigate
LFC-004,NIST/Authn,Authenticator,"registered/bound;active;restricted;revoked;replaced/recovered","binding and authenticator management events control use",Authenticator + IdentityBinding,Authentication,"Authenticator lifecycle is under-modeled in current inventory; test whether formal relation/event additions are needed",investigate
LFC-005,Provisioning,Managed representation,"create;update;enable;disable;delete","source-to-target provisioning drives local representation lifecycle",Provisioning;ProvisioningConnection,Identity Administration,"Represent Provisioning as event family with operation type or separate events?",investigate
LFC-006,Federation,FederationConnection,"configured;active;disabled;rotating metadata/certs;terminated","configuration and trust metadata changes affect cross-domain interaction",FederationConnection,Federation,"Need connection status/event pattern or mapping-only?",investigate
LFC-007,AWS/STS,TemporaryCredential,"issued;active;expired;revoked/invalidated indirectly","role assumption/token exchange issues time-bounded credentials",TemporaryCredential;TokenExchange;Session,Workload Identity,"Qualified temporal validity likely SHACL/data constraint plus OWL relation",active
LFC-008,SPIFFE,SVID,"issued;rotated;active;expired","attestation authorizes issuance and automated rotation",SVID;WorkloadAttestation;CredentialIssuance,Workload Identity,"Rotation is CredentialLifecycleEvent specialization candidate",investigate
LFC-009,Trust frameworks,EcosystemParticipation,"applicant/pending;approved;active;suspended;revoked/expired","registration/certification/governance actions alter participation status",EcosystemParticipation;ParticipantStatus;Certification;Accreditation,Trust Governance,"Separate status mode from certification event and registry record",active
LFC-010,EUDI,Wallet relying-party registration,"registered;updated;suspended/cancelled/removed","registrar and national register govern participation/access certificate lifecycle",Registrar;TrustRegistry;EcosystemParticipation;CredentialStatus,Trust Governance,"Jurisdiction-specific states should map without becoming universal Core",active
LFC-011,Agent identity,AgentIdentity,"provisioned;active;delegated;restricted;suspended;revoked/retired","sponsor/governance and credential/access events control agent authority",AgentIdentity;AgentSponsor;Delegation;AccessGrant,Agent Identity,"Current agent lifecycle lacks governed status/event classes; evaluate across Entra/Auth0/Ping/Descope",investigate
LFC-012,Authorization,AccessGrant,"proposed/requested;active;time-limited;suspended/revoked;expired","assignment/revocation changes durable authority independently of runtime decisions",AccessGrant,Authorization,"Need grant lifecycle/status pattern or derive from validity attributes/events?",investigate
LFC-013,Policy engines,AuthorizationResult,"permit;deny;indeterminate/not-applicable depending framework","decision is produced for request/context; engine-specific outcome vocabularies vary",AuthorizationResult,Authorization,"Keep neutral decision semantics; map source-local status values",active
LFC-014,Identity proofing,Proofing process,"initiated;evidence-collected;validated/verified;decisioned;failed/abandoned","evidence operations establish assurance/binding outcome",IdentityProofing;Evidence;Proof;AssuranceAssessment;IdentityBinding,Identity Establishment,"Need separate proofing sub-events only if cross-source convergence supports them",investigate
LFC-015,Account linking,Link relation,"proposed/verified/linked/unlinked/conflicted","correlation process creates/removes representation link after evidence/verification",linkedAccount,Identity Administration,"Potential AccountLinking event/relator needed? Current relation may be insufficient for provenance/lifecycle",investigate
