product_id,product,vendor,category,scope,identity_objects,federation,provisioning,authorization,nonhuman_identity,protocols,cm4di_domains,semantic_mapping,coverage_status,comparison_disposition
IAM-P001,AWS IAM,Amazon Web Services,Cloud IAM,workforce and workload access,IAM User; IAM Role; IAM Group; Principal; Policy,External IdP federation; role assumption,Limited direct provisioning; integrates with external identity sources,Identity and resource policies; permissions; conditions,Strong via IAM roles,AWS APIs; federation; STS,Authorization;Workload Identity;Federation,IAM Role maps operationally to Principal/PermissionBundle patterns and must not be treated as a UFO Role.,seeded-needs-exhaustive,operational evidence; never ontology authority
IAM-P002,AWS IAM Identity Center,Amazon Web Services,Workforce IAM and SSO,workforce SSO and multi-account access,User; Group; PermissionSet; AccountAssignment,Workforce SSO; external IdP federation,SCIM provisioning supported for external identity sources,Permission sets and account assignments,Indirect through permission-set-created IAM roles,SAML; SCIM; AWS APIs,Identity Administration;Federation;Authorization,PermissionSet is an implementation of PermissionBundle; account assignment is closer to AccessGrant than AuthorizationResult.,seeded-needs-exhaustive,operational evidence; never ontology authority
IAM-P003,Amazon Cognito,Amazon Web Services,CIAM,consumer and application identity,User; UserPool; Group; AppClient; IdentityProvider,OIDC/SAML/social federation; hosted sign-in,User lifecycle APIs; federation/JIT patterns,Groups/scopes/app access; AWS credential federation,Supports unauthenticated/authenticated application identities,OIDC; OAuth2; SAML; social IdPs; APIs,Identity Administration;Authentication;Federation,"UserPool is an AdministrativeDomain/IdentityStore implementation, not IdentityContext.",seeded-needs-exhaustive,operational evidence; never ontology authority
IAM-P004,Microsoft Entra ID,Microsoft,Cloud IAM and directory,workforce identity and application access,User; Group; Application; ServicePrincipal; RoleAssignment; EnterpriseApplication,OIDC/OAuth2/SAML federation and SSO,Provisioning and directory synchronization,RBAC; app roles; permissions; Conditional Access,Strong via service principals and managed identities,Microsoft Graph; OIDC; OAuth2; SAML; SCIM,Identity Administration;Federation;Authorization;Workload Identity,Application object and tenant-local ServicePrincipal must remain distinct; ServicePrincipal maps to contextual Principal representation.,seeded-needs-exhaustive,operational evidence; never ontology authority
IAM-P005,Microsoft Entra External ID,Microsoft,External identity and CIAM,B2B collaboration and customer identity,ExternalUser; CustomerAccount; Tenant; AppRegistration; IdentityProvider,B2B federation; social login; external IdPs,Self-service sign-up and lifecycle management,Policies and application access,Primarily human/external identity,OIDC; OAuth2; SAML; social IdPs; Graph,Identity Administration;Federation;Authentication,External tenant is an AdministrativeDomain implementation; external identity must not be conflated with Social Identity.,seeded-needs-exhaustive,operational evidence; never ontology authority
IAM-P006,Microsoft Managed Identities,Microsoft,Workload identity,Azure resource and application identity,ManagedIdentity; ServicePrincipal; AzureResource,Token acquisition through Entra rather than end-user federation,Platform-managed lifecycle,Azure RBAC role assignments,Core focus,Azure Resource Manager; Microsoft Entra token service,Workload Identity;Authorization;Identity Administration,ManagedIdentity is a provider-managed identity pattern; system-assigned and user-assigned lifecycle differences are profile semantics.,seeded-needs-exhaustive,operational evidence; never ontology authority
IAM-P007,Google Cloud IAM,Google Cloud,Cloud IAM,resource access for workforce and workloads,Principal; ServiceAccount; Role; Permission; Policy; Resource,Integrates with workforce/workload federation,Directory and external provisioning via adjacent services,Allow policies; roles; permissions; conditions,Strong via service accounts and workload identities,Google Cloud APIs; OAuth2; federation,Authorization;Workload Identity;Identity Administration,Google Role is a PermissionBundle implementation; policy binding patterns map to AccessGrant semantics.,seeded-needs-exhaustive,operational evidence; never ontology authority
IAM-P008,Google Workforce Identity Federation,Google Cloud,Workforce federation,external workforce SSO to Google Cloud,WorkforcePool; Provider; Subject; Group; Attribute,OIDC or SAML federation and SSO,Explicitly sync-less federation,IAM allow policies with attribute-based access,Human workforce focus,OIDC; SAML; Google STS/IAM,Federation;Authorization;Identity Administration,Strong evidence for Federation being distinct from Provisioning and for AttributeMapping/AuthorizationContext patterns.,seeded-needs-exhaustive,operational evidence; never ontology authority
IAM-P009,Google Workload Identity Federation,Google Cloud,Workload federation,multicloud and external workload access,WorkloadPool; Provider; ExternalCredential; ServiceAccount,Federated credential exchange,No persistent external user synchronization,IAM bindings and service-account impersonation,Core focus,OIDC; SAML; X.509; AWS; STS,Workload Identity;Federation;Authorization,"Supports Workload, TokenExchange, TemporaryCredential and ServiceAccount distinctions without making pool/provider concepts Core.",seeded-needs-exhaustive,operational evidence; never ontology authority
IAM-P010,Google Cloud Identity,Google,Cloud directory and identity management,workforce directory and groups,User; Group; GroupMembership; Device; Organization,SSO/federation integrations,Directory sync and lifecycle administration,Group-driven access integrations,Limited/adjacent,Directory APIs; SAML; provisioning integrations,Identity Administration;Device Identity;Federation,"Directory objects are managed representations and implementation records, not identity-bearing entities themselves.",seeded-needs-exhaustive,operational evidence; never ontology authority
