normalized_id,label,decision,scope_or_profile,current_baseline_status,evidence_strength,merged_candidate_families,gate_b_rationale
CM4DI-NC001,Identity-Bearing Entity / Identity Subject Pattern,Core,Core foundational layer,Partial via Party and IdentitySubject,Very High,"NH-001; NH-002; ISO/enterprise/government evidence","Core must permit human and non-human subjects without assuming every subject is the same ontological kind; final UFO category is Gate-C work."
CM4DI-NC002,Digital Identity,Core,Core,Existing,Very High,"baseline; academic contextual identity; enterprise account evidence","Retain as protocol-neutral digital representation linked to a subject and context; refine boundaries against Account/Profile/LegalIdentity."
CM4DI-NC003,Identifier,Core,Core,Existing,Very High,"STD-030; NH-024; baseline","Retain generic identifier with scheme/scope; DID and SPIFFE ID remain specializations/mappings."
CM4DI-NC004,Identity Context,Core,Core,Existing,Very High,"academic contextual identity; government jurisdiction; baseline","Retain but do not overload with tenant, trust domain, administrative domain, audience or social context."
CM4DI-NC005,Identity Evidence,Core,Core,Missing,Very High,"STD-001; ACAD-023; NH-023","Evidence is conceptually distinct from Claim, Credential and Proof and recurs in proofing, attestation and assurance."
CM4DI-NC006,Identity Proofing,Core,Core,Missing,Very High,"STD-002; GOV-033; academic","Needed to separate establishment of identity confidence from authentication of an already represented subject."
CM4DI-NC007,Evidence / Proof Pattern,Core,Core,Partial helper only,Very High,"STD-022; ACAD-023; NH-023","Admit neutral Evidence and Proof relation/pattern; cryptographic proof mechanisms remain profile-specific."
CM4DI-NC008,Claim,Core,Core,Existing but overloaded,Very High,"STD-036; academic; VC/OIDC","Retain with ontology-level meaning as an assertion about a subject; protocol name/value members are mappings, not the definition."
CM4DI-NC009,Identity Attribute,Core,Core,Existing,Very High,"baseline; government; enterprise","Retain but strengthen provenance/binding semantics and avoid treating social identity constructs as simple intrinsic attributes."
CM4DI-NC010,Attribute Provenance,Core,Core relation/pattern,Partial,Very High,"GOV-017; IAM-025; implementation evidence","Source/derivation of identity information is cross-framework and necessary for trust and interoperability."
CM4DI-NC011,Attribute / Identity Binding,Core,Core relation/event pattern,Partial,Very High,"GOV-018; NH attestation; standards","Binding evidence/information to the represented subject is distinct from merely being about the subject."
CM4DI-NC012,Credential,Core,Core,Existing,Very High,"baseline; VC; NIST; SPIFFE; government","Retain broad credential concept with explicit categories; token/SVID/device credential remain profile specializations."
CM4DI-NC013,Credential Status,Core,Core lifecycle,Partial,Very High,"STD-016; ACAD-009; VC status","Status is cross-ecosystem; concrete status-list mechanisms stay outside Core."
CM4DI-NC014,Credential Issuance,Core,Core lifecycle event,Implicit,Very High,"STD-017; ACAD-007; government; implementations","Issuance recurs across credential paradigms and must be distinct from holding/presentation."
CM4DI-NC015,Credential Lifecycle Event,Core,Core generic lifecycle pattern,Partial,Very High,"ACAD-010/016; NH-031; IAM account contrasts","Provide generic event/state pattern while keeping credential, account, session and participation lifecycles distinct."
CM4DI-NC016,Authentication,Core,Core,Existing,Very High,"baseline; NIST; IAM; datasets","Retain as event/process; must remain distinct from proofing, federation, session and authorization."
CM4DI-NC017,Authentication Result,Core,Core,Existing,Very High,"baseline; RBA/LANL mapping","Retain result semantics independently from session establishment."
CM4DI-NC018,Authorization,Core,Core,Existing but underspecified,Very High,"STD authz; IAM; academic","Retain and expand minimal semantics around request, resource, action, principal and decision without becoming a full access-control ontology."
CM4DI-NC019,Resource,Core,Core authorization minimum,Missing,Very High,"STD-009; IAM permissions","Authorization requires an explicit target resource."
CM4DI-NC020,Action,Core,Core authorization minimum,Missing,Very High,"STD-010; IAM permissions","Authorization evaluates a requested action over a resource."
