source_id,family,title,version_status,canonical_url,materiality,primary_domains,coverage_status,semantic_focus,last_verified
NORM-001,ISO,"ISO/IEC 24760-1 — Identity management core concepts and terminology","2025 Edition 3 published",https://www.iso.org/standard/24760-1,material,"Identity Representation;Identity Information",partial-access,"identity; identifier; identity information; principal; terminology",2026-08-29
NORM-002,ISO,"ISO/IEC 24760-2 — Reference architecture and requirements","2025 Edition 2 published",https://www.iso.org/standard/24760-2,material,"Digital Identity Management",partial-access,"identity management architecture across persons organizations devices software; contextual/federated/mobile/decentralized systems",2026-08-29
NORM-003,ISO,"ISO/IEC 24760-3 — Practice","2025 Edition 2 published",https://www.iso.org/standard/24760-3,material,"Identity Administration;Identity Information;Authorization;Trust Governance",partial-access,"identity information control; attribute-based access; assurance; practical identity management",2026-08-29
NORM-004,ISO,"ISO/IEC 29115 — Entity authentication assurance framework","2013 published; successor activity monitored",https://www.iso.org/standard/45138.html,material,"Authentication;Identity Evidence",partial-access,"authentication assurance and assurance-level mapping",2026-08-29
NORM-005,ISO,"ISO/IEC 29146 — Framework for access management","2024 Edition 2 published",https://www.iso.org/standard/86013.html,material,Authorization,partial-access,"subject/principal; ICT resource; context; access decision/accountability",2026-08-29
NORM-006,ISO,"ISO/IEC 23220-1 — Mobile eID generic system architectures","2023 published",https://www.iso.org/standard/74910.html,material,"Credential Exchange;Credential Management",partial-access,"mobile eID architecture and lifecycle phases",2026-08-29
NORM-007,ISO,"ISO/IEC TS 23220-2 — Data objects and encoding rules for generic eID systems","2026 Edition 2 published",https://www.iso.org/standard/91155.html,material,"Credential Exchange;Identity Information",partial-access,"generic mobile eID data objects/exchange models",2026-08-29
NORM-008,ISO,"ISO/IEC TS 23220-3 — Installation and issuing phase","2026 published",https://www.iso.org/standard/86783.html,material,"Credential Management;Credential Exchange",partial-access,"installation; issuance; derivation; discoverability",2026-08-29
NORM-009,ISO,"ISO/IEC TS 23220-4 — Operational phase","2026 published",https://www.iso.org/standard/86785.html,material,"Credential Exchange;Authentication",partial-access,"operational interfaces; issuer authentication; holder verification",2026-08-29
NORM-010,ISO,"ISO/IEC 18013-5 — Mobile driving licence application","2021 published; revision activity monitored",https://www.iso.org/standard/69084.html,supporting,"Credential Exchange;Government Identity",partial-access,"mdoc/mDL issuer holder verifier/proximity/remote presentation patterns",2026-08-29
NORM-011,NIST,"NIST SP 800-63-4 — Digital Identity Guidelines","Final July 2025",https://csrc.nist.gov/pubs/sp/800/63/4/final,material,"Identity Establishment;Authentication;Federation;Trust Governance",needs-section-esm,"proofing; enrollment; authentication; federation; wallets; assurance",2026-08-29
NORM-012,NIST,"NIST SP 800-63A-4 — Identity Proofing and Enrollment","Final July 2025",https://csrc.nist.gov/pubs/sp/800/63/A/4/final,material,"Identity Evidence;Identity Establishment",needs-section-esm,"applicant; evidence; proofing; enrollment; IAL",2026-08-29
NORM-013,NIST,"NIST SP 800-63B-4 — Authentication and Authenticator Management","Final July 2025",https://csrc.nist.gov/pubs/sp/800/63/B/4/final,material,Authentication,needs-section-esm,"claimant/subscriber; authenticator lifecycle; authentication; AAL",2026-08-29
NORM-014,NIST,"NIST SP 800-63C-4 — Federation and Assertions","Final July 2025",https://csrc.nist.gov/pubs/sp/800/63/C/4/final,material,"Federation;Authentication;Identity Information",needs-section-esm,"federation; assertions; RP; subscriber attributes; FAL",2026-08-29
NORM-015,W3C,"Verifiable Credentials Data Model 2.0","Recommendation 2025-05-15",https://www.w3.org/TR/vc-data-model-2.0/,material,"Credential Management;Credential Exchange;Identity Information",needs-section-esm,"issuer holder verifier credential subject claims presentations status",2026-08-29
NORM-016,W3C,"Decentralized Identifiers 1.0","Recommendation 2022-07-19; DID 1.1 monitored separately",https://www.w3.org/TR/did-core/,material,"Identity Representation;Credential Exchange",needs-section-esm,"DID subject/controller/document/verification method/service",2026-08-29
NORM-017,W3C,"Verifiable Credential Data Integrity 1.0","Recommendation 2025-05-15",https://www.w3.org/TR/vc-data-integrity/,supporting,"Identity Evidence;Credential Exchange",needs-section-esm,"proof; verification method; data integrity",2026-08-29
NORM-018,W3C,"Controlled Identifiers 1.0","Recommendation 2025-05-15",https://www.w3.org/TR/cid-1.0/,supporting,"Identity Representation;Credential Exchange",needs-section-esm,"controlled identifier; controller; verification material",2026-08-29
NORM-019,W3C,"Bitstring Status List 1.0","Recommendation 2025-05-15",https://www.w3.org/TR/vc-bitstring-status-list/,material,"Credential Management",needs-section-esm,"credential status; revocation/suspension status mechanisms",2026-08-29
NORM-020,W3C,"Web Authentication Level 2","Recommendation 2021-04-08",https://www.w3.org/TR/webauthn-2/,material,Authentication,needs-section-esm,"public-key credential; authenticator; RP; attestation; authentication ceremony",2026-08-29
NORM-021,W3C,"Web Authentication Level 3","Candidate Recommendation Snapshot 2026-05-26; proposed advancement to Recommendation 2026-07-20",https://www.w3.org/TR/webauthn-3/,monitor,Authentication,monitor-current,"current authenticator/WebAuthn evolution; not stable-Recommendation authority yet",2026-08-29
NORM-022,W3C,"Digital Credentials API","Working Draft 2026-07-16",https://www.w3.org/TR/digital-credentials/,monitor,"Credential Exchange",monitor-current,"user-agent mediated issuance/presentation; format/protocol agnostic web API",2026-08-29
NORM-023,OpenID,"OpenID Connect Core 1.0 incorporating Errata Set 2","Final maintained lineage",https://openid.net/specs/openid-connect-core-1_0.html,material,"Federation;Authentication;Identity Information",needs-section-esm,"OP/RP; ID Token; Subject Identifier; Claims; SSO",2026-08-29
NORM-024,OpenID,"OpenID for Verifiable Presentations 1.0","Final July 2025",https://openid.net/specs/openid-4-verifiable-presentations-1_0.html,material,"Credential Exchange",needs-section-esm,"Verifier/Wallet/presentation request/response lifecycle",2026-08-29
NORM-025,OpenID,"OpenID for Verifiable Credential Issuance 1.0","Final September 2025",https://openid.net/specs/openid-4-verifiable-credential-issuance-1_0-final.html,material,"Credential Management;Credential Exchange",needs-section-esm,"credential issuer; wallet; offer/request/issuance",2026-08-29
NORM-026,OpenID,"OpenID Federation 1.1","Final 2026-05-06",https://openid.net/specs/openid-federation-1_1-final.html,material,"Federation;Trust Governance",needs-section-esm,"federation entity; entity statement; trust chain; trust anchor; policy",2026-08-29
NORM-027,OpenID,"Authorization API 1.0 / AuthZEN","Final January 2026",https://openid.net/specs/authorization-api-1_0.html,material,Authorization,needs-section-esm,"subject/resource/action/context/decision; PDP/PEP interaction",2026-08-29
NORM-028,IETF,"SCIM Core Schema RFC 7643","Internet Standard lineage/current with updates tracked",https://www.rfc-editor.org/rfc/rfc7643,material,"Identity Administration;Identity Information",needs-section-esm,"User/Group resources; schemas; membership",2026-08-29
NORM-029,IETF,"SCIM Protocol RFC 7644","Internet Standard lineage/current with updates tracked",https://www.rfc-editor.org/rfc/rfc7644,material,"Identity Administration",needs-section-esm,"provisioning CRUD/filter/bulk/service-provider behavior",2026-08-29
NORM-030,IETF,"OAuth 2.0 Token Exchange RFC 8693","RFC 8693",https://www.rfc-editor.org/rfc/rfc8693,material,"Workload Identity;Authorization;Federation",needs-section-esm,"token exchange; subject token; actor token; impersonation/delegation patterns",2026-08-29
NORM-031,IETF,"JSON Web Token RFC 7519","RFC 7519",https://www.rfc-editor.org/rfc/rfc7519,supporting,"Federation;Authentication;Authorization",needs-section-esm,"claim container/token representation",2026-08-29
NORM-032,IETF,"OAuth 2.0 Security Best Current Practice RFC 9700","RFC 9700 January 2025",https://www.rfc-editor.org/rfc/rfc9700,supporting,"Federation;Authorization;Authentication",needs-section-esm,"security constraints on OAuth deployments",2026-08-29
NORM-033,OASIS,"SAML 2.0","OASIS Standard stable lineage",https://docs.oasis-open.org/security/saml/v2.0/,material,"Federation;Authentication;Identity Information",needs-section-esm,"IdP/SP; assertions; subject; attributes; federation",2026-08-29
NORM-034,OASIS,"XACML 3.0 Core","OASIS Standard stable lineage",https://docs.oasis-open.org/xacml/3.0/xacml-3.0-core-spec-os-en.html,material,Authorization,needs-section-esm,"subject/resource/action/environment; request/decision; policies",2026-08-29
NORM-035,FIDO,"FIDO2/WebAuthn/CTAP specification family","current stable/proposed-standard lineage",https://fidoalliance.org/specifications/,material,Authentication,needs-section-esm,"authenticator/client/platform; passkeys; CTAP; strong authentication",2026-08-29
