evidence_id,title,source_family,source_type,organization_or_authors,publication_or_version_date,version_or_status,persistent_identifier_or_url,doi_if_any,license_or_access_status,paradigm,identity_subject_types,concept_candidates,relation_candidates,lifecycle_candidates,trust_or_assurance_candidates,profile_destination,core_relevance,mapping_relevance,evaluation_relevance,social_identity_flag,evidence_grade_notes,extracted_claim_or_definition_summary,provenance_notes,review_status
"CM4DI-EVID0091","W3C VC Data Model 2.0 Test Suite","Implementation/Test Evidence","Official conformance test suite","W3C","2026-08 review","Active; pushed 2026-08-16","https://github.com/w3c/vc-data-model-2.0-test-suite","","GitHub license metadata NOASSERTION; inspect repo license before code reuse","wallet/VC","credential subject; issuer/holder/verifier roles","Credential; CredentialSubject; Issuer; Holder; Verifier; CredentialStatus","issuer issues credential; holder presents; verifier evaluates","issuance; presentation; status","verification/conformance","Wallet/VC","Medium","High","Very High","false","Authority=official W3C; Directness=executable conformance; Recency=current","Executable test surface for VC 2.0 semantics and interoperability behavior.","Official W3C organization; repo active at review date.","reviewed"
"CM4DI-EVID0092","W3C VC Test Suite Implementations Registry","Implementation/Test Evidence","Official implementation registry","W3C","2026-08 review","Active public repository","https://github.com/w3c/vc-test-suite-implementations","","Inspect repository license before reuse","wallet/VC","implementing systems","IssuerImplementation; HolderImplementation; VerifierImplementation","implementation participatesIn conformance testing","","cross-implementation conformance","Wallet/VC","Low","High","Very High","false","Authority=official W3C; Cross-implementation=high","Provides multi-implementation evidence to avoid single-vendor evaluation bias.","Official W3C organization.","reviewed"
"CM4DI-EVID0093","W3C VC Bitstring Status List Test Suite","Implementation/Test Evidence","Official conformance test suite","W3C","2026-08 review","Active public repository","https://github.com/w3c/vc-bitstring-status-list-test-suite","","Inspect repository license before reuse","wallet/VC lifecycle","credential subject indirectly","CredentialStatus; StatusPurpose","credential has status","suspension; revocation/status checking","status validation","Wallet/VC + lifecycle","Medium","High","High","false","Authority=official W3C; Directness=executable","Executable evidence for credential-status behavior while encoding remains profile-specific.","Official W3C organization.","reviewed"
"CM4DI-EVID0094","W3C DID Test Suite","Implementation/Test Evidence","Official conformance test suite","W3C","2026-08 review","Active; non-archived","https://github.com/w3c/did-test-suite","","Inspect repository license before reuse","decentralized identifiers","DID subject/controller","DID; DIDSubject; DIDController; DIDDocument; VerificationMethod","DID identifies subject; controller controls DID","resolution/update/deactivation depending method","verification material","Wallet/VC","Medium","High","High","false","Authority=official W3C; Directness=executable","Operationalizes DID document/controller/verification semantics for profile mapping.","Official W3C organization.","reviewed"
"CM4DI-EVID0095","OpenID Certification Conformance Suite","Implementation/Test Evidence","Official certification/conformance suite","OpenID Certification","2026-08-19","Active GitHub mirror; authoritative upstream on OpenID GitLab","https://github.com/openid-certification/conformance-suite","","GitHub license metadata NOASSERTION; inspect upstream license before reuse","federation/OIDC/OAuth/OID4VC","user; client; relying party; provider","Client; RP; OP; AuthorizationServer; Token; Assertion; Request; Response","client requests; provider authenticates/issues; RP relies","authentication/federation/authorization transactions","certification/conformance","Enterprise/Federated + Wallet/VC","Medium","Very High","Very High","false","Authority=OpenID certification org; Directness=executable; Recency=current","Conformance engine and test plans for OpenID-family protocol behavior and certification.","GitHub repo explicitly identifies itself as a read-only mirror of OpenID GitLab upstream.","reviewed"
"CM4DI-EVID0096","EUDI Wallet Kit for iOS","Implementation/Test Evidence","Official reference implementation library","EU Digital Identity Wallet","2026-08-19","Active; part of EUDI Wallet Reference Implementation","https://github.com/eu-digital-identity-wallet/eudi-lib-ios-wallet-kit","","Apache-2.0","government/wallet","wallet user; provider; relying/verifier parties","Wallet; Credential; Presentation; Holder; Verifier; RP","wallet holds/presents credential; verifier interacts with wallet","wallet/credential issuance and presentation","EUDI trust/governance integrations","Government + Wallet/VC","Medium","Very High","Very High","false","Authority=official EUDI organization; Directness=reference implementation; Recency=current","Implementation evidence for end-to-end wallet, OpenID4VP and ISO 18013-5-aligned flows.","Official EU Digital Identity Wallet GitHub organization; Apache-2.0 metadata verified.","reviewed"
"CM4DI-EVID0097","EUDI Wallet Reference Implementation Roadmap","Implementation/Test Evidence","Official implementation roadmap","EU Digital Identity Wallet","2026-08 review","Active public repository","https://github.com/eu-digital-identity-wallet/eudi-wallet-reference-implementation-roadmap","","Inspect repository license before reuse","government/wallet","ecosystem actors","WalletSolution; WalletFeature; Issuance; Presentation","roadmap feature supports scenario","implementation lifecycle/milestones","","Government + Wallet/VC","Low","High","Medium","false","Authority=official EUDI organization; Recency=current","Provides scope/status context for reference-implementation feature selection.","Official EUDI organization; not a runtime implementation.","reviewed"
"CM4DI-EVID0098","SPIRE — SPIFFE Runtime Environment","Implementation/Test Evidence","Reference implementation/runtime","SPIFFE","2026-08-19","Active; pushed 2026-08-19","https://github.com/spiffe/spire","","Apache-2.0","workload identity","workload; node; software service","Workload; SPIFFEID; SVID; TrustDomain; TrustBundle; Attestation; RegistrationEntry","attestation binds workload; issuer issues SVID; federation connects trust domains","registration; attestation; issuance; rotation","workload trust domain/federation","Machine/Workload/Device/Agent","Medium","Very High","Very High","false","Authority=SPIFFE organization; Directness=production reference implementation; Recency=current","Strong implementation evidence separating workload, identifier, credential, attestation and trust-domain semantics.","Official SPIFFE repo; Apache-2.0 metadata verified.","reviewed"
"CM4DI-EVID0099","SPIRE Examples","Implementation/Test Evidence","Official examples","SPIFFE","2026-08 review","Active public repository","https://github.com/spiffe/spire-examples","","Inspect repository license before reuse","workload identity","workloads/services","Workload; Registration; SVID; Federation","workload receives identity; services authenticate/federate","deployment/registration lifecycle","","Machine/Workload/Device/Agent","Low","High","High","false","Authority=official SPIFFE organization; Directness=scenario examples","Provides reproducible workload identity scenarios for later Gate-D instantiation.","Official SPIFFE organization.","reviewed"
"CM4DI-EVID0100","Keycloak","Implementation/Test Evidence","Production-grade IAM implementation","Keycloak","2026-08-19","Active; pushed 2026-08-19","https://github.com/keycloak/keycloak","","Apache-2.0","enterprise IAM/SSO","human user; external identity; service/client","Account; Profile; Realm; Client; Session; IdentityProvider; UserFederation; Group; Permission","broker/federate identity; authenticate; maintain session; assign access","account/session lifecycle","federation/broker trust","Enterprise/Federated","High","Very High","Very High","false","Authority=official Keycloak org; Directness=production implementation; Recency=current","Operational implementation surface confirms separation of account/profile, federation, session, clients and access constructs.","Official Keycloak repo; Apache-2.0 metadata verified.","reviewed"
