matrix_id,area,subject,stage_or_dimension,source_part,cm4di_alignment,semantic_observation,formalization_or_cq_signal,status
NIST63-LA-001,Proofing,Applicant,identity resolution,63A,IdentityProofing,"Resolution distinguishes an identity in population/context but is not complete proofing","Potential proofing subevent; CQ should ask resolution vs validation vs verification",investigate
NIST63-LA-002,Proofing,Evidence,identity validation,63A,Evidence/IdentityProofing,"Validation evaluates authenticity accuracy validity/currentness of evidence/attributes","Evidence validation relation/event may improve proofing traceability",investigate
NIST63-LA-003,Proofing,Applicant-Evidence,identity verification,63A,IdentityBinding/IdentityProofing,"Verification confirms validated evidence refers to presenting applicant","Strong relation/evidence for IdentityBinding semantics",active
NIST63-LA-004,Enrollment,SubscriberAccount,account establishment,63A,Enrollment/Account,"Successful proofing typically establishes unique subscriber account","Enrollment creates managed relationship/representation, distinct from Provisioning",active
NIST63-LA-005,Assurance,Proofing,IAL,63A,AssuranceAssessment,"IAL is dimension-specific proofing assurance, not universal LoA","Model dimension+level rather than one overloaded assurance scalar",active
NIST63-LA-006,Authenticator,Authenticator,binding,63B,IdentityBinding/Authenticator,"Authenticator is associated with subscriber account at enrollment or later","May need explicit authenticatorBinding relation/event",investigate
NIST63-LA-007,Authenticator,Authenticator,loss/theft/duplication/expiration/revocation,63B,Authenticator lifecycle,"Authenticator association/usability changes independently from account identity","Cross-vendor lifecycle comparison required before adding status/event classes",investigate
NIST63-LA-008,Assurance,Authentication,AAL,63B,AssuranceAssessment,"AAL constrains authenticator/authentication strength","Assurance dimension must reference authentication not subject identity generally",active
NIST63-LA-009,Authentication,Session,establishment/continuity/reauth/termination,63B,Session,"Session follows successful authentication and has independent lifecycle","Add/test explicit Authentication establishes Session relation",investigate
NIST63-LA-010,Authenticator,SyncableAuthenticator,key synchronization,63B,Authenticator,"One authentication capability/key can be synchronized across devices under constraints","Authenticator instance vs key/material/device relation needs careful profile modeling",investigate
NIST63-LA-011,Federation,Subscriber-IdP-RP,federated relationship,63C,Federation,"Three-party relationship across separate administration; assertion carries auth/attributes","Supports Federation relator/roles without merging account/admin domains",active
NIST63-LA-012,Assurance,Federation,FAL,63C,AssuranceAssessment,"FAL describes assertion construction/protection/presentation strength","AssuranceAssessment should encode dimension=Federation",active
NIST63-LA-013,Federation,Assertion,issue/present/consume/expire,63C,Claim/Evidence/AuthenticationResult-related artifact,"Assertion is per-login artifact with audience and lifetime constraints","Need federation assertion profile artifact and temporal SHACL constraints",investigate
NIST63-LA-014,Federation,RP Session,independent lifecycle,63C,Session,"RP session begins after federation processing and remains independent from IdP session","Strong CQ for session non-equivalence across federation parties",active
NIST63-LA-015,Federation,InformationRelease,runtime authorization,63C,Authorization/privacy boundary,"Existence of federation does not authorize attribute release","Trust/federation relation must not imply Permission",active
NIST63-LA-016,Federation,HolderOfKeyAssertion,key possession,63C,Proof/Authenticator/Evidence,"Subscriber proves possession of assertion-bound key independently of IdP auth key","Proof relation is contextual and key-bound; avoid equating assertion with authenticator",investigate
