relation_id,label,ontouml_relation_stereotype,status,rationale
CM4DI-R0001,represents,formal,candidate,"Semantic representation/aboutness relation; no separate relator is required in Core."
CM4DI-R0002,interpretedIn,formal,candidate,"Contextual interpretation relation between artifact and situation."
CM4DI-R0003,hasIdentifier,formal,candidate,"Reference/association between representation and identifier artifact."
CM4DI-R0004,identifiesSubject,formal,candidate,"Identification/reference relation, not composition or truth-made by a dedicated relator."
CM4DI-R0005,scopedBy,formal,candidate,"Identifier scope qualification."
CM4DI-R0006,about,formal,candidate,"Propositional aboutness."
CM4DI-R0007,asserts,formal,candidate,"Information-content relation."
CM4DI-R0008,assertedBy,historicalDependence,candidate,"Claim provenance historically depends on an assertion/issuance act by a party; formal OWL may use direct property plus provenance event."
CM4DI-R0009,supportsClaim,formal,candidate,"Evidential support relation; support does not imply truth."
CM4DI-R0010,providedBy,historicalDependence,candidate,"Evidence provenance/source relation."
CM4DI-R0011,derivedFrom,historicalDependence,candidate,"Derived evidence depends historically on source evidence."
CM4DI-R0012,playsProofRoleIn,participation,candidate,"Evidence/Proof participates in proofing event."
CM4DI-R0013,mediatesSubject,mediation,candidate,"IdentityBinding relator mediates IdentitySubject."
CM4DI-R0014,bindsDigitalIdentity,mediation,candidate,"IdentityBinding relator mediates DigitalIdentity."
CM4DI-R0015,bindsCredential,mediation,candidate,"IdentityBinding relator mediates Credential."
CM4DI-R0016,bindsAuthenticator,mediation,candidate,"IdentityBinding relator mediates Authenticator role-player."
CM4DI-R0017,groundedBy,formal,candidate,"Evidence grounds the relator; separate mediation is not claimed."
CM4DI-R0018,credentialAbout,formal,candidate,"Credential information is about subject(s)."
CM4DI-R0019,carriesClaim,formal,candidate,"Credential content/support relation; not physical componentOf."
CM4DI-R0020,credentialIssuedBy,historicalDependence,candidate,"Credential historically depends on issuing activity/issuer provenance."
CM4DI-R0021,hasCredentialStatus,characterization,candidate,"CredentialStatus mode characterizes Credential."
CM4DI-R0022,affectsCredential,participation,candidate,"Credential participates in lifecycle event."
CM4DI-R0023,producesCredential,historicalDependence,candidate,"Credential comes into managed existence through issuance event."
CM4DI-R0024,proofingSubject,participation,candidate,"IdentitySubject participates in IdentityProofing."
CM4DI-R0025,usesEvidence,participation,candidate,"Evidence role-player participates in IdentityProofing."
CM4DI-R0026,producesAssuranceAssessment,historicalDependence,candidate,"Assessment artifact results from proofing event."
CM4DI-R0027,enrollsSubject,participation,candidate,"IdentitySubject participates in Enrollment."
CM4DI-R0028,createsDigitalIdentity,historicalDependence,candidate,"DigitalIdentity may be brought into managed existence by Enrollment."
CM4DI-R0029,createsBinding,historicalDependence,candidate,"IdentityBinding may be established by Enrollment."
CM4DI-R0030,performedBy,participation,candidate,"Party role-player participates in Authentication."
CM4DI-R0031,authenticatesSubject,participation,candidate,"IdentitySubject is target/participant of Authentication."
CM4DI-R0032,usesAuthenticator,participation,candidate,"Authenticator role-player participates in Authentication."
CM4DI-R0033,authenticationInContext,formal,candidate,"Authentication is situated/interpreted with respect to IdentityContext; native OntoUML encoding may use event-situation linkage."
CM4DI-R0034,producesAuthenticationResult,historicalDependence,candidate,"AuthenticationResult artifact depends historically on Authentication event."
CM4DI-R0035,hasAssuranceAssessment,formal,candidate,"Result references/reports applicable assurance assessment."
CM4DI-R0036,evaluatesRequest,participation,candidate,"AuthorizationRequest participates as input to Authorization event."
CM4DI-R0037,requestPrincipal,formal,candidate,"AuthorizationRequest information-content link to Principal."
CM4DI-R0038,requestResource,formal,candidate,"AuthorizationRequest information-content link to Resource."
CM4DI-R0039,requestAction,formal,candidate,"AuthorizationRequest information-content link to Action specification."
CM4DI-R0040,requestContext,formal,candidate,"AuthorizationRequest information-content/context link."
CM4DI-R0041,producesAuthorizationResult,historicalDependence,candidate,"Decision/result artifact depends historically on evaluation event."
CM4DI-R0042,permitsAction,formal,candidate,"Normative relation represented by Permission."
CM4DI-R0043,permissionAppliesTo,formal,candidate,"Normative scope relation represented by Permission."
CM4DI-R0044,grantPrincipal,mediation,candidate,"AccessGrant relator mediates Principal."
CM4DI-R0045,grantPermission,mediation,candidate,"AccessGrant relator mediates Permission."
CM4DI-R0046,grantScope,mediation,candidate,"AccessGrant relator mediates/qualifies Resource scope where reified."
CM4DI-R0047,delegator,mediation,candidate,"Delegation relator mediates delegating Principal."
CM4DI-R0048,delegatee,mediation,candidate,"Delegation relator mediates delegated Principal."
CM4DI-R0049,delegatedPermission,mediation,candidate,"Delegation relator mediates delegated Permission/scope."
CM4DI-R0050,assessmentTarget,formal,candidate,"AssuranceAssessment refers to/assesses a proofing event; profile-specific targets use qualified variants."
CM4DI-R0051,trustTarget,formal,candidate,"TrustAssessment concerns a target; external ONTrust relation provides deeper trust semantics."
CM4DI-R0052,trustSupportedBy,formal,candidate,"Evidence-support relation for assessment provenance."
CM4DI-R0053,trustAlignsTo,formal,candidate,"Explicit alignment/reference relation to external trust artifact/concept."
CM4DI-R0054,reliesOn,formal,candidate,"Generic reliance relation; profile may derive it from concrete credential/assertion/authentication interactions."
CM4DI-R0055,verifiesEvidence,formal,candidate,"Generic verification-role relation; concrete verification event semantics belong to specialized profile patterns."
