source_id,title,authority,version_or_date,canonical_url,source_type,material_sections,coverage_status,last_verified,notes
AWS-SRC-001,Principal policy element,AWS,current-2026,https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_elements_principal.html,official-documentation,"principal types; IAM role principals; role session principals; federated principals",substantial-pass-1,2026-08-29,"Primary operational source for Principal/Session distinctions."
AWS-SRC-002,Policies and permissions in IAM,AWS,current-2026,https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies.html,official-documentation,"identity/resource/session policies; effective permission",substantial-pass-1,2026-08-29,"Authorization composition/constraint source."
AWS-SRC-003,Permissions boundaries for IAM entities,AWS,current-2026,https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies_boundaries.html,official-documentation,"permissions boundary; session policy; effective permission intersection",substantial-pass-1,2026-08-29,"Constraint semantics; not a simple permission object."
AWS-SRC-004,AssumeRole API,AWS STS,current-2026,https://docs.aws.amazon.com/STS/latest/APIReference/API_AssumeRole.html,official-api-documentation,"role trust policy; session policies; temporary credentials",substantial-pass-1,2026-08-29,"Role assumption/session/temporary credential lifecycle."
AWS-SRC-005,IAM Identity Center permission sets,AWS,current-2026,https://docs.aws.amazon.com/singlesignon/latest/userguide/permissionsetsconcept.html,official-documentation,"permission sets; account assignments; IAM role materialization",substantial-pass-1,2026-08-29,"Strong evidence for PermissionBundle vs AccessGrant vs derived IAM Role."
AWS-SRC-006,Assign users/groups to AWS accounts,AWS,current-2026,https://docs.aws.amazon.com/singlesignon/latest/userguide/assignusers.html,official-documentation,"user/group/permission-set/account assignment",substantial-pass-1,2026-08-29,"Durable access-assignment pattern."
AWS-SRC-007,IAM Identity Center identity source,AWS,current-2026,https://docs.aws.amazon.com/singlesignon/latest/userguide/confirm-identity-source.html,official-documentation,"Identity Center directory; AD; external IdP; SCIM provisioning",substantial-pass-1,2026-08-29,"IdentitySource/IdentityStore/Provisioning/Federation distinction."
AWS-SRC-008,Users groups and provisioning in IAM Identity Center,AWS,current-2026,https://docs.aws.amazon.com/singlesignon/latest/userguide/users-groups-provisioning.html,official-documentation,"provisioning/deprovisioning; assignments; groups",substantial-pass-1,2026-08-29,"Lifecycle evidence."
AWS-SRC-009,Cognito IAM roles,AWS,current-2026,https://docs.aws.amazon.com/cognito/latest/developerguide/iam-roles.html,official-documentation,"identity pools; IdP tokens; role selection; temporary AWS credentials",substantial-pass-1,2026-08-29,"Federation/role assumption/temporary credential pattern."
AWS-SRC-010,Role trust policy,AWS,current-2026,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_update-role-trust-policy.html,official-documentation,"who may assume role; trusted principal",substantial-pass-1,2026-08-29,"Trust/access precondition is not equivalent to generic TrustAssessment."
