row_id,neighbor_ontology,external_construct,construct_type,external_semantics,cm4di_relevance,mapping_or_disposition,formalization_implication,source,coverage_status,notes
NCMP-001,gUFO,Kind,foundational-category,rigid sortal supplying identity principle,Grounds CM4DI enduring kinds where justified,reuse-foundational,Review exact OWL/RDF import or bridge semantics under #69,https://github.com/nemo-ufes/gufo,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-002,gUFO,Role,foundational-category,anti-rigid relationally dependent sortal,Grounds contextual roles such as specific actor-role patterns,reuse-foundational,Review exact OWL/RDF import or bridge semantics under #69,https://github.com/nemo-ufes/gufo,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-003,gUFO,RoleMixin,foundational-category,anti-rigid relationally dependent non-sortal/category pattern,Supports IdentitySubject/Party heterogeneous contextual-role modeling,reuse-foundational,Review exact OWL/RDF import or bridge semantics under #69,https://github.com/nemo-ufes/gufo,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-004,gUFO,Relator,foundational-category,entity reifying material relationship and mediating participants,Supports IdentityBinding; AccessGrant; Delegation,reuse-foundational,Review exact OWL/RDF import or bridge semantics under #69,https://github.com/nemo-ufes/gufo,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-005,gUFO,mediates,relation,relator mediation relation,Formal projection of binding/grant/delegation participant structure,reuse-foundational,Review exact OWL/RDF import or bridge semantics under #69,https://github.com/nemo-ufes/gufo,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-006,gUFO,Event,foundational-category,perdurant/event category,Supports IdentityProofing; Enrollment; Authentication; Authorization and lifecycle events,reuse-foundational,Review exact OWL/RDF import or bridge semantics under #69,https://github.com/nemo-ufes/gufo,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-007,gUFO,participatedIn,relation,endurant participation in event,Potential event participation projection for subject/provider/authenticator/resource actors,reuse-foundational,Review exact OWL/RDF import or bridge semantics under #69,https://github.com/nemo-ufes/gufo,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-008,gUFO,historicallyDependsOn,relation,historical dependence across entities/events,Potential lifecycle/creation/binding dependencies,reuse-with-care,Review exact OWL/RDF import or bridge semantics under #69,https://github.com/nemo-ufes/gufo,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-009,gUFO,Situation,foundational-category,state-of-affairs/situation pattern,Potential assurance/context/result-state formalization,reuse-if-needed,Review exact OWL/RDF import or bridge semantics under #69,https://github.com/nemo-ufes/gufo,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-010,ONTrust,TrustRelation,domain-pattern,generic trust relation between trustor/trustee under a trust object/context,TrustAssessment/identity trust semantics,align-bridge,Review exact OWL/RDF import or bridge semantics under #69,https://github.com/unibz-core/trust-ontology,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-011,ONTrust,Trustor,role-pattern,party/entity occupying trustor role,Contextual trust actor mapping,align-bridge,Review exact OWL/RDF import or bridge semantics under #69,https://github.com/unibz-core/trust-ontology,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-012,ONTrust,Trustee,role-pattern,party/entity occupying trustee role,Contextual trusted-entity mapping,align-bridge,Review exact OWL/RDF import or bridge semantics under #69,https://github.com/unibz-core/trust-ontology,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-013,ONTrust,Trustworthiness,quality-or-assessment-pattern,quality/assessment relevant to trust formation,Potential alignment to TrustAssessment outputs without merging framework governance,align-bridge,Review exact OWL/RDF import or bridge semantics under #69,https://github.com/unibz-core/trust-ontology,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-014,PROV-O,prov:Entity,class,thing with provenance state/identity in PROV,Claims/evidence/credentials/data artifacts may participate as provenance entities,bridge,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/TR/prov-o/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-015,PROV-O,prov:Activity,class,activity that acts upon or with entities,Proofing/issuance/transformation provenance,bridge,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/TR/prov-o/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-016,PROV-O,prov:Agent,class,thing bearing responsibility for activity/existence,Issuer/provider/controller provenance; not automatically IdentitySubject,bridge,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/TR/prov-o/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-017,PROV-O,prov:wasGeneratedBy,relation,entity generated by activity,Credential/claim/evidence generation provenance,bridge,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/TR/prov-o/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-018,PROV-O,prov:wasAttributedTo,relation,entity attributed to agent,Issuer/source attribution provenance,bridge,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/TR/prov-o/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-019,PROV-O,prov:wasDerivedFrom,relation,entity derivation from another entity,Claim/attribute/evidence derivation provenance,bridge,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/TR/prov-o/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-020,W3C-ORG,org:Organization,class,organized collection acting as agent,B2B/government organizational context,bridge-external-owner,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/TR/vocab-org/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-021,W3C-ORG,org:Membership,class/relationship-reification,membership linking agent organization and role,B2B membership/organizational role; not access grant,bridge-external-owner,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/TR/vocab-org/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-022,W3C-ORG,org:Role,class,role in organization,Organizational role semantics; not vendor IAM Role or UFO Role by lexical identity,bridge-external-owner,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/TR/vocab-org/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-023,W3C-ORG,org:subOrganizationOf,relation,organizational containment/hierarchy,B2B/government hierarchy when needed,bridge-external-owner,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/TR/vocab-org/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
