catalog_id,evidence_id,category,title,owner,version_or_date,current_status,canonical_url_or_identifier,authority,cm4di_domains,role,overlap_or_use,reuse_or_mapping_decision,esm_materiality,coverage_status,last_verified
EU-001,CM4DI-EVID0030,EU-law,"Regulation (EU) 2024/1183 — European Digital Identity Framework","European Union",2024-04-30,"in force","https://eur-lex.europa.eu/eli/reg/2024/1183/oj","law","Government Identity;Trust Governance;Credential Exchange","source;evaluation source","Legal wallet ecosystem, PID/EAA, relying parties, selective disclosure, certification and cross-border recognition","map legal roles and obligations; do not import jurisdiction law into Core",material,"existing-summary_needs-exhaustive",2026-08-29
EU-002,CM4DI-EVID0031,EUDI-architecture,"EUDI Wallet Architecture and Reference Framework","European Commission / Member States","v3.0.0; 2026-07-21","current stable release","https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/releases/tag/v3.0.0","official architecture","Credential Exchange;Government Identity;Trust Governance;Federation","source;mapping target;evaluation source","WalletUnit, WalletProvider, PIDProvider, AttestationProvider, RelyingParty, trust anchors, trusted entities, functional conformance","profile/context mappings; not Core vocabulary authority by itself",material,"existing-summary_needs-exhaustive",2026-08-29
EU-003,,EU-implementing-regulation,"Commission Implementing Regulation (EU) 2024/2977 — PID and EAA","European Commission","consolidated 2026-08-11","in force; amended by 2026/1731","https://eur-lex.europa.eu/eli/reg_impl/2024/2977/oj/eng","law","Government Identity;Credential Management;Credential Exchange","source;evaluation source","Person identification data and electronic attestations issued to wallets","legal/profile crosswalk",material,pending,2026-08-29
EU-004,,EU-implementing-regulation,"Commission Implementing Regulation (EU) 2024/2979 — wallet integrity and core functionalities","European Commission","current after 2026/1731","in force; amended","https://eur-lex.europa.eu/eli/reg_impl/2024/2979/oj/eng","law","Credential Exchange;Authentication","source;evaluation source","Wallet integrity, functionality and security-relevant requirements","profile/SHACL/evaluation mapping",material,pending,2026-08-29
EU-005,,EU-implementing-regulation,"Commission Implementing Regulation (EU) 2024/2980 — ecosystem notifications","European Commission","current after 2026/1731","in force; amended","https://eur-lex.europa.eu/eli/reg_impl/2024/2980/oj/eng","law","Trust Governance;Government Identity","source","Member-State notifications and trusted-entity ecosystem semantics","Trust Governance mapping",material,pending,2026-08-29
EU-006,,EU-implementing-regulation,"Commission Implementing Regulation (EU) 2024/2981 — certification of wallet solutions","European Commission",2024-11-28,"in force","https://eur-lex.europa.eu/eli/reg_impl/2024/2981/oj/eng","law","Trust Governance;Credential Exchange","source;evaluation source","Wallet certification and security conformity","governance/evaluation mapping; distinguish from functional conformance",material,pending,2026-08-29
EU-007,,EU-implementing-regulation,"Commission Implementing Regulation (EU) 2024/2982 — protocols and interfaces","European Commission","consolidated 2026-08-11","in force; amended by 2026/1731","https://eur-lex.europa.eu/eli/reg_impl/2024/2982/oj/eng","law","Credential Exchange;Federation;Authentication","source;mapping target","Protocols and interfaces for EUDI interoperability","protocol mappings; not ontology Core",material,pending,2026-08-29
EU-008,,EU-implementing-regulation,"Commission Implementing Regulation (EU) 2025/848 — wallet-relying-party registration","European Commission","current after 2026/1730","in force; amended","https://eur-lex.europa.eu/eli/reg_impl/2025/848/oj/eng","law","Federation;Trust Governance;Credential Exchange","source;evaluation source","National RP registers, registrar, intended use, RP access and registration certificates","explicit RP-registration profile/governance mapping",material,pending,2026-08-29
EU-009,,EU-amending-regulation,"Commission Implementing Regulation (EU) 2026/1731","European Commission",2026-07-15,"amending act","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32026R1731","law","Credential Exchange;Government Identity;Trust Governance","source","Updates applicable standards/specifications for 2977, 2979, 2980 and 2982","version-lineage source",material,pending,2026-08-29
EU-010,,EU-amending-regulation,"Commission Implementing Regulation (EU) 2026/1730","European Commission",2026-07-15,"amending act","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32026R1730","law","Federation;Trust Governance;Credential Exchange","source","Updates applicable standards/specifications for 2025/848","version-lineage source",material,pending,2026-08-29
