catalog_id,evidence_id,organization,title,version_or_date,status,canonical_url_or_identifier,cm4di_domains,role,esm_materiality,coverage_status,last_verified
STD-001,CM4DI-EVID0001,ISO/IEC,"ISO/IEC 24760-1:2025 Identity management — Core concepts and terminology",2025,"published","https://www.iso.org/standard/24760-1","Identity Representation;Identity Information","source;mapping target",material,"blocked-partial",2026-08-29
STD-002,CM4DI-EVID0002,ISO/IEC,"ISO/IEC 24760-2:2025 Identity management — Reference architecture and requirements",2025,"published","https://www.iso.org/standard/24760-2","Digital Identity Management","source;architecture benchmark",material,"blocked-partial",2026-08-29
STD-003,CM4DI-EVID0003,ISO/IEC,"ISO/IEC 24760-3:2025 Identity management — Practice",2025,"published","https://www.iso.org/standard/24760-3","Identity Information;Authorization;Trust Governance","source",material,"blocked-partial",2026-08-29
STD-004,CM4DI-EVID0004,ISO/IEC,"ISO/IEC 29115:2013 Entity authentication assurance framework",2013,"published; revision activity","https://www.iso.org/standard/45138.html","Authentication;Trust Governance","source;monitor replacement",supporting,"blocked-partial",2026-08-29
STD-005,CM4DI-EVID0005,ISO/IEC,"ISO/IEC 29146:2024 Framework for access management",2024,"published","https://www.iso.org/standard/86013.html","Authorization","source;benchmark",material,"blocked-partial",2026-08-29
STD-006,CM4DI-EVID0006,ISO/IEC,"ISO/IEC 23220-1:2023 Cards and security devices for personal identification — Building blocks for identity management via mobile devices — Generic system architectures",2023,"published","https://www.iso.org/standard/74910.html","Credential Exchange;Government Identity","source;mapping target",supporting,"blocked-partial",2026-08-29
STD-007,CM4DI-EVID0007,ISO/IEC,"ISO/IEC TS 23220-3:2026 — Installation and issuing phase",2026,"published","https://www.iso.org/standard/86783.html","Credential Management;Credential Exchange","source;mapping target",supporting,"blocked-partial",2026-08-29
STD-008,CM4DI-EVID0008,ISO/IEC,"ISO/IEC TS 23220-4:2026 — Operational phase",2026,"published","https://www.iso.org/standard/86785.html","Credential Exchange;Authentication","source;mapping target",supporting,"blocked-partial",2026-08-29
STD-009,CM4DI-EVID0009,NIST,"NIST SP 800-63-4 Digital Identity Guidelines",2025-07,"final","https://csrc.nist.gov/pubs/sp/800/63/4/final","Identity Establishment;Authentication;Federation;Trust Governance","source;evaluation source",material,"existing-summary_needs-exhaustive",2026-08-29
STD-010,CM4DI-EVID0010,NIST,"NIST SP 800-63A-4 Identity Proofing and Enrollment",2025-07,"final","https://csrc.nist.gov/pubs/sp/800/63/A/4/final","Identity Evidence;Identity Establishment","source;evaluation source",material,"existing-summary_needs-exhaustive",2026-08-29
STD-011,CM4DI-EVID0011,NIST,"NIST SP 800-63B-4 Authentication and Authenticator Management",2025-07,"final","https://csrc.nist.gov/pubs/sp/800/63/B/4/final","Authentication","source;evaluation source",material,"existing-summary_needs-exhaustive",2026-08-29
STD-012,CM4DI-EVID0012,NIST,"NIST SP 800-63C-4 Federation and Assertions",2025-07,"final","https://csrc.nist.gov/pubs/sp/800/63/C/4/final","Federation;Authentication;Identity Information","source;evaluation source",material,"existing-summary_needs-exhaustive",2026-08-29
STD-013,CM4DI-EVID0013,W3C,"Verifiable Credentials Data Model v2.0",2025-05-15,"Recommendation","https://www.w3.org/TR/vc-data-model-2.0/","Credential Management;Credential Exchange","source;mapping target",material,"existing-summary_needs-exhaustive",2026-08-29
STD-014,CM4DI-EVID0014,W3C,"Decentralized Identifiers v1.0",2022-07-19,"Recommendation","https://www.w3.org/TR/did-core/","Identity Representation;Credential Exchange","source;mapping target",material,"existing-summary_needs-exhaustive",2026-08-29
STD-015,CM4DI-EVID0015,W3C,"Verifiable Credential Data Integrity 1.0",2025-05-15,"Recommendation","https://www.w3.org/TR/vc-data-integrity/","Identity Evidence;Credential Exchange","source;mapping target",supporting,"existing-summary",2026-08-29
