extract_id,nist_construct,part,kind,source_semantics,relation_or_lifecycle,cm4di_disposition,cm4di_target,ddd_domain,status
NIST63-X-001,Applicant,63A,contextual-role,"Individual undergoing identity proofing before establishment as subscriber","provides evidence/attributes; participates in resolution-validation-verification",mapping,Party/IdentitySubject role context,Identity Establishment,accepted
NIST63-X-002,CredentialServiceProvider,63A/B/C,service-provider-role,"Entity responsible for identity proofing/enrollment, authenticator/credential lifecycle and/or identity services","proofs/enrolls applicant; establishes subscriber account; binds authenticators; may operate IdP",mapping,CM4DI-C4018 IdentityServiceProvider + Party role,Government Identity,investigate
NIST63-X-003,IdentityEvidence,63A,evidence-artifact,"Evidence supplied to support claimed real-world identity","collected; validated for authenticity/accuracy/validity; verified as referring to applicant",mapping,CM4DI-C0008 Evidence,Identity Evidence,accepted
NIST63-X-004,IdentityResolution,63A,event/process-step,"Collects attributes/evidence to distinguish a unique real-life identity within population/context","precedes validation; does not by itself complete proofing",candidate-event-refinement,IdentityProofing subevent pattern,Identity Establishment,investigate
NIST63-X-005,IdentityValidation,63A,event/process-step,"Confirms authenticity accuracy validity/currentness of evidence and attribute information","operates on Evidence; precedes verification",candidate-event-refinement,IdentityProofing subevent pattern,Identity Establishment,investigate
NIST63-X-006,IdentityVerification,63A,event/process-step,"Confirms applicant presenting valid evidence is individual to whom evidence was issued","establishes linkage between validated evidence and live applicant",candidate-event-refinement,IdentityProofing + IdentityBinding,Identity Establishment,investigate
NIST63-X-007,IdentityProofing,63A,event/process,"Composite proofing process establishing applicant identity to stated confidence/IAL","includes resolution validation verification; leads to subscriber account/enrollment",mapping,CM4DI-C0015 IdentityProofing,Identity Establishment,accepted
NIST63-X-008,Enrollment,63A,event/process,"After successful proofing CSP establishes/maintains subscriber account and identity service relationship","creates subscriber account/record and enables authenticator binding",mapping,CM4DI-C0016 Enrollment,Identity Establishment,accepted
NIST63-X-009,SubscriberAccount,63A/B,managed-representation,"Account established for subscriber after proofing/enrollment","has enrollment record; authenticators bound; lifecycle maintained by CSP",mapping,CM4DI-C1001 Account,Identity Administration,accepted
NIST63-X-010,Subscriber,63A/B/C,contextual-role,"Individual enrolled in CSP identity service and associated with subscriber account","owns/controls authenticators; authenticates; federates to RP",mapping,IdentitySubject/Party contextual role,Identity Representation,investigate
NIST63-X-011,IdentityAssuranceLevel,63A,assurance-level,"Level expressing strength/confidence requirements for identity proofing","proofing process/evidence must meet IAL requirements",mapping,CM4DI-C0020 AssuranceAssessment,Identity Evidence,accepted
NIST63-X-012,Authenticator,63B,heterogeneous-authentication-role/artifact,"Means used by claimant to demonstrate control/knowledge/possession for authentication","bound to subscriber account; used in authentication; lifecycle managed",mapping,CM4DI-C0018 Authenticator,Authentication,accepted
NIST63-X-013,AuthenticatorBinding,63B,binding-relation/event,"Establishment of association between specific authenticator and subscriber account","created at enrollment or later; CSP maintains record; may be revoked/replaced",candidate-relation-refinement,CM4DI-C0010 IdentityBinding + Authenticator lifecycle,Authentication,investigate
NIST63-X-014,AuthenticatorLifecycle,63B,event-family,"Binding loss theft unauthorized duplication expiration revocation replacement/recovery events affecting authenticator use","state/association changes over subscriber lifecycle",candidate-event-family,Authentication profile lifecycle,Authentication,investigate
NIST63-X-015,Authentication,63B,event/process,"Claimant demonstrates control of authenticator(s) to verifier under AAL requirements","uses bound authenticator; produces authentication result/establishes session",mapping,CM4DI-C0017 Authentication,Authentication,accepted
NIST63-X-016,AuthenticationAssuranceLevel,63B,assurance-level,"Strength requirements for authentication and authenticator combinations","constrains accepted authenticators/protocol/session behavior",mapping,CM4DI-C0020 AssuranceAssessment,Identity Evidence,accepted
NIST63-X-017,SyncableAuthenticator,63B,authenticator-specialization/pattern,"Authenticator whose authentication keys can be copied/synchronized across devices under requirements","sync fabric stores encrypted keys; multiple device instances may exercise authentication capability",profile-mapping,Authenticator specialization/pattern,Authentication,investigate
NIST63-X-018,Session,63B,temporal-security-relation,"Bounded interaction state established after authentication to maintain continuity","starts after authentication; expires/terminates/re-authentication requirements",mapping,CM4DI-C1015 Session,Authentication,accepted
NIST63-X-019,Federation,63C,relationship/process,"Conveys authentication/subscriber attributes across separately administered IdP and RP systems","three-party subscriber-IdP-RP relationship; assertion generated/presented",mapping,CM4DI-C1009 Federation,Federation,accepted
NIST63-X-020,IdentityProvider,63C,contextual-provider-role,"CSP/verifier role in federation that authenticates subscriber and issues assertion to RP","authenticates subscriber; creates assertion; transmits allowed attributes",mapping,IdentityServiceProvider/IdentityBroker/Federation role mapping,Federation,investigate
NIST63-X-021,RelyingParty,63C,contextual-role,"Party receiving/using IdP assertion and deciding local transaction/access","requests federation; validates/processes assertion; starts independent local session",mapping,CM4DI-C0033 RelyingParty,Federation,accepted
NIST63-X-022,Assertion,63C,information-artifact,"Packaged statement from IdP to RP about authenticated subscriber/authentication event and optional attributes","issued per federated login; audience/time constrained; consumed to establish RP session",mapping-composite,"CM4DI-C0007 Claim; Evidence/AuthenticationResult-related federation artifact",Federation,investigate
NIST63-X-023,FederationAssuranceLevel,63C,assurance-level,"Security requirements for construction/protection/presentation of federation assertions","FAL1-3 constrain signature/encryption/holder-of-key properties",mapping,CM4DI-C0020 AssuranceAssessment,Identity Evidence,accepted
NIST63-X-024,FederatedSession,63C,temporal-relation,"RP and IdP maintain sessions independently after federation","RP session starts after processing federation; IdP session may pre-exist/terminate separately",relation-signal,CM4DI-C1015 Session + Federation relation,Federation,accepted
NIST63-X-025,AssertionLifetime,63C,constraint,"Assertion has issuance-to-expiration lifetime and is normally single-login artifact","must not be used past expiry; session may expire earlier",formalization-signal,Credential/Claim temporal validity constraint,Federation,investigate
NIST63-X-026,HolderOfKeyAssertion,63C,assertion-pattern,"Assertion references subscriber-held key and requires proof of possession to RP","subscriber proves possession; key may differ from IdP authentication key",mapping-composite,Claim/Evidence/Proof/Authenticator relation,Federation,investigate
NIST63-X-027,FederationRuntimeDecision,63C,authorization/consent-decision,"Federated relationship alone does not imply permission to transmit information; release may require whitelist/blacklist/runtime authorized decision","authorized party may approve/revoke information release",candidate-boundary-pattern,Authorization/Consent-privacy boundary,Federation,investigate
NIST63-X-028,FederationProxy,63C,intermediary-role,"Intermediary in federation chain between upstream IdP and downstream RP","receives/reissues/proxies assertions; effective FAL bounded by weakest segment",mapping,CM4DI-C1011 IdentityBroker,Federation,accepted
