catalog_id,evidence_id,title,authors,year,venue_or_type,doi_or_identifier,work_type,paradigm_or_scope,cm4di_overlap,cm4di_position,esm_materiality,coverage_status,last_verified
ACA-001,CM4DI-EVID0106,"The Pervasiveness of Digital Identity: Surveying Themes, Trends, and Ontological Foundations","Comb; Martin",2026,Information,"10.3390/info17010085","broad survey and ontological synthesis","cross-domain digital identity","Definitions, themes, ontological fragments, broad literature coverage","Strong breadth precursor; CM4DI must add governed formal ontology, cross-standard/framework alignment and executable evaluation",material,"existing-summary_needs-fulltext-revalidation",2026-08-29
ACA-002,CM4DI-EVID0107,"MFSSIA: Ontology of blockchain-based multi-factor challenge set self-sovereign identity authentication","Kormiltsyn et al.",2026,"Telematics and Informatics Reports","10.1016/j.teler.2026.100322","formal ontology","SSI/M2X challenge-response authentication","UFO, authentication, trust, non-human/machine interactions","Closest direct UFO competitor but materially narrower than CM4DI intended reference scope",material,"existing-summary_needs-fulltext-revalidation",2026-08-29
ACA-003,CM4DI-EVID0108,"Conceptualizing Self-Sovereign Identity","Richter; Anke",2026,"Electronic Markets","10.1007/s12525-025-00867-8","conceptual framework","SSI","SSI principles, governance/technical distinctions","Useful conceptual comparator; not a cross-paradigm formal ontology",material,"existing-summary_needs-fulltext-revalidation",2026-08-29
ACA-004,CM4DI-EVID0109,"Self-sovereign identity in enterprise IAM","Glöckler et al.",2024,"Business & Information Systems Engineering","10.1007/s12599-023-00830-x","enterprise IAM/SSI research","enterprise SSI/IAM","Enterprise IAM integration and organizational adoption","Operational/enterprise comparator supporting P01/P02 boundary, not unified formal ontology",supporting,"existing-summary",2026-08-29
ACA-005,CM4DI-EVID0110,"Self-Sovereign Identity: A Systematic Review, Mapping and Taxonomy","Schardong; Custodio",2022,Sensors,"10.3390/s22155641","systematic review/taxonomy","SSI","SSI taxonomy and literature baseline","Review evidence, not ontology authority; helps avoid SSI bias and locate earlier work",supporting,"existing-summary_needs-citation-chain",2026-08-29
ACA-006,CM4DI-EVID0111,"A Decentralized Digital Identity Architecture","Goodell; Aste",2019,Frontiers in Blockchain,"10.3389/fbloc.2019.00017","architecture/conceptual work","decentralized identity","Identity architecture and decentralized control","Architecture comparator rather than formal ontology",supporting,"existing-summary",2026-08-29
ACA-007,CM4DI-EVID0112,"Towards Interoperable Self-Sovereign Identities","Yildiz et al.",2023,IEEE Access,"10.1109/ACCESS.2023.3313723","reference model","SSI interoperability","Interoperability dimensions/reference model","Important reference-model comparator; CM4DI targets semantic ontology across paradigms",material,"bibliography-verified_needs-fulltext-revalidation",2026-08-29
ACA-008,CM4DI-EVID0113,"A Formal Model of Self-Sovereign Identity","Ferdous et al.",2019,"formal/conceptual research","identifier in academic registry","formal model","SSI","Formal roles/processes and SSI properties","Formal SSI comparator; CM4DI broader and ontology/UFO grounded",material,"existing-summary_needs-bibliography-fulltext-revalidation",2026-08-29
ACA-009,,"An Ontology-Based Architecture for Federated Identity Management","Layouni; Pollet",2009,AINA,"10.1109/AINA.2009.124","OWL ontology architecture","federated identity","IdP, ServiceProvider, CircleOfTrust, federation ontology in OWL","Historical direct formal comparator and evidence that formal federation ontologies predate CM4DI; CM4DI contribution cannot rest on being first ontology",material,"fulltext-locator-found_needs-extraction",2026-08-29
ACA-010,,"Distributed Identity Management for Semantic Entities (semDIM)","Schönteich; Kasten; Scherp",2020,"Springer CCIS / semantic identity research","10.1007/978-3-030-76228-5_36","DUL-based OWL ontology patterns + semantic-web architecture","distributed identity","persons, groups, roles, distributed identifiers, namespaces, reasoning, owl:sameAs","Direct semantic competitor. Particularly useful contrast to CM4DI's conservative co-reference/account-linking semantics and broader cross-paradigm scope",material,"discovered_needs-fulltext-extraction",2026-08-29
