extract_id,neighbor_ontology,construct,construct_type,source_semantics,cm4di_relevance,provisional_disposition,source
NCR-001,gUFO,Kind,foundational-category,"rigid sortal supplying identity principle","Grounds CM4DI enduring kinds where justified","reuse-foundational",https://github.com/nemo-ufes/gufo
NCR-002,gUFO,Role,foundational-category,"anti-rigid relationally dependent sortal","Grounds contextual roles such as specific actor-role patterns","reuse-foundational",https://github.com/nemo-ufes/gufo
NCR-003,gUFO,RoleMixin,foundational-category,"anti-rigid relationally dependent non-sortal/category pattern","Supports IdentitySubject/Party heterogeneous contextual-role modeling","reuse-foundational",https://github.com/nemo-ufes/gufo
NCR-004,gUFO,Relator,foundational-category,"entity reifying material relationship and mediating participants","Supports IdentityBinding; AccessGrant; Delegation","reuse-foundational",https://github.com/nemo-ufes/gufo
NCR-005,gUFO,mediates,relation,"relator mediation relation","Formal projection of binding/grant/delegation participant structure","reuse-foundational",https://github.com/nemo-ufes/gufo
NCR-006,gUFO,Event,foundational-category,"perdurant/event category","Supports IdentityProofing; Enrollment; Authentication; Authorization and lifecycle events","reuse-foundational",https://github.com/nemo-ufes/gufo
NCR-007,gUFO,participatedIn,relation,"endurant participation in event","Potential event participation projection for subject/provider/authenticator/resource actors","reuse-foundational",https://github.com/nemo-ufes/gufo
NCR-008,gUFO,historicallyDependsOn,relation,"historical dependence across entities/events","Potential lifecycle/creation/binding dependencies","reuse-with-care",https://github.com/nemo-ufes/gufo
NCR-009,gUFO,Situation,foundational-category,"state-of-affairs/situation pattern","Potential assurance/context/result-state formalization","reuse-if-needed",https://github.com/nemo-ufes/gufo
NCR-010,ONTrust,TrustRelation,domain-pattern,"generic trust relation between trustor/trustee under a trust object/context","TrustAssessment/identity trust semantics","align-bridge",https://github.com/unibz-core/trust-ontology
NCR-011,ONTrust,Trustor,role-pattern,"party/entity occupying trustor role","Contextual trust actor mapping","align-bridge",https://github.com/unibz-core/trust-ontology
NCR-012,ONTrust,Trustee,role-pattern,"party/entity occupying trustee role","Contextual trusted-entity mapping","align-bridge",https://github.com/unibz-core/trust-ontology
NCR-013,ONTrust,Trustworthiness,quality-or-assessment-pattern,"quality/assessment relevant to trust formation","Potential alignment to TrustAssessment outputs without merging framework governance","align-bridge",https://github.com/unibz-core/trust-ontology
NCR-014,PROV-O,prov:Entity,class,"thing with provenance state/identity in PROV","Claims/evidence/credentials/data artifacts may participate as provenance entities","bridge",https://www.w3.org/TR/prov-o/
NCR-015,PROV-O,prov:Activity,class,"activity that acts upon or with entities","Proofing/issuance/transformation provenance","bridge",https://www.w3.org/TR/prov-o/
NCR-016,PROV-O,prov:Agent,class,"thing bearing responsibility for activity/existence","Issuer/provider/controller provenance; not automatically IdentitySubject","bridge",https://www.w3.org/TR/prov-o/
NCR-017,PROV-O,prov:wasGeneratedBy,relation,"entity generated by activity","Credential/claim/evidence generation provenance","bridge",https://www.w3.org/TR/prov-o/
NCR-018,PROV-O,prov:wasAttributedTo,relation,"entity attributed to agent","Issuer/source attribution provenance","bridge",https://www.w3.org/TR/prov-o/
NCR-019,PROV-O,prov:wasDerivedFrom,relation,"entity derivation from another entity","Claim/attribute/evidence derivation provenance","bridge",https://www.w3.org/TR/prov-o/
NCR-020,W3C-ORG,org:Organization,class,"organized collection acting as agent","B2B/government organizational context","bridge-external-owner",https://www.w3.org/TR/vocab-org/
NCR-021,W3C-ORG,org:Membership,class/relationship-reification,"membership linking agent organization and role","B2B membership/organizational role; not access grant","bridge-external-owner",https://www.w3.org/TR/vocab-org/
NCR-022,W3C-ORG,org:Role,class,"role in organization","Organizational role semantics; not vendor IAM Role or UFO Role by lexical identity","bridge-external-owner",https://www.w3.org/TR/vocab-org/
NCR-023,W3C-ORG,org:subOrganizationOf,relation,"organizational containment/hierarchy","B2B/government hierarchy when needed","bridge-external-owner",https://www.w3.org/TR/vocab-org/
NCR-024,ODRL,odrl:Policy,class,"policy grouping rules over assets/actions/parties","AccessPolicy neighboring rich policy model","bridge",https://www.w3.org/TR/odrl-model/
NCR-025,ODRL,odrl:Permission,class/rule,"permitted action over target under possible constraints/duties","Partial overlap with CM4DI Permission/AccessGrant semantics","bridge-partial-overlap",https://www.w3.org/TR/odrl-model/
NCR-026,ODRL,odrl:Prohibition,class/rule,"prohibited action over target","Outside minimal CM4DI permission kernel unless authorization profile requires explicit denial semantics","bridge-if-needed",https://www.w3.org/TR/odrl-model/
NCR-027,ODRL,odrl:Duty,class/rule,"obligation required in policy/permission context","Generic obligation semantics outside CM4DI Core","external-owner",https://www.w3.org/TR/odrl-model/
NCR-028,ODRL,odrl:Constraint,class,"constraint/refinement limiting rule applicability","Potential bridge to AccessCondition","bridge",https://www.w3.org/TR/odrl-model/
NCR-029,ODRL,odrl:Action,class,"action governed by policy","Partial overlap with CM4DI Action; exact correspondence requires action-universe/context review","bridge-partial-overlap",https://www.w3.org/TR/odrl-model/
NCR-030,DPV,dpv:PersonalData,class,"personal data category in privacy/data-processing domain","IdentityAttribute/Claim may refer to personal data but are not equivalent","bridge-external-owner",https://www.w3.org/community/reports/dpvcg/CG-FINAL-dpv-20240801/
NCR-031,DPV,dpv:Processing,class,"processing operation over data","Privacy/data-use layer outside CM4DI Core","bridge-external-owner",https://www.w3.org/community/reports/dpvcg/CG-FINAL-dpv-20240801/
NCR-032,DPV,dpv:Purpose,class,"purpose for processing/use","Bridge for presentation/intended-use/privacy scenarios; not Core","bridge-external-owner",https://www.w3.org/community/reports/dpvcg/CG-FINAL-dpv-20240801/
NCR-033,DPV,dpv:LegalBasis,class,"legal basis for processing","Regulatory/privacy boundary; not TrustFramework or LegalIdentity","bridge-external-owner",https://www.w3.org/community/reports/dpvcg/CG-FINAL-dpv-20240801/
NCR-034,DPV,dpv:Consent,class,"consent concept in privacy/data-processing domain","Boundary mapping for user authorization/privacy; distinct from authentication or access grant","bridge-external-owner",https://www.w3.org/community/reports/dpvcg/CG-FINAL-dpv-20240801/
NCR-035,DPV,dpv:Technology,class,"technology applied to processing/personal-data context","Operational technology metadata only; not identity ontology class","monitor",https://www.w3.org/community/reports/dpvcg/CG-FINAL-dpv-20240801/
