evidence_id,title,source_family,source_type,organization_or_authors,publication_or_version_date,version_or_status,persistent_identifier_or_url,doi_if_any,license_or_access_status,paradigm,identity_subject_types,concept_candidates,relation_candidates,lifecycle_candidates,trust_or_assurance_candidates,profile_destination,core_relevance,mapping_relevance,evaluation_relevance,social_identity_flag,evidence_grade_notes,extracted_claim_or_definition_summary,provenance_notes,supersedes_or_superseded_by,review_status
"CM4DI-EVID0030","Regulation (EU) 2024/1183 — European Digital Identity Framework","Government/Trust Framework","EU Regulation","European Union","2024-04-30","In force","https://eur-lex.europa.eu/eli/reg/2024/1183/oj","","Open official legal text","government/wallet/cross-border","natural person; legal person; representative","EuropeanDigitalIdentityWallet; LegalIdentity; PID; ElectronicAttestationOfAttributes; QualifiedEAA; WalletProvider; RelyingParty; Pseudonym; SelectiveDisclosure","walletUser controls presentation; relyingParty registers intended data request; provider issues/revokes PID or attestations","wallet issuance/use/discontinuation/revocation; credential issuance/presentation/revocation","member-state recognition; certification; assurance level high; qualified trust status","Trust/Assurance/Government + Wallet/VC","High","High","High","false","Authority=law; Recency=current; Directness=direct; Cross-ecosystem=high","Establishes a legally governed wallet ecosystem with user-controlled disclosure, relying-party registration, recognised wallet provision, PID and attribute attestations.","EUR-Lex official journal text.","Amends Regulation (EU) 910/2014 eIDAS","reviewed"
"CM4DI-EVID0031","EUDI Wallet Architecture and Reference Framework v3.0.0","Government/Trust Framework","Architecture and Reference Framework","European Commission / Member States","2026-07-23","v3.0.0 current release at review date","https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/releases/tag/v3.0.0","","Open-source documentation","government/wallet/cross-border","natural person; legal person; representative","WalletUnit; WalletSolution; WalletProvider; PIDProvider; AttestationProvider; Registrar; TrustAnchor; TrustedList; AttestationScheme; WalletUnitAttestation; RelyingPartyInstance","provider issues/revokes PID; registrar registers RP; trust anchor supports validation; attestation provider issues attestation","wallet lifecycle; PID/attestation validity and revocation; RP registration","trust anchor; trusted list; certification; accreditation; registration certificates","Trust/Assurance/Government + Wallet/VC","High","High","High","false","Authority=official architecture; Recency=very-current; Directness=direct; Machine-readable/open-source=high","Operationalizes the EUDI legal model and introduces explicit registry, trust-anchor, wallet-unit and attestation-governance structures.","Official EUDI GitHub organisation; latest tagged release verified.","Supersedes v2.9.0 and earlier ARF releases","reviewed"
"CM4DI-EVID0032","UK Digital Verification Services Trust Framework 1.0","Government/Trust Framework","Statutory Trust Framework","UK DSIT / Office for Digital Identities and Attributes","2026-06-09","Final; published; comes into force when first CAB is accredited, no earlier than 2026-09-01","https://www.gov.uk/government/publications/uk-digital-verification-services-trust-framework-1-0","","Open Government Licence","government/private-sector trust framework","natural person","IdentityServiceProvider; AttributeServiceProvider; HolderServiceProvider; OrchestrationServiceProvider; ComponentServiceProvider; RelyingParty; DVSRegister; Certification","service certifiedFor role; holder stores/shares identity; orchestrator confirms register status","holder account create/change/recover/suspend/revoke/close; provider certification lifecycle","certification; conformity assessment; confidence level; register status","Trust/Assurance/Government + Enterprise/Federated","High","High","High","false","Authority=statutory official; Recency=very-current; Directness=direct","Defines certifiable provider roles and a statutory register-based trust model, with explicit holder and orchestration semantics.","Official GOV.UK final 1.0 publication.","First revised statutory framework; successor to gamma lineage when effective","reviewed"
"CM4DI-EVID0033","UK Digital Identity and Attributes Trust Framework gamma 0.4","Government/Trust Framework","Statutory Trust Framework","UK DSIT / Office for Digital Identities and Attributes","2026-06-09","Current certifiable statutory version at review date","https://www.gov.uk/government/publications/uk-digital-identity-and-attributes-trust-framework-04","","Open Government Licence","government/private-sector trust framework","natural person","IdentityServiceProvider; AttributeServiceProvider; HolderServiceProvider; RelyingParty; CertifiedService","provider certifiedFor role; relyingParty reliesOn DVS","certification lifecycle","certification; trust framework compliance","Trust/Assurance/Government","Medium","High","Medium","false","Authority=statutory official; Recency=current; Directness=direct","Important status-control evidence because 0.4 remains certifiable while 1.0 is final but not yet effective at review date.","Official GOV.UK collection and statutory publication.","Supersedes earlier beta/alpha versions; planned transition to 1.0","reviewed"
"CM4DI-EVID0034","How to check someone's identity (GPG 45) 1.0","Government/Trust Framework","Government Guidance","UK DSIT / Office for Digital Identities and Attributes","2026-06-09","Final 1.0; tied to DVS 1.0 effectiveness","https://www.gov.uk/government/publications/how-to-check-someones-identity-1-0","","Open Government Licence","identity proofing","natural person","IdentityCheck; IdentityEvidence; EvidenceScore; IdentityProfile; ConfidenceLevel; Vouching","evidence contributesTo identityCheck; identityCheck achieves confidence","evidence collection/checking; identity creation/recheck","confidence level; evidence quality","Trust/Assurance/Government","High","High","High","false","Authority=official guidance; Recency=very-current; Directness=direct","Reinforces proofing as an evidence-based process and adds explicit confidence/scoring semantics distinct from authentication assurance.","Official GOV.UK GPG45 1.0.","Version-controlled successor to prior non-numbered guidance","reviewed"
"CM4DI-EVID0035","How to create, bind and share attributes 1.0","Government/Trust Framework","Government Guidance","UK DSIT / Office for Digital Identities and Attributes","2026-06-09","Final 1.0; tied to DVS 1.0 effectiveness","https://www.gov.uk/government/publications/how-to-create-bind-and-share-attributes-1-0","","Open Government Licence","attribute/credential trust","natural person","Attribute; AttributeSource; AttributeBinding; AttributeQuality; Provenance; AttributeServiceProvider","attribute boundTo user; provider assesses quality; provider shares attribute","create; bind; score; share; update/revoke as applicable","attribute confidence; provenance","Trust/Assurance/Government + Wallet/VC","High","High","High","false","Authority=official guidance; Recency=very-current; Directness=direct","Adds governance semantics for attribute provenance, binding, quality assessment and controlled sharing.","Official GOV.UK attributes guidance 1.0.","Successor to earlier trust-framework supporting guidance","reviewed"
"CM4DI-EVID0036","Pan-Canadian Trust Framework — current framework overview and modules","Government/Trust Framework","Open Trust Framework","DIACC","2025-2026 current page","Current modular framework","https://diacc.ca/trust-framework/","","Open public resource","public/private digital trust","person; organization/service participant","TrustFramework; ConformanceProfile; Authentication; VerifiedPerson; Privacy; TrustRegistry; Credential; Participant","participant conformsTo profile; framework governs ecosystem","module-specific lifecycle","conformance; certification; levels of confidence; registry trust","Trust/Assurance/Government","High","High","High","false","Authority=official ecosystem framework; Recency=current; Directness=direct","PCTF demonstrates a modular, technology-agnostic trust framework separating authentication, credentials, privacy and trust registries.","Official DIACC framework index and module status table.","Living modular framework","reviewed"
"CM4DI-EVID0037","PCTF Authentication Final Recommendation V1.2","Government/Trust Framework","Normative Trust-Framework Component","DIACC","2024-07-11","Final Recommendation V1.2","https://diacc.ca/2024/07/11/the-diacc-releases-its-pan-canadian-trust-framework-pctf-authentication-final-recommendation-v1-2/","","Open public resource","authentication","subject; user","AuthenticationServiceProvider; CredentialServiceProvider; Subject; Login; Session; LevelOfAssurance; TrustedProcess","trusted process authenticates subject; RP reliesOn assurance","credential issuance; authentication; session initiation/termination; suspension/recovery/revocation","level of assurance; certified conformance","Trust/Assurance/Government + Enterprise/Federated","Medium","High","High","false","Authority=official final recommendation; Recency=current; Directness=direct","Confirms that assurance can attach to repeatable trusted processes and lifecycle controls, not only to an isolated authentication event.","Official DIACC release notice and framework entry.","Supersedes V1.1 recommendation","reviewed"
"CM4DI-EVID0038","PCTF Trust Registries Final Recommendation V1.0","Government/Trust Framework","Normative Trust-Framework Component","DIACC","2023-11-10","Final Recommendation V1.0","https://diacc.ca/2023/11/13/the-diacc-releases-its-pan-canadian-trust-framework-pctf-trust-registries-final-recommendation-v1-0/","","Open public resource","decentralized/trust registry","issuer; verifier; wallet provider; ecosystem participant","TrustRegistry; RegistryParticipant; Issuer; Verifier; WalletProvider; CertificationStatus; Trustmark","registry records participant status; participant verifiedBy registry","registration; certification; suspension; revocation","governance; trust registry; certification; trustmark","Trust/Assurance/Government","High","High","High","false","Authority=official final recommendation; Recency=current; Directness=direct","Strong cross-framework evidence that a trust registry is a governed information service, not equivalent to a single trust anchor or trust reference.","Official DIACC final recommendation announcement.","First final version","reviewed"
"CM4DI-EVID0039","PCTF Credentials (Relationships & Attributes) Final Recommendation V1.0","Government/Trust Framework","Normative Trust-Framework Component","DIACC","2023-04-25","Final Recommendation V1.0","https://diacc.ca/trust-framework/","","Open public resource","credential/attribute trust","subject; ecosystem participant","Credential; TrustedRelationship; Attribute; AttributeBinding; Issuer; Verifier","define/declare/endorse/validate/disclaim relationship; define/bind/maintain/revoke attribute","credential and attribute lifecycle","determined levels of assurance; relationship trust","Trust/Assurance/Government + Wallet/VC","High","High","High","false","Authority=official framework module; Recency=current; Directness=direct","Shows that credential trust may depend on governed relationships and attribute-binding processes in addition to cryptographic validity.","Official DIACC framework module table.","Final Recommendation V1.0","reviewed"
