extract_id,keycloak_term,kind,source_semantics,important_relations_or_lifecycle,cm4di_disposition,cm4di_target,ddd_domain,semantic_risk,status
KC-X-001,Realm,administrative-boundary,"Isolated space managing users credentials roles groups clients and configuration","contains/manages users groups roles clients; user logs into one realm",mapping-only,CM4DI-C1006 AdministrativeDomain,Identity Administration,"Realm is not IdentityContext and not TrustDomain",accepted
KC-X-002,User,managed-representation,"Locally managed user identity/account record in realm","belongs to realm; has credentials; groups; role mappings; sessions; federated links",mapping-composite,"CM4DI-C1001 Account; C1002 UserProfile; C0002 IdentitySubject via representation relation",Identity Administration,"Do not equate Keycloak User row with real-world subject",accepted
KC-X-003,Credential,authentication-artifact,"Password/passkey/TOTP/etc credential associated with user authentication","owned/managed for user; used by authentication flow; reset/update lifecycle",mapping-contextual,"CM4DI-C0018 Authenticator and/or C0011 Credential depending mechanism",Authentication,"Keycloak 'credential' spans ontologically heterogeneous artifacts",investigate
KC-X-004,Role,authorization-bundle,"Realm or client-level authorization role assignable directly or through groups; may be composite","mapped to user/group; composite includes roles; emitted in tokens",mapping-only,CM4DI-C1016 PermissionBundle,Authorization,"IAM Role is not UFO Role; role may bundle permissions rather than represent contextual entity role",accepted
KC-X-005,CompositeRole,authorization-composition,"Role associated with other roles; assignments inherit nested roles","includes child roles; user mapping inherits composition",candidate-relation-pattern,"PermissionBundle composition",Authorization,"Do not infer subclass hierarchy from role composition",investigate
KC-X-006,UserRoleMapping,assignment-relation,"Mapping between user and zero or more roles","user assigned role; grants role-derived capabilities",mapping,CM4DI-C0029 AccessGrant,Authorization,"Assignment is not runtime authorization decision",accepted
KC-X-007,Group,operational-group,"Grouping of users with attributes and role mappings","user memberOf group; group has attributes and roles; member inherits mappings",mapping,CM4DI-C1019 AccessGroup,Authorization,"Not a social group or organizational unit by default",accepted
KC-X-008,GroupMembership,membership-relation,"User membership in Keycloak group","membership causes inherited attributes/role mappings",mapping,CM4DI-C1020 GroupMembership,Authorization,"Membership is distinct from identity equality and from organization membership",accepted
KC-X-009,Client,application-registration,"OIDC/SAML relying application/service configuration in realm","has protocol/settings/scopes/service account; participates in sessions",mapping,CM4DI-C1008 ApplicationRegistration,Identity Administration,"Client configuration is not software Application entity itself",accepted
KC-X-010,ServiceAccount,nonhuman-account,"Built-in account for a client to obtain tokens","associated with client; assigned roles; authenticates client credentials",mapping,CM4DI-C3003 ServiceAccount,Workload Identity,"Service account is account representation, not workload entity",accepted
KC-X-011,IdentityProvider,external-auth-role/config,"External IdP used for delegated authentication","broker connects realm to external IdP; maps incoming claims; may link account",mapping-composite,"C1003 IdentitySource when information-source role applies; FederationConnection/IdentityBroker otherwise",Federation,"IdP is not always IdentitySource; source role depends on information provenance use",accepted
