relation_id,profile,label,source,target,relation_semantics,status
CM4DI-R1001,P01,representsAccount,Account,IdentitySubject,"Account represents or is associated with a subject without being identical to it.",wave6-candidate
CM4DI-R1002,P01,hasProfile,Account,UserProfile,"Account is associated with a mutable user/profile record.",wave6-candidate
CM4DI-R1003,P01,sourcedFrom,UserProfile,IdentitySource,"Profile data is obtained from an identity source.",wave6-candidate
CM4DI-R1004,P01,authoritativeFor,AuthoritativeIdentitySource,IdentityAttribute,"Source is authoritative for specified identity attributes/data.",wave6-candidate
CM4DI-R1005,P01,stores,IdentityStore,Account,"Identity store persists account representations.",wave6-candidate
CM4DI-R1006,P01,administeredWithin,Account,AdministrativeDomain,"Account is administered in a tenant/realm/environment boundary.",wave6-candidate
CM4DI-R1007,P01,registeredAs,Application,ApplicationRegistration,"Application has a domain-specific registration/configuration artifact.",wave6-candidate
CM4DI-R1008,P01,mediatesFederation,FederationConnection,Federation,"Configured connection realizes a federation relationship.",wave6-candidate
CM4DI-R1009,P01,brokersFor,IdentityBroker,FederationConnection,"Broker mediates a federation connection/flow.",wave6-candidate
CM4DI-R1010,P01,provisionsTo,ProvisioningConnection,IdentityStore,"Provisioning connection targets an identity store/system.",wave6-candidate
CM4DI-R1011,P01,provisionsFrom,ProvisioningConnection,IdentitySource,"Provisioning connection obtains identity data from a source.",wave6-candidate
CM4DI-R1012,P01,executesProvisioning,Provisioning,ProvisioningConnection,"Provisioning event/process occurs through a configured connection.",wave6-candidate
CM4DI-R1013,P01,usesAttributeMapping,Provisioning,AttributeMapping,"Provisioning uses explicit attribute/claim mappings.",wave6-candidate
CM4DI-R1014,P01,establishesSession,AuthenticationResult,Session,"A successful authentication result may establish a distinct session.",wave6-candidate
CM4DI-R1015,P01,bundlesPermission,PermissionBundle,Permission,"Operational permission bundle groups one or more Core permissions.",wave6-candidate
CM4DI-R1016,P01,governedByPolicy,AccessGrant,AccessPolicy,"Access grant may be governed by a profile-level access policy.",wave6-candidate
CM4DI-R1017,P01,hasCondition,AccessPolicy,AccessCondition,"Access policy may contain access conditions.",wave6-candidate
CM4DI-R1018,P01,memberOf,Principal,AccessGroup,"Principal may be an operational member of an access group.",wave6-candidate
CM4DI-R1019,P01,mediatesMembership,GroupMembership,AccessGroup,"GroupMembership mediates account/principal and access group.",wave6-candidate
CM4DI-R1020,P01,linkedAccount,Account,Account,"Explicit profile-level link indicating two account representations are correlated or co-referential under declared evidence/provenance; it does not assert account equality or subject equality automatically.",ddd-regression-candidate
CM4DI-R2001,P02,issues,Issuer,Credential,"Issuer role participates in CredentialIssuance and issues a credential.",wave6-candidate
CM4DI-R2002,P02,holds,Holder,Credential,"Holder possesses/controls credential independently of subjecthood.",wave6-candidate
CM4DI-R2003,P02,operatesWallet,Holder,Wallet,"Holder uses/controls wallet software in a credential interaction.",wave6-candidate
CM4DI-R2004,P02,servedBy,Holder,HolderService,"Holder may use a reusable credential/identity holding service.",wave6-candidate
CM4DI-R2005,P02,requestsPresentation,CredentialPresentationVerifier,PresentationRequest,"Verifier issues a request describing required credential information.",wave6-candidate
CM4DI-R2006,P02,presents,Holder,CredentialPresentation,"Holder participates in a credential-presentation event.",wave6-candidate
