extract_id,entra_construct,kind,source_semantics,important_relations_or_lifecycle,cm4di_disposition,cm4di_target,ddd_domain,semantic_risk,status
ENTRA-X-001,Tenant/Directory,administrative-boundary,"Directory/tenant contains local identity objects and service principals","contains users groups apps service principals devices policies; scopes local object IDs",mapping,CM4DI-C1006 AdministrativeDomain,Identity Administration,"Not IdentityContext",accepted
ENTRA-X-002,ApplicationObject,application-definition,"Global/home-tenant application definition created by app registration","referenced by tenant-local service principals; declares app roles/permissions/redirects",mapping-composite,"CM4DI-C1007 Application; C1008 ApplicationRegistration",Identity Administration,"Application object is a managed representation/configuration, not the executing software instance",investigate
ENTRA-X-003,ServicePrincipal,tenant-local-security-representation,"Local representation/application instance of an application in a tenant; defines what app can do and access","references application object; receives role/app assignments; authenticates/acts as principal",mapping-composite,"CM4DI-C3004 ServicePrincipal; C0025 Principal; representation relation to Application",Workload Identity,"Do not equate with Application or workload process",accepted
ENTRA-X-004,ManagedIdentity,provider-managed-service-principal,"Service principal type created/managed by Azure; no associated application object for managed identity","platform manages credentials; assigned roles; used by Azure resource/workload",mapping,CM4DI-C3005 ManagedIdentity,Workload Identity,"Managed identity is not generic DigitalIdentity and is not an Application object",accepted
ENTRA-X-005,User,managed-representation/principal,"Directory user object that can authenticate and receive assignments","belongs to tenant; groups; roles; app roles; sessions/authentication methods",mapping-composite,"C1001 Account; C1002 UserProfile; C0025 Principal",Identity Administration,"Not real-world IdentitySubject",accepted
ENTRA-X-006,Group,operational/organizational-group,"Directory group aggregates users/devices/service principals depending group type and can receive assignments","has members; assigned roles/app roles/resource access",mapping/bridge,"C1019 AccessGroup when access-oriented; W3C ORG bridge for organization semantics",Authorization,"Not every Entra group is merely access group",investigate
ENTRA-X-007,AppRole,authorization-definition,"Application-defined role/permission assignable to user/group/service principal","defined by resource application; assignment emitted in roles claim",mapping,CM4DI-C1016 PermissionBundle / C0028 Permission,Authorization,"Not UFO Role; exact granularity varies by app role definition",accepted
ENTRA-X-008,AppRoleAssignment,access-grant,"Assignment of app role from resource service principal to user/group/client service principal","principal receives app role for resource; create/remove lifecycle",mapping,CM4DI-C0029 AccessGrant,Authorization,"Not runtime AuthorizationResult",accepted
ENTRA-X-009,DirectoryRoleDefinition,authorization-bundle,"Microsoft Entra admin role definition containing allowed directory actions","assigned to principal at scope",mapping,CM4DI-C1016 PermissionBundle,Authorization,"Not application AppRole and not UFO Role",accepted
ENTRA-X-010,RoleAssignment,access-grant,"Resource linking security principal to role definition at scope","created to grant access; removed to revoke; has principal/role/scope",mapping,CM4DI-C0029 AccessGrant,Authorization,"Role assignment is durable relation not authorization decision",accepted
ENTRA-X-011,ApplicationPermission,permission-definition,"App-only permission exposed as app role by resource application","assigned to client service principal; used for app-only access",mapping,CM4DI-C0028 Permission / C1016 PermissionBundle,Authorization,"Do not conflate permission definition with assignment/consent",accepted
