opportunity_id,title,type,trigger,problem_or_gap,cm4di_relevance,potential_output,priority,status,next_decision
OPP-001,Agent identity governance bridge,research-and-product,"Entra/Auth0/Ping/Descope agent identity offerings","Agent identities increasingly require sponsor/owner/delegation/credential/session/governance semantics across vendors","Agent Identity;Authorization;Trust Governance","agent-governance extension; benchmark; paper section; possible standalone research track",high,open,"Deep-dive RAD-023..026 before #66"
OPP-002,Identity graph and co-reference service,product-and-research,"Auth0 account linking; semDIM owl:sameAs; enterprise account correlations","Identity systems need to correlate accounts/representations without asserting ontological equality","Identity Representation;Identity Administration;Federation","identity graph service; co-reference relation model; CQ suite; relational graph mapping",high,open,"Benchmark account linking across Auth0/Okta/Keycloak/semDIM"
OPP-003,Externalized authorization semantic bridge,research-and-architecture,"Cerbos/OpenFGA/SpiceDB/AuthZEN/XACML","Authorization engines use different models for subject/principal/resource/action/relationship/policy/decision","Authorization","authorization bridge module/mapping catalog; executable adapter patterns",high,open,"Deep-dive authorization platforms and neighbor ontologies"
OPP-004,Identity governance adjacency,research-track,"SailPoint/Saviynt/Entra governance","Access certification, entitlement review, SoD and governance exceed current minimal authorization semantics","Authorization;Identity Administration;Trust Governance","possible SemIGA research; CM4DI boundary/bridge; future profile",medium,open,"Keep out of Core until comparative deep-dive"
OPP-005,Privileged identity adjacency,research-track,"CyberArk/BeyondTrust/Teleport","Privileged account/session/JIT access introduces specific lifecycle and control semantics","Authorization;Authentication;Identity Administration","possible SemPAM research; mapping profile",medium,open,"Benchmark before portfolio decision"
OPP-006,Identity proofing operational benchmark,evaluation-and-product,"Persona/Entrust/Jumio/Veriff","Normative proofing is strong but operational product workflows can test evidence/process realism","Identity Evidence;Identity Establishment","proofing benchmark; dataset/test scenario design; product adapter catalog",medium,open,"Create bounded product deep-dives if source value is high"
OPP-007,B2B organization identity pattern,research-and-product,"WorkOS/Clerk/Frontegg/Stytch organizations","B2B SaaS identity repeatedly introduces organization, membership, invitation and enterprise connection patterns","Identity Administration;Federation;Authorization","organization bridge to W3C ORG; B2B identity profile; relational pattern",medium,open,"Validate whether ORG reuse is sufficient"
OPP-008,Workload identity platform benchmark,research-and-product,"SPIFFE/SPIRE/Aembit/cloud workload federation","Workload identities cross attestation, short-lived credentials, federation and authorization","Workload Identity;Credential Management;Authentication;Authorization","workload profile refinement; conformance scenarios; adapter architecture",high,open,"Deep-dive Aembit/Teleport plus current SPIRE"
OPP-009,Identity lifecycle state machine library,formalization-and-product,"Cross-product account/credential/session/participant lifecycle differences","Current ontology has lifecycle events/status in some contexts but reusable state-machine evidence is fragmented","Credential Management;Identity Administration;Authentication;Trust Governance","state-machine catalog; SHACL constraints; lifecycle CQ suite",high,open,"Populate CONSTRAINT_LIFECYCLE_LEDGER then assess #66"
OPP-010,Reference ontology interoperability layer,research,"Neighbor ontology and standards alignment","No single identity model should duplicate trust/provenance/privacy/policy/organization semantics","Cross-cutting","CM4DI bridge modules; mapping ontology; alignment publication contribution",high,open,"Complete #105 and #65"
OPP-011,Public identity research atlas,portfolio-product,"Large research graph across CM4DI/SemSocialIdentity/Commentium/Newsium","Public audiences need a curated view while private portfolio remains source of truth","Portfolio-level","public GitHub Pages research atlas with CI-generated public projection",medium,deferred,"Retained for future public-portfolio decision"
OPP-012,DDD-to-ontology-to-service traceability toolkit,research-and-tooling,"CM4DI already tracks Domain/BC/concept/service/data/CQ","Traceability could become reusable OGCM-RF tooling beyond CM4DI","Cross-cutting","machine-readable traceability schema/tool; reusable OGCM-RF contribution",high,open,"Generalize after CM4DI Wave 7 proves workflow"
