mapping_id,source_id,source_title,source_construct_id,source_construct_label,source_construct_type,source_definition_or_statement,source_locator,cm4di_target_id,cm4di_target_label,cm4di_target_type,cm4di_domain_id,cm4di_bounded_context_id,mapping_predicate,mapping_direction,confidence,evidence_rationale,semantic_difference,anti_equivalence_note,lifecycle_difference,constraint_difference,formalization_difference,cq_ids,disposition,requires_issue,notes
CM4DI-MAP0001,AWS,AWS,,AWS IAM Identity Center user/account representation,operational/standard construct,Platform-local account representation about a subject; not exact ontology equivalence.,,CM4DI-C1001,Account,kind,CM4DI-D0008,CM4DI-BC0006,implementation,external→CM4DI,medium,Platform-local account representation about a subject; not exact ontology equivalence.,,No lexical equivalence inference.,,,,,reviewed,,profile P01
CM4DI-MAP0002,AWS,AWS,,AWS Permission Set,operational/standard construct,Permission Set operationally bundles permissions and provisions role policies.,,CM4DI-C1016,PermissionBundle,kind,CM4DI-D0007,CM4DI-BC0005,implementation,external→CM4DI,medium,Permission Set operationally bundles permissions and provisions role policies.,,No lexical equivalence inference.,,,,,reviewed,,profile P01
CM4DI-MAP0003,AWS,AWS,,AWS account assignment,operational/standard construct,Assignment links principal/group to permission set in account scope.,,CM4DI-C0029,AccessGrant,relator,CM4DI-D0007,CM4DI-BC0005,implementation,external→CM4DI,medium,Assignment links principal/group to permission set in account scope.,,No lexical equivalence inference.,,,,,reviewed,,profile P01
CM4DI-MAP0004,AWS,AWS,,AWS IAM role session,operational/standard construct,Temporary assumed-role session is an operational session instance.,,CM4DI-C1015,Session,relator,CM4DI-D0006,CM4DI-BC0004,implementation,external→CM4DI,medium,Temporary assumed-role session is an operational session instance.,,No lexical equivalence inference.,,,,,reviewed,,profile P01
CM4DI-MAP0005,Microsoft Entra,Microsoft Entra,,Microsoft Entra application object,operational/standard construct,Global application configuration/registration artifact.,,CM4DI-C1008,ApplicationRegistration,kind,CM4DI-D0008,CM4DI-BC0006,implementation,external→CM4DI,medium,Global application configuration/registration artifact.,,No lexical equivalence inference.,,,,,reviewed,,profile P01
CM4DI-MAP0006,Microsoft Entra,Microsoft Entra,,Microsoft Entra Conditional Access policy,operational/standard construct,"Conditional Access is a policy family, not Core authorization itself.",,CM4DI-C1017,AccessPolicy,kind,CM4DI-D0007,CM4DI-BC0005,implementation,external→CM4DI,medium,"Conditional Access is a policy family, not Core authorization itself.",,No lexical equivalence inference.,,,,,reviewed,,profile P01
CM4DI-MAP0007,Microsoft Entra,Microsoft Entra,,Microsoft Entra Conditional Access conditions,operational/standard construct,Runtime/device/user/network predicates align to P01 condition + Core AuthorizationContext.,,CM4DI-C1018,AccessCondition,kind,CM4DI-D0007,CM4DI-BC0005,implementation,external→CM4DI,medium,Runtime/device/user/network predicates align to P01 condition + Core AuthorizationContext.,,No lexical equivalence inference.,,,,,reviewed,,profile P01
CM4DI-MAP0008,Google Cloud,Google Cloud,,Google Cloud IAM role,operational/standard construct,Google IAM role bundles permissions; not UFO Role.,,CM4DI-C1016,PermissionBundle,kind,CM4DI-D0007,CM4DI-BC0005,implementation,external→CM4DI,medium,Google IAM role bundles permissions; not UFO Role.,,No lexical equivalence inference.,,,,,reviewed,,profile P01
CM4DI-MAP0009,Google Cloud,Google Cloud,,Google Cloud IAM role binding,operational/standard construct,Binding grants a role/permission bundle to principal in resource scope.,,CM4DI-C0029,AccessGrant,relator,CM4DI-D0007,CM4DI-BC0005,implementation,external→CM4DI,medium,Binding grants a role/permission bundle to principal in resource scope.,,No lexical equivalence inference.,,,,,reviewed,,profile P01
CM4DI-MAP0010,Okta,Okta,,Okta profile source / directory source,operational/standard construct,Source of managed identity/profile information.,,CM4DI-C1003,IdentitySource,roleMixin,CM4DI-D0008,CM4DI-BC0006,implementation,external→CM4DI,medium,Source of managed identity/profile information.,,No lexical equivalence inference.,,,,,reviewed,,profile P01
CM4DI-MAP0011,Keycloak,Keycloak,,Keycloak identity brokering,operational/standard construct,Keycloak mediates external IdP authentication to local relying clients.,,CM4DI-C1011,IdentityBroker,roleMixin,CM4DI-D0009,CM4DI-BC0007,implementation,external→CM4DI,medium,Keycloak mediates external IdP authentication to local relying clients.,,No lexical equivalence inference.,,,,,reviewed,,profile P01
CM4DI-MAP0012,IETF SCIM,IETF SCIM,,SCIM create/update/deactivate operations,operational/standard construct,SCIM operations implement provisioning rather than enrollment.,,CM4DI-C1012,Provisioning,event,CM4DI-D0008,CM4DI-BC0006,implementation,external→CM4DI,medium,SCIM operations implement provisioning rather than enrollment.,,No lexical equivalence inference.,,,,,reviewed,,profile P01
CM4DI-MAP0013,OASIS SAML,OASIS SAML,,SAML 2.0 federation arrangement,operational/standard construct,SAML federation is one implementation/paradigm of broader P01 federation semantics.,,CM4DI-C1009,Federation,relator,CM4DI-D0009,CM4DI-BC0007,narrower,external→CM4DI,medium,SAML federation is one implementation/paradigm of broader P01 federation semantics.,,No lexical equivalence inference.,,,,,reviewed,,profile P01
CM4DI-MAP0014,OpenID Connect,OpenID Connect,,OpenID Connect federation/SSO relationship,operational/standard construct,OIDC SSO/federation is one realization of P01 federation.,,CM4DI-C1009,Federation,relator,CM4DI-D0009,CM4DI-BC0007,narrower,external→CM4DI,medium,OIDC SSO/federation is one realization of P01 federation.,,No lexical equivalence inference.,,,,,reviewed,,profile P01
CM4DI-MAP0015,Auth0,Auth0,,Auth0 Connection,operational/standard construct,Auth0 Connection configures link to user identity source/provider.,,CM4DI-C1010,FederationConnection,relator,CM4DI-D0009,CM4DI-BC0007,implementation,external→CM4DI,medium,Auth0 Connection configures link to user identity source/provider.,,No lexical equivalence inference.,,,,,reviewed,,profile P01
CM4DI-MAP0016,Keycloak,Keycloak,,Keycloak Realm,operational/standard construct,Realm is an operational administration/security boundary.,,CM4DI-C1006,AdministrativeDomain,kind,CM4DI-D0008,CM4DI-BC0006,implementation,external→CM4DI,medium,Realm is an operational administration/security boundary.,,No lexical equivalence inference.,,,,,reviewed,,profile P01
CM4DI-MAP0017,PingOne,PingOne,,PingOne Environment / Population,operational/standard construct,Environment/population are operational partitions with narrower vendor semantics.,,CM4DI-C1006,AdministrativeDomain,kind,CM4DI-D0008,CM4DI-BC0006,implementation,external→CM4DI,medium,Environment/population are operational partitions with narrower vendor semantics.,,No lexical equivalence inference.,,,,,reviewed,,profile P01
CM4DI-MAP0018,OIDC/OAuth,OIDC/OAuth,,OIDC/OAuth login using social platform IdP,operational/standard construct,Social login is federation/authentication mechanism only; not SocialIdentity.,,,SocialLogin,,,,related,external→CM4DI,medium,Social login is federation/authentication mechanism only; not SocialIdentity.,,No lexical equivalence inference.,,,,,reviewed,,profile P01
CM4DI-MAP0019,W3C VC 2.0,W3C VC 2.0,,W3C Verifiable Credential conceptual artifact,operational/standard construct,VC is a concrete credential class compatible with Core Credential.,,CM4DI-C0011,Credential,kind,CM4DI-D0005,CM4DI-BC0003,exact,external→CM4DI,high,VC is a concrete credential class compatible with Core Credential.,,Exact correspondence remains profile-scoped.,,,,,reviewed,,profile P02
CM4DI-MAP0020,W3C VC 2.0,W3C VC 2.0,,W3C Verifiable Presentation,operational/standard construct,Direct profile-level conceptual correspondence.,,CM4DI-C2012,VerifiablePresentation,kind,CM4DI-D0010,CM4DI-BC0008,exact,external→CM4DI,high,Direct profile-level conceptual correspondence.,,Exact correspondence remains profile-scoped.,,,,,reviewed,,profile P02
CM4DI-MAP0021,W3C VC 2.0,W3C VC 2.0,,W3C Issuer role,operational/standard construct,Contextual role correspondence.,,CM4DI-C2001,Issuer,roleMixin,CM4DI-D0005,CM4DI-BC0003,exact,external→CM4DI,high,Contextual role correspondence.,,Exact correspondence remains profile-scoped.,,,,,reviewed,,profile P02
CM4DI-MAP0022,W3C VC 2.0,W3C VC 2.0,,W3C Holder role,operational/standard construct,Holder role retained distinctly from credential subject.,,CM4DI-C2002,Holder,roleMixin,CM4DI-D0010,CM4DI-BC0008,exact,external→CM4DI,high,Holder role retained distinctly from credential subject.,,Exact correspondence remains profile-scoped.,,,,,reviewed,,profile P02
CM4DI-MAP0023,W3C VC 2.0,W3C VC 2.0,,W3C Verifier role,operational/standard construct,Credential-presentation verifier role correspondence.,,CM4DI-C2003,CredentialPresentationVerifier,roleMixin,CM4DI-D0010,CM4DI-BC0008,exact,external→CM4DI,high,Credential-presentation verifier role correspondence.,,Exact correspondence remains profile-scoped.,,,,,reviewed,,profile P02
CM4DI-MAP0024,W3C DID Core,W3C DID Core,,W3C DID as identifier,operational/standard construct,"DID is an identifier specialization, not DigitalIdentity.",,CM4DI-C0004,Identifier,kind,CM4DI-D0001,CM4DI-BC0001,exact,external→CM4DI,high,"DID is an identifier specialization, not DigitalIdentity.",,Exact correspondence remains profile-scoped.,,,,,reviewed,,profile P02
CM4DI-MAP0025,W3C DID Core,W3C DID Core,,W3C DID Controller,operational/standard construct,Controller role maps directly at profile level.,,CM4DI-C2008,Controller,roleMixin,CM4DI-D0010,CM4DI-BC0008,exact,external→CM4DI,high,Controller role maps directly at profile level.,,Exact correspondence remains profile-scoped.,,,,,reviewed,,profile P02
CM4DI-MAP0026,W3C DID/Controlled Identifiers,W3C DID/Controlled Identifiers,,W3C Verification Method,operational/standard construct,Profile cryptographic verification artifact.,,CM4DI-C2009,VerificationMethod,kind,CM4DI-D0010,CM4DI-BC0008,exact,external→CM4DI,high,Profile cryptographic verification artifact.,,Exact correspondence remains profile-scoped.,,,,,reviewed,,profile P02
CM4DI-MAP0027,OpenID4VCI,OpenID4VCI,,OpenID4VCI issuance transaction,operational/standard construct,Protocol realizes Core credential issuance.,,CM4DI-C0014,CredentialIssuance,event,CM4DI-D0005,CM4DI-BC0003,implementation,external→CM4DI,medium,Protocol realizes Core credential issuance.,,No lexical equivalence inference.,,,,,reviewed,,profile P02
CM4DI-MAP0028,OpenID4VC,OpenID4VC,,OpenID4VCI/OpenID4VP Wallet,operational/standard construct,Operational wallet role maps to P02 Wallet.,,CM4DI-C2004,Wallet,roleMixin,CM4DI-D0010,CM4DI-BC0008,implementation,external→CM4DI,medium,Operational wallet role maps to P02 Wallet.,,No lexical equivalence inference.,,,,,reviewed,,profile P02
CM4DI-MAP0029,OpenID4VP,OpenID4VP,,OpenID4VP presentation transaction,operational/standard construct,Protocol realizes P02 presentation event.,,CM4DI-C2006,CredentialPresentation,event,CM4DI-D0010,CM4DI-BC0008,implementation,external→CM4DI,medium,Protocol realizes P02 presentation event.,,No lexical equivalence inference.,,,,,reviewed,,profile P02
CM4DI-MAP0030,OpenID4VP,OpenID4VP,,OpenID4VP authorization/presentation request,operational/standard construct,Protocol request is implementation of profile request semantics.,,CM4DI-C2007,PresentationRequest,kind,CM4DI-D0010,CM4DI-BC0008,implementation,external→CM4DI,medium,Protocol request is implementation of profile request semantics.,,No lexical equivalence inference.,,,,,reviewed,,profile P02
CM4DI-MAP0031,ISO mdoc,ISO mdoc,,ISO/IEC 18013-5 mdoc credential,operational/standard construct,mdoc is a credential specialization/profile artifact.,,CM4DI-C0011,Credential,kind,CM4DI-D0005,CM4DI-BC0003,narrower,external→CM4DI,medium,mdoc is a credential specialization/profile artifact.,,No lexical equivalence inference.,,,,,reviewed,,profile P02
CM4DI-MAP0032,W3C VC ecosystem,W3C VC ecosystem,,VC selective disclosure / derived presentation mechanisms,operational/standard construct,Mechanisms implement presentation disclosure mode; no Core identity type.,,CM4DI-C2011,SelectiveDisclosure,mode,CM4DI-D0010,CM4DI-BC0008,implementation,external→CM4DI,medium,Mechanisms implement presentation disclosure mode; no Core identity type.,,No lexical equivalence inference.,,,,,reviewed,,profile P02
CM4DI-MAP0033,eIDAS/EUDI,eIDAS/EUDI,,EUDI Electronic Attestation of Attributes,operational/standard construct,EAA is P04 governed attestation used through P02 wallet flows.,,CM4DI-C4017,GovernmentAttestation,kind,CM4DI-D0015,CM4DI-BC0013,related,external→CM4DI,medium,EAA is P04 governed attestation used through P02 wallet flows.,,No lexical equivalence inference.,,,,,reviewed,,profile P02
CM4DI-MAP0034,SPIFFE,SPIFFE,,SPIFFE ID,operational/standard construct,SPIFFE ID is explicitly an identifier URI.,,CM4DI-C0004,Identifier,kind,CM4DI-D0001,CM4DI-BC0001,exact,external→CM4DI,high,SPIFFE ID is explicitly an identifier URI.,,Exact correspondence remains profile-scoped.,,,,,reviewed,,profile P03
