extract_id,auth0_term,kind,source_semantics,important_relations_or_lifecycle,cm4di_disposition,cm4di_target,ddd_domain,semantic_risk,status
AUTH0-X-001,Tenant,administrative-boundary,"Container for applications users connections and configuration; user_id uniqueness guaranteed within tenant","contains users/apps/connections; scopes identifiers and administration",mapping,CM4DI-C1006 AdministrativeDomain,Identity Administration,"Tenant is not IdentityContext",accepted
AUTH0-X-002,User,managed-representation,"Tenant-local user account/profile associated with apps and authentication connections","has normalized profile; identities array; metadata; factors/passkeys; history",mapping-composite,"CM4DI-C1001 Account; C1002 UserProfile",Identity Administration,"Not IdentitySubject; user object can aggregate multiple provider identities",accepted
AUTH0-X-003,UserProfile,information-record,"Normalized Auth0-specific profile storing provider-normalized and metadata attributes","sourced from connection/provider; updated at login or management operations",mapping,CM4DI-C1002 UserProfile,Identity Administration,"Profile data has mixed provenance and is not the subject itself",accepted
AUTH0-X-004,Connection,integration-config,"Auth0 name for user-data/authentication sources including database social and enterprise IdPs","connection authenticates user; sources profile; enabled for apps/orgs",mapping-composite,"C1003 IdentitySource and/or C1010 FederationConnection and/or C1013 ProvisioningConnection",Identity Administration,"One vendor term spans multiple neutral semantic roles",accepted
AUTH0-X-005,Identity,array-entry/linked-representation,"Per-provider identity entry in user's identities array","belongs to provider/connection; multiple entries after account linking",candidate-representation-pattern,"Account/external identity representation plus linkedAccount",Identity Administration,"Not equal to IdentitySubject; not necessarily a full DigitalIdentity instance",investigate
AUTH0-X-006,AccountLink,co-reference-relation,"Linking two accounts forms primary-secondary relationship and consolidates identities under primary account","link/unlink lifecycle; primary/secondary asymmetry; requires authenticated/authorized action",mapping+relation-signal,linkedAccount,Identity Administration,"Must not be owl:sameAs; linking does not merge profile attributes from all providers",accepted
AUTH0-X-007,user_id,identifier,"Tenant-scoped user identifier often provider-qualified","uniquely identifies Auth0 user within tenant; may vary across tenants",mapping,CM4DI-C0004 Identifier,Identity Representation,"Identifier scope is tenant/context specific; do not infer global identity",accepted
AUTH0-X-008,Organization,B2B-organization,"Represents customer/business organization with members roles and enabled connections","has members; connections; member roles; organization-aware authentication",neighbor-bridge-candidate,W3C ORG + CM4DI Identity Administration/Authorization/Federation,Identity Administration,"Organization ontology should be reused/aligned rather than duplicated",investigate
AUTH0-X-009,OrganizationMembership,membership-relation,"User participates as member of Auth0 Organization","member assigned roles; authentication can be org-specific",candidate-neighbor-bridge,W3C ORG Membership + AccessGrant pattern,Authorization,"B2B org membership differs from AccessGroup and social group",investigate
AUTH0-X-010,OrganizationRole,authorization-bundle,"Role assigned to organization member for app access","member receives role; role maps to application authorization",mapping,CM4DI-C1016 PermissionBundle + C0029 AccessGrant,Authorization,"Not UFO Role",accepted
AUTH0-X-011,Application/Client,registration-config,"Application registered in tenant and associated with connections/APIs","enabled connections; authorize flows; client identifier",mapping,CM4DI-C1008 ApplicationRegistration,Identity Administration,"Configuration is not software Application entity",accepted
AUTH0-X-012,DatabaseConnection,identity-store/integration,"Auth0 or custom database user store used for authentication","creates users; stores/validates credentials; lifecycle scripts",mapping-composite,"C1005 IdentityStore; C1003 IdentitySource; C1013 ProvisioningConnection",Identity Administration,"Connection adapter not the database itself",accepted
AUTH0-X-013,EnterpriseConnection,federation-config,"SAML/ADFS/LDAP/enterprise IdP connection","authenticates external enterprise users and maps profile data",mapping,CM4DI-C1010 FederationConnection,Federation,"Profile sourcing role may also make provider an IdentitySource",accepted
AUTH0-X-014,SocialConnection,federation-config,"Connection to social identity provider","delegates authentication; provides provider profile; may participate in account linking",mapping,CM4DI-C1010 FederationConnection,Federation,"Social login is federation/authentication, not SemSocialIdentity by itself",accepted
AUTH0-X-015,IdentityProviderAttributes,source-information,"Read-only attributes retrieved from upstream authentication provider","copied/normalized into profile; provenance remains upstream",mapping,IdentityAttribute/Claim + IdentitySource provenance,Identity Information,"Do not treat cached normalized value as independently authoritative",accepted
AUTH0-X-016,user_metadata,local-profile-data,"User-editable custom metadata","stored with profile; not necessarily sourced/verified",mapping,CM4DI-C1002 UserProfile / C0006 IdentityAttribute,Identity Information,"Metadata does not imply verified Claim",accepted
AUTH0-X-017,app_metadata,admin-profile-data,"Application/administrator-managed metadata often used for access","stored with profile; can drive authorization",mapping,UserProfile + AuthorizationContext/AccessPolicy inputs,Authorization,"Metadata values are not automatically Permissions",accepted
AUTH0-X-018,Passkey,authenticator-material,"Passkeys created by user are shown as authentication factors","enrollment/use/revocation lifecycle",mapping,CM4DI-C0018 Authenticator,Authentication,"Authenticator artifact is not Credential in VC sense",accepted
AUTH0-X-019,MFAFactor,authenticator-role,"Enrolled MFA factor used in authentication","enroll/challenge/remove lifecycle",mapping,CM4DI-C0018 Authenticator,Authentication,"Factor term may cover heterogeneous mechanisms",accepted
AUTH0-X-020,DeviceLink,account-device-association,"Authorization on a device links device to user account and refresh token","link/unlink; refresh token revocation",candidate-relation-pattern,"DeviceIdentity/Account association + token/session relation",Device Identity,"Device association does not mean device is IdentitySubject of the user's DigitalIdentity",investigate
AUTH0-X-021,RefreshToken,credential/token-artifact,"Token used to obtain new tokens and associated with session/device contexts","issue/rotate/revoke/expire; stored in session semantics",mapping,CM4DI-C3013 TemporaryCredential or credential-token profile mapping,Credential Management,"Refresh token is not Session itself",investigate
AUTH0-X-022,BlockedUser,status-mode,"Administrative status restricting user access","block/unblock lifecycle",candidate-lifecycle,AccountStatus candidate,Identity Administration,"Current CM4DI lacks generic AccountStatus mode",investigate
