product_id,product,vendor_or_owner,category,deployment_model,primary_scope,operational_boundary,key_identity_objects,identity_source_store,federation_sso,provisioning,authorization,nonhuman_identity,protocols_or_interfaces,official_reference,primary_cm4di_domains,semantic_mapping_note,coverage_status,last_verified
IAM-P001,AWS IAM,Amazon Web Services,Cloud IAM,managed cloud service,workforce and workload access,AWS account,"IAM User; IAM Role; IAM Group; Principal; Policy","IAM identities; external IdP federation","External IdP federation; role assumption",Limited direct provisioning; integrates with external identity sources,"Identity and resource policies; permissions; conditions",Strong via IAM roles,"AWS APIs; federation; STS","https://docs.aws.amazon.com/IAM/latest/UserGuide/introduction_identity-management.html","Authorization;Workload Identity;Federation","IAM Role maps operationally to Principal/PermissionBundle patterns and must not be treated as a UFO Role.",seeded-needs-exhaustive,2026-08-29
IAM-P002,AWS IAM Identity Center,Amazon Web Services,Workforce IAM and SSO,managed cloud service,workforce SSO and multi-account access,AWS Organization or account instance,"User; Group; PermissionSet; AccountAssignment","Identity Center directory or external IdP","Workforce SSO; external IdP federation","SCIM provisioning supported for external identity sources","Permission sets and account assignments",Indirect through permission-set-created IAM roles,"SAML; SCIM; AWS APIs","https://docs.aws.amazon.com/singlesignon/latest/userguide/permissionsetsconcept.html","Identity Administration;Federation;Authorization","PermissionSet is an implementation of PermissionBundle; account assignment is closer to AccessGrant than AuthorizationResult.",seeded-needs-exhaustive,2026-08-29
IAM-P003,Amazon Cognito,Amazon Web Services,CIAM,managed cloud service,consumer and application identity,User Pool or Identity Pool,"User; UserPool; Group; AppClient; IdentityProvider","Cognito user pools and external IdPs","OIDC/SAML/social federation; hosted sign-in","User lifecycle APIs; federation/JIT patterns","Groups/scopes/app access; AWS credential federation",Supports unauthenticated/authenticated application identities,"OIDC; OAuth2; SAML; social IdPs; APIs","https://docs.aws.amazon.com/cognito/latest/developerguide/what-is-amazon-cognito.html","Identity Administration;Authentication;Federation","UserPool is an AdministrativeDomain/IdentityStore implementation, not IdentityContext.",seeded-needs-exhaustive,2026-08-29
IAM-P004,Microsoft Entra ID,Microsoft,Cloud IAM and directory,managed cloud service,workforce identity and application access,Tenant or directory,"User; Group; Application; ServicePrincipal; RoleAssignment; EnterpriseApplication","Microsoft Entra directory; hybrid identity sources","OIDC/OAuth2/SAML federation and SSO","Provisioning and directory synchronization","RBAC; app roles; permissions; Conditional Access",Strong via service principals and managed identities,"Microsoft Graph; OIDC; OAuth2; SAML; SCIM","https://learn.microsoft.com/en-us/entra/fundamentals/what-is-entra","Identity Administration;Federation;Authorization;Workload Identity","Application object and tenant-local ServicePrincipal must remain distinct; ServicePrincipal maps to contextual Principal representation.",seeded-needs-exhaustive,2026-08-29
IAM-P005,Microsoft Entra External ID,Microsoft,External identity and CIAM,managed cloud service,B2B collaboration and customer identity,Workforce tenant or External tenant,"ExternalUser; CustomerAccount; Tenant; AppRegistration; IdentityProvider","Entra tenant directory plus external/social IdPs","B2B federation; social login; external IdPs","Self-service sign-up and lifecycle management","Policies and application access",Primarily human/external identity,"OIDC; OAuth2; SAML; social IdPs; Graph","https://learn.microsoft.com/en-us/entra/external-id/external-identities-overview","Identity Administration;Federation;Authentication","External tenant is an AdministrativeDomain implementation; external identity must not be conflated with Social Identity.",seeded-needs-exhaustive,2026-08-29
IAM-P006,Microsoft Managed Identities,Microsoft,Workload identity,managed cloud service,Azure resource and application identity,Azure tenant and resource scope,"ManagedIdentity; ServicePrincipal; AzureResource","Microsoft Entra service-principal representation","Token acquisition through Entra rather than end-user federation",Platform-managed lifecycle,"Azure RBAC role assignments",Core focus,"Azure Resource Manager; Microsoft Entra token service","https://learn.microsoft.com/en-us/entra/identity/managed-identities-azure-resources/overview-for-developers","Workload Identity;Authorization;Identity Administration","ManagedIdentity is a provider-managed identity pattern; system-assigned and user-assigned lifecycle differences are profile semantics.",seeded-needs-exhaustive,2026-08-29
IAM-P007,Google Cloud IAM,Google Cloud,Cloud IAM,managed cloud service,resource access for workforce and workloads,Organization Folder Project Resource hierarchy,"Principal; ServiceAccount; Role; Permission; Policy; Resource","Google identities; workforce pools; service accounts","Integrates with workforce/workload federation","Directory and external provisioning via adjacent services","Allow policies; roles; permissions; conditions",Strong via service accounts and workload identities,"Google Cloud APIs; OAuth2; federation","https://cloud.google.com/iam/docs/overview","Authorization;Workload Identity;Identity Administration","Google Role is a PermissionBundle implementation; policy binding patterns map to AccessGrant semantics.",seeded-needs-exhaustive,2026-08-29
IAM-P008,Google Workforce Identity Federation,Google Cloud,Workforce federation,managed cloud service,external workforce SSO to Google Cloud,Workforce Identity Pool,"WorkforcePool; Provider; Subject; Group; Attribute","External IdP; no synchronized Google user account required","OIDC or SAML federation and SSO",Explicitly sync-less federation,"IAM allow policies with attribute-based access",Human workforce focus,"OIDC; SAML; Google STS/IAM","https://docs.cloud.google.com/iam/docs/workforce-identity-federation","Federation;Authorization;Identity Administration","Strong evidence for Federation being distinct from Provisioning and for AttributeMapping/AuthorizationContext patterns.",seeded-needs-exhaustive,2026-08-29
IAM-P009,Google Workload Identity Federation,Google Cloud,Workload federation,managed cloud service,multicloud and external workload access,Workload Identity Pool,"WorkloadPool; Provider; ExternalCredential; ServiceAccount","External workload identity source","Federated credential exchange",No persistent external user synchronization,"IAM bindings and service-account impersonation",Core focus,"OIDC; SAML; X.509; AWS; STS","https://docs.cloud.google.com/iam/docs/workload-identity-federation","Workload Identity;Federation;Authorization","Supports Workload, TokenExchange, TemporaryCredential and ServiceAccount distinctions without making pool/provider concepts Core.",seeded-needs-exhaustive,2026-08-29
IAM-P010,Google Cloud Identity,Google,Cloud directory and identity management,managed cloud service,workforce directory and groups,Cloud Identity or Workspace organization,"User; Group; GroupMembership; Device; Organization","Google directory and synchronized external directories","SSO/federation integrations","Directory sync and lifecycle administration","Group-driven access integrations",Limited/adjacent,"Directory APIs; SAML; provisioning integrations","https://cloud.google.com/identity/docs/overview","Identity Administration;Device Identity;Federation","Directory objects are managed representations and implementation records, not identity-bearing entities themselves.",seeded-needs-exhaustive,2026-08-29
IAM-P011,Okta Identity Engine and Universal Directory,Okta,Workforce IAM CIAM and directory,SaaS,workforce/customer SSO lifecycle and directory,Okta Organization,"User; UserProfile; Group; App; AppUser; Policy; IdentityProvider; Directory","Universal Directory; AD/LDAP/app/social sources","OIDC/SAML/social federation; IdP routing; account linking","Directory integrations; JIT; provisioning; SCIM","Policies; groups; roles; app assignments",Service accounts now supported in current platform,"OIDC; OAuth2; SAML; SCIM; APIs","https://developer.okta.com/docs/concepts/universal-directory/","Identity Administration;Federation;Authorization;Authentication","Strong operational evidence for IdentityStore, UserProfile, AttributeMapping, IdentitySource and linkedAccount; Okta Group is not Social Identity group.",seeded-needs-exhaustive,2026-08-29
IAM-P012,Auth0,Okta,CIAM and identity platform,SaaS,application/customer identity,Tenant,"User; Connection; Organization; Role; Permission; Application; IdentityProvider","Database connections; enterprise/social IdPs; passwordless sources","OIDC/SAML/social federation","JIT/profile sync and management APIs","RBAC roles and permissions",Machine-to-machine applications supported,"OIDC; OAuth2; SAML; APIs","https://auth0.com/docs/authenticate/identity-providers","Identity Administration;Federation;Authentication;Authorization","Connection is an operational source relationship; it should map to IdentitySource/FederationConnection rather than become Core.",seeded-needs-exhaustive,2026-08-29
