candidate_id,candidate_label,evidence_strength,overlap_with_cm4di,recommendation,rationale,gate_b_or_future_question
CAND-SOC-001,Social Identity,Very High,Name-level only,Social-Future,"Psychosocial/group-based self-concept is a different research object from technical DigitalIdentity.","Keep explicit exclusion from CM4DI Core?"
CAND-SOC-002,Social Identification,Very High,None,Social-Future,"Degree/process of identifying with a social group is psychological/social rather than IAM semantics.","Future ontology as quality/process or external theory alignment?"
CAND-SOC-003,Self-Categorization,Very High,None,Social-Future,"Psychological categorization of self as group member.","Future ontology only."
CAND-SOC-004,Group Identity,Very High,Partial Party/IdentitySubject,Social-Future,"Group-based self-concept is not the same as an identity record for a Group/Organization.","Model collective and member perspectives separately in future ontology?"
CAND-SOC-005,Collective Identity,High,Partial Party,Social-Future,"Collective identity has social construction and shared-meaning semantics beyond IAM.","Differentiate collective agent identity from members' identification?"
CAND-SOC-006,Group Membership,Very High,Possible Claim/Attribute content,Reference/Profile-Link,"Membership may be represented as a claim/attribute in CM4DI but its social semantics belong in ORG/social ontology.","Reference external Membership rather than duplicate?"
CAND-SOC-007,Affiliation,High,Possible IdentityAttribute/Claim content,Reference/Profile-Link,"Affiliation is identity-relevant information but not a new CM4DI Core entity by itself.","Map to W3C ORG/schema terms at profile level?"
CAND-SOC-008,Social Role,Very High,Role modeling pattern,Reference/Foundational-Link,"UFO already provides SocialRole; CM4DI interaction roles must not be confused with role identity.","Use UFO grounding and explicit anti-conflation rule."
CAND-SOC-009,Role Identity,Very High,Potential confusion with IdP/RP/Verifier roles,Social-Future,"Identity attached to a social role and self-verification is not merely playing an interaction role.","Keep outside CM4DI and document distinction."
CAND-SOC-010,Identity Salience,High,None,Social-Future,"Psychological/contextual prominence of one identity among multiple identities.","Future ontology quality/context pattern?"
CAND-SOC-011,Identity Commitment,High,None,Social-Future,"Psychosocial commitment to role/group identity is distinct from security commitments.","Avoid collision with UFO social commitment and IAM obligations."
CAND-SOC-012,Identity Strength,Medium-High,None,Social-Future,"Degree/intensity of identification is a psychological measure.","Future measurement model?"
CAND-SOC-013,Self-Identification,High,Possible claim provenance overlap,Social-Future with bridge,"A person's self-ascription can produce claims but should not be conflated with verified identity attributes.","Bridge via provenance of Claim?"
CAND-SOC-014,Attributed Identity,High,Possible Claim/Verifier overlap,Social-Future with bridge,"Identity assigned/perceived by others differs from system-verified attribution.","Model attribution source and acceptance separately in future ontology?"
CAND-SOC-015,Persona,High,Partial Profile/Account overlap,Social-Future,"Curated/performative persona is not an Account/Profile technical record.","Explicit anti-conflation with Profile candidate."
CAND-SOC-016,Self-Presentation,High,Possible Claim production overlap,Social-Future,"Behavior/process of presenting self to audiences is outside IAM Core.","Could future ontology connect presentation events to digital artifacts?"
CAND-SOC-017,Self-Disclosure,High,Possible Claim/Attribute release overlap,Social-Future with bridge,"Social disclosure process differs from credential/attribute disclosure protocols.","Bridge to consent/presentation without equating them."
CAND-SOC-018,Online Reputation,High,Possible Trust overlap,Social-Future,"Aggregated external evaluation is distinct from trust relation/assessment in CM4DI.","Future reputation/trust alignment needed."
CAND-SOC-019,Social Perception,High,Possible Claim/Trust overlap,Social-Future,"How others perceive an actor is a separate social quality/assessment family.","Future ontology could align with SDHSS."
CAND-SOC-020,Social Relationship,High,Partial Party relations,Social-Future,"Friendship/kinship/community relations are outside digital identity management.","No Core admission."
CAND-SOC-021,Audience,Medium-High,Partial IdentityContext,Social-Future,"Audience is a social interaction/context construct, not equivalent to IdentityContext.","Future context/audience model."
CAND-SOC-022,Context Collapse,High,Partial IdentityContext,Social-Future,"Merging social audiences/settings is a phenomenon absent from IAM context semantics.","Record as explicit non-equivalence."
CAND-SOC-023,Group Norm,High,Partial Policy/NormativeDescription,Social-Future/Foundational-Link,"Social norms influence identification but are not IAM access policies.","Use UFO normative grounding in future work."
CAND-SOC-024,Social Login,Very High,Enterprise/Federation profile,Include-in-CM4DI-as-mechanism,"Authentication/federation via an external social platform IdP is an IAM mechanism, not social identity theory.","Treat only as OIDC/OAuth federation mapping and never as SocialIdentity."
