mapping_id,profile,subject,predicate,object,external_family,status,justification
CM4DI-MAP0001,P01,Account,implementation,AWS IAM Identity Center user/account representation,AWS,reviewed,"Platform-local account representation about a subject; not exact ontology equivalence."
CM4DI-MAP0002,P01,PermissionBundle,implementation,AWS Permission Set,AWS,reviewed,"Permission Set operationally bundles permissions and provisions role policies."
CM4DI-MAP0003,P01,AccessGrant,implementation,AWS account assignment,AWS,reviewed,"Assignment links principal/group to permission set in account scope."
CM4DI-MAP0004,P01,Session,implementation,AWS IAM role session,AWS,reviewed,"Temporary assumed-role session is an operational session instance."
CM4DI-MAP0005,P01,ApplicationRegistration,implementation,Microsoft Entra application object,Microsoft Entra,reviewed,"Global application configuration/registration artifact."
CM4DI-MAP0006,P01,AccessPolicy,implementation,Microsoft Entra Conditional Access policy,Microsoft Entra,reviewed,"Conditional Access is a policy family, not Core authorization itself."
CM4DI-MAP0007,P01,AccessCondition,implementation,Microsoft Entra Conditional Access conditions,Microsoft Entra,reviewed,"Runtime/device/user/network predicates align to P01 condition + Core AuthorizationContext."
CM4DI-MAP0008,P01,PermissionBundle,implementation,Google Cloud IAM role,Google Cloud,reviewed,"Google IAM role bundles permissions; not UFO Role."
CM4DI-MAP0009,P01,AccessGrant,implementation,Google Cloud IAM role binding,Google Cloud,reviewed,"Binding grants a role/permission bundle to principal in resource scope."
CM4DI-MAP0010,P01,IdentitySource,implementation,Okta profile source / directory source,Okta,reviewed,"Source of managed identity/profile information."
CM4DI-MAP0011,P01,IdentityBroker,implementation,Keycloak identity brokering,Keycloak,reviewed,"Keycloak mediates external IdP authentication to local relying clients."
CM4DI-MAP0012,P01,Provisioning,implementation,SCIM create/update/deactivate operations,IETF SCIM,reviewed,"SCIM operations implement provisioning rather than enrollment."
CM4DI-MAP0013,P01,Federation,narrower,SAML 2.0 federation arrangement,OASIS SAML,reviewed,"SAML federation is one implementation/paradigm of broader P01 federation semantics."
CM4DI-MAP0014,P01,Federation,narrower,OpenID Connect federation/SSO relationship,OpenID Connect,reviewed,"OIDC SSO/federation is one realization of P01 federation."
CM4DI-MAP0015,P01,FederationConnection,implementation,Auth0 Connection,Auth0,reviewed,"Auth0 Connection configures link to user identity source/provider."
CM4DI-MAP0016,P01,AdministrativeDomain,implementation,Keycloak Realm,Keycloak,reviewed,"Realm is an operational administration/security boundary."
CM4DI-MAP0017,P01,AdministrativeDomain,implementation,PingOne Environment / Population,PingOne,reviewed,"Environment/population are operational partitions with narrower vendor semantics."
CM4DI-MAP0018,P01,SocialLogin,related,OIDC/OAuth login using social platform IdP,OIDC/OAuth,reviewed,"Social login is federation/authentication mechanism only; not SocialIdentity."
CM4DI-MAP0019,P02,Credential,exact,W3C Verifiable Credential conceptual artifact,W3C VC 2.0,reviewed,"VC is a concrete credential class compatible with Core Credential."
CM4DI-MAP0020,P02,VerifiablePresentation,exact,W3C Verifiable Presentation,W3C VC 2.0,reviewed,"Direct profile-level conceptual correspondence."
CM4DI-MAP0021,P02,Issuer,exact,W3C Issuer role,W3C VC 2.0,reviewed,"Contextual role correspondence."
CM4DI-MAP0022,P02,Holder,exact,W3C Holder role,W3C VC 2.0,reviewed,"Holder role retained distinctly from credential subject."
CM4DI-MAP0023,P02,CredentialPresentationVerifier,exact,W3C Verifier role,W3C VC 2.0,reviewed,"Credential-presentation verifier role correspondence."
CM4DI-MAP0024,P02,Identifier,exact,W3C DID as identifier,W3C DID Core,reviewed,"DID is an identifier specialization, not DigitalIdentity."
CM4DI-MAP0025,P02,Controller,exact,W3C DID Controller,W3C DID Core,reviewed,"Controller role maps directly at profile level."
CM4DI-MAP0026,P02,VerificationMethod,exact,W3C Verification Method,W3C DID/Controlled Identifiers,reviewed,"Profile cryptographic verification artifact."
CM4DI-MAP0027,P02,CredentialIssuance,implementation,OpenID4VCI issuance transaction,OpenID4VCI,reviewed,"Protocol realizes Core credential issuance."
CM4DI-MAP0028,P02,Wallet,implementation,OpenID4VCI/OpenID4VP Wallet,OpenID4VC,reviewed,"Operational wallet role maps to P02 Wallet."
CM4DI-MAP0029,P02,CredentialPresentation,implementation,OpenID4VP presentation transaction,OpenID4VP,reviewed,"Protocol realizes P02 presentation event."
CM4DI-MAP0030,P02,PresentationRequest,implementation,OpenID4VP authorization/presentation request,OpenID4VP,reviewed,"Protocol request is implementation of profile request semantics."
CM4DI-MAP0031,P02,Credential,narrower,ISO/IEC 18013-5 mdoc credential,ISO mdoc,reviewed,"mdoc is a credential specialization/profile artifact."
CM4DI-MAP0032,P02,SelectiveDisclosure,implementation,VC selective disclosure / derived presentation mechanisms,W3C VC ecosystem,reviewed,"Mechanisms implement presentation disclosure mode; no Core identity type."
CM4DI-MAP0033,P02,GovernmentAttestation,related,EUDI Electronic Attestation of Attributes,eIDAS/EUDI,reviewed,"EAA is P04 governed attestation used through P02 wallet flows."
CM4DI-MAP0034,P03,Identifier,exact,SPIFFE ID,SPIFFE,reviewed,"SPIFFE ID is explicitly an identifier URI."
CM4DI-MAP0035,P03,SVID,exact,SPIFFE Verifiable Identity Document,SPIFFE,reviewed,"SVID directly corresponds to P03 credential specialization."
CM4DI-MAP0036,P03,TrustDomain,exact,SPIFFE Trust Domain,SPIFFE,reviewed,"Direct profile correspondence."
CM4DI-MAP0037,P03,TrustBundle,exact,SPIFFE Trust Bundle,SPIFFE,reviewed,"Direct profile correspondence to trust material artifact."
CM4DI-MAP0038,P03,WorkloadAttestation,exact,SPIRE Workload Attestation,SPIRE,reviewed,"Direct event/process correspondence."
CM4DI-MAP0039,P03,NodeAttestation,exact,SPIRE Node Attestation,SPIRE,reviewed,"Direct event/process correspondence."
CM4DI-MAP0040,P03,ServiceAccount,implementation,Kubernetes ServiceAccount,Kubernetes,reviewed,"Kubernetes object implements non-human account representation."
CM4DI-MAP0041,P03,TemporaryCredential,implementation,Kubernetes projected service-account token,Kubernetes,reviewed,"Short-lived token credential used by workload."
CM4DI-MAP0042,P03,ServicePrincipal,implementation,Microsoft Entra service principal,Microsoft Entra,reviewed,"Tenant-local application security principal; implementation alignment not universal equivalence."
CM4DI-MAP0043,P03,ManagedIdentity,implementation,Microsoft Entra managed identity,Microsoft Entra,reviewed,"Platform-managed workload identity pattern."
CM4DI-MAP0044,P03,DeviceIdentityRecord,implementation,Microsoft Entra device object,Microsoft Entra,reviewed,"Directory representation of device, not device itself."
CM4DI-MAP0045,P03,TokenExchange,implementation,Google Security Token Service workload federation exchange,Google Cloud,reviewed,"Exchanges external assertion for local short-lived credentials."
CM4DI-MAP0046,P03,ServiceAccount,implementation,Google Cloud service account,Google Cloud,reviewed,"Operational machine account representation."
CM4DI-MAP0047,P03,Workload,narrower,Google Workload Identity Federation external workload,Google Cloud,reviewed,"Google external workload is one workload identity subject form."
CM4DI-MAP0048,P03,AgentIdentity,implementation,Microsoft Entra Agent Identity,Microsoft Entra Agent ID,reviewed,"Operational representation of an AI/software agent."
CM4DI-MAP0049,P03,AgentSponsor,implementation,Microsoft Entra agent sponsor,Microsoft Entra Agent ID,reviewed,"Accountability role maps to P03 sponsor."
CM4DI-MAP0050,P03,AgentIdentity,implementation,AWS AgentCore agent identity,AWS AgentCore,reviewed,"Specialized workload/agent identity representation."
CM4DI-MAP0051,P03,Delegation,related,OAuth 2.0 Token Exchange actor/subject delegation,RFC 8693,reviewed,"Protocol actor-subject separation implements delegated/on-behalf-of semantics."
CM4DI-MAP0052,P04,AssuranceAssessment,implementation,NIST Identity Assurance Level,NIST SP 800-63A-4,reviewed,"IAL maps to identity-proofing assurance dimension."
CM4DI-MAP0053,P04,AssuranceAssessment,implementation,NIST Authentication Assurance Level,NIST SP 800-63B-4,reviewed,"AAL maps to authentication assurance dimension."
CM4DI-MAP0054,P04,AssuranceAssessment,implementation,NIST Federation Assurance Level,NIST SP 800-63C-4,reviewed,"FAL maps to federation assurance dimension."
CM4DI-MAP0055,P04,TrustFramework,implementation,EUDI/eIDAS trust framework,eIDAS/EUDI,reviewed,"EU governed rules/status ecosystem is a profile implementation."
CM4DI-MAP0056,P04,PersonIdentificationData,exact,EUDI Person Identification Data,EUDI,reviewed,"Direct government-profile data-set correspondence."
CM4DI-MAP0057,P04,GovernmentAttestation,narrower,EUDI Electronic Attestation of Attributes,EUDI,reviewed,"EAA is a regulated attestation specialization."
CM4DI-MAP0058,P04,TrustedList,implementation,EU Trusted List,eIDAS,reviewed,"Official list communicates trust-service/provider status."
CM4DI-MAP0059,P04,TrustFramework,implementation,UK Digital Identity and Attributes Trust Framework,UK Government,reviewed,"Jurisdiction-specific governed trust framework."
CM4DI-MAP0060,P04,Certification,implementation,UK DVS certification/trust-mark process,UK Government,reviewed,"Certification establishes governed provider status."
CM4DI-MAP0061,P04,AssuranceAssessment,implementation,UK GPG45 identity confidence profile,UK Government,reviewed,"Identity confidence maps to proofing/identity assurance assessment dimensions."
CM4DI-MAP0062,P04,TrustFramework,implementation,Pan-Canadian Trust Framework,DIACC,reviewed,"Jurisdictional trust framework realization."
CM4DI-MAP0063,P04,EcosystemParticipation,implementation,Australian Digital ID participant accreditation/registration,Australia Digital ID,reviewed,"Governed participation status distinct from subject enrollment."
CM4DI-MAP0064,P04,GovernanceAuthority,implementation,Government digital-ID system authority/regulator role,Government frameworks,reviewed,"Neutral governance role covers jurisdiction-specific authorities without exact-equivalence claim."
CM4DI-MAP0065,P04,TrustAnchor,exact,OpenID Federation Trust Anchor,OpenID Federation 1.1,reviewed,"Direct technical-trust role correspondence."
CM4DI-MAP0066,P04,TrustChain,exact,OpenID Federation Trust Chain,OpenID Federation 1.1,reviewed,"Direct profile correspondence."
CM4DI-MAP0067,P04,IdentityServiceProvider,related,NIST CSP / UK IDSP / government identity provider roles,NIST/UK/Canada/Australia,reviewed,"Neutral provider role related to several framework-specific roles whose scopes differ."
CM4DI-MAP0068,P04,LegalIdentity,related,World Bank foundational/legal identity concept,World Bank ID4D,reviewed,"Legal/foundational identity basis supports profile semantics but is not exact cross-jurisdiction equivalence."
