candidate_id,candidate_label,candidate_type,current_cm4di_status,primary_evidence_families,recommendation,rationale,gate_b_question
CAND-STD-001,Identity Evidence,Concept,Missing,NIST 800-63A-4; OpenID Identity Assurance,Core candidate,Identity evidence is conceptually prior to proofing and distinct from claims/credentials.,Should evidence be modeled as an information/evidence object and how does it relate to source documents?
CAND-STD-002,Identity Proofing,Event/Process,Missing,NIST 800-63A-4; NIST 800-63-4,Core candidate,Proofing establishes confidence in claimed real-world identity before/around enrollment.,Event versus process/relator treatment under UFO must be decided.
CAND-STD-003,Applicant,Role,Missing,NIST 800-63A-4,Profile-first candidate,Applicant is a proofing-stage role and may be too NIST-specific for Core.,Can a neutral ProofingSubject role subsume Applicant?
CAND-STD-004,Assurance Level,Value/Quality,Partial via AssuranceContext,NIST 800-63; ISO/IEC 29115; OpenID HAIP,Core-or-profile candidate,Assurance recurs across proofing authentication federation and high-assurance credentials but taxonomies differ.,Use generic AssuranceAssessment/Level in Core or references only?
CAND-STD-005,Federation,Relational/Contextual construct,Missing,NIST 800-63C-4; SAML; OIDC; OpenID Federation,Core candidate,Cross-paradigm interoperability needs an explicit semantic anchor for federation rather than only IdP/RP roles.,Is Federation a social relator/context/system arrangement?
CAND-STD-006,Assertion,Information object,Missing,NIST 800-63C-4; SAML; WebAuthn,Core candidate with disambiguation,Federation assertions convey authentication/attributes but WebAuthn also uses assertion with different semantics.,Create a generic assertion supertype with explicit subtypes or keep only profile-specific assertions?
CAND-STD-007,Federation Assertion,Information object,Missing,NIST 800-63C-4; SAML; OIDC,Enterprise/Federated profile,Specific assertion carrying federated authentication/attribute information.,How should it relate to Claim and Credential?
CAND-STD-008,Authentication Assertion,Information/cryptographic artifact,Missing,WebAuthn/FIDO,Authentication profile,WebAuthn assertion is proof material from an authenticator and must not be conflated with federation assertion.,Is it a Proof subtype rather than Assertion supertype?
CAND-STD-009,Resource,Entity/Information resource,Missing,ISO/IEC 29146; XACML; AuthZEN; OAuth,Core candidate,Authorization decisions are about access to a target resource; current CM4DI lacks this target.,What UFO category should cover digital and non-digital protected resources?
CAND-STD-010,Action,Action type/intent,Missing,XACML; AuthZEN; OAuth,Core candidate,Authorization evaluates a requested action on a resource.,Model as action type/intention rather than event instance?
CAND-STD-011,Authorization Request,Information object/Event input,Missing,XACML; AuthZEN,Core candidate,Separates the request context from the Authorization event and its result.,Should it be an information object participating in Authorization?
CAND-STD-012,Authorization Context,Context/Information object,Partial via IdentityContext,ISO/IEC 29146; XACML; AuthZEN,Core candidate,Environmental/request context is not necessarily the same as IdentityContext.,Keep AuthorizationContext distinct from IdentityContext?
CAND-STD-013,Authorization Decision,Decision/Result,Partial as AuthorizationResult,AuthZEN; XACML,Core refinement,Current result can be strengthened with decision semantics allow/deny and optional obligations/advice.,Rename/redefine AuthorizationResult or introduce Decision subtype?
CAND-STD-014,Policy,Social/Information object,Helper artifact only,XACML; OpenID Federation; ISO/IEC 29146,Profile-first candidate,Policy is important but full policy ontology would overload the Core.,Retain PolicyReference in Core and formal Policy in profiles?
CAND-STD-015,Obligation,Social/Information object,Helper artifact only,XACML,Authorization profile,Obligations/advice are decision adjuncts and not universal identity concepts.,Keep profile-only unless operational evidence raises importance.
CAND-STD-016,Credential Status,State/Information object,Partial via statusReference,W3C Bitstring Status; VC 2.0; ISO mobile eID,Core lifecycle candidate,Credential validity/status is cross-ecosystem while status mechanisms are profile-specific.,Model state directly or status assertion/information object?
CAND-STD-017,Credential Issuance,Event,Implicit only,W3C VC; OID4VCI; ISO 23220-3,Core lifecycle candidate,Issuance is repeated across credential ecosystems and should be distinguishable from possession/holding.,Does a generic Issuance event belong in Core?
CAND-STD-018,Credential Presentation,Event,Missing,W3C VC; OID4VP; Digital Credentials API,Wallet/VC profile candidate,Presentation is central to wallet ecosystems but not universal to all identity paradigms.,Profile-only unless cross-paradigm evidence expands.
CAND-STD-019,Holder,Role,Missing,W3C VC; ISO mdoc; OID4VC,Wallet/VC profile candidate,Holder is not equivalent to NIST Subscriber and may or may not be credential subject.,Define distinct Holder role and map Subscriber only where warranted.
CAND-STD-020,Controller,Role,Missing,W3C DID; Controlled Identifiers,Wallet/VC profile candidate,Control of identifier/keys is distinct from being identity subject.,Profile role with explicit controls relation.
CAND-STD-021,Verification Method,Information/Cryptographic artifact,Missing,W3C DID; Controlled Identifiers; VC Data Integrity,Wallet/VC profile candidate,Protocol/ecosystem-specific cryptographic verification material.,Do not admit to Core without broader evidence.
CAND-STD-022,Proof,Information/Cryptographic evidence,Only proofRef helper,W3C Data Integrity; WebAuthn; ISO mdoc,Core-or-profile candidate,Cryptographic proof appears across credentials/authentication but semantics differ.,Generic Evidence/Proof supertype may bridge without cryptographic over-modeling.
CAND-STD-023,Session,Relator/Stateful interaction,Missing,OIDC Session Management; enterprise SSO,Enterprise/Federated profile candidate,Operationally important in SSO but not essential to all paradigms.,Keep profile unless later IAM discovery shows cross-paradigm necessity.
CAND-STD-024,Trust Anchor,Role/Entity,Missing,OpenID Federation; DID/PKI ecosystems,Trust/Federation profile candidate,Trust chains terminate at trust anchors; current TrustReference is too weak to represent this directly.,Validate against EUDI/national trust frameworks in Issue #4.
CAND-STD-025,Trust Chain,Structured relation/path,Missing,OpenID Federation,Trust/Federation profile candidate,Multilateral federation requires mediated trust paths.,Validate against government/federation frameworks before formalization.
CAND-STD-026,Federation Policy,Policy artifact,Missing,OpenID Federation,Trust/Federation profile candidate,Entity metadata can be constrained by federation policy.,Keep outside Core unless generalized governance need emerges.
CAND-STD-027,Provisioning Operation,Event,Missing,SCIM RFC 7644/9967,Enterprise/Federated profile candidate,Create modify delete activate deactivate are identity-resource lifecycle events.,Profile-specific events may map to a generic LifecycleEvent pattern.
CAND-STD-028,Delegation,Relator/Authorization relation,Missing,RFC 8693; OAuth ecosystems,Core-or-profile candidate,Delegation distinguishes actor from subject and is broadly relevant to workload/agent identity.,Re-evaluate after Issue #6 machine/agent identity discovery.
CAND-STD-029,Actor,Role,Missing,RFC 8693,Profile-first candidate,An actor may act on behalf of a subject; important for delegation and agents.,Assess alignment with future Agent/Requester roles.
CAND-STD-030,DID/Decentralized Identifier,Identifier subtype,Representable by Identifier,W3C DID,Mapping/Profile,CM4DI should map DID as an Identifier specialization/profile rather than make decentralization a Core commitment.,Confirm Identifier scheme model is sufficient.
CAND-STD-031,JWT/ID Token/Access Token,Protocol artifact,Not explicit,IETF JWT; OIDC; OAuth,Mapping-only,Token formats are operational representations not universal identity categories.,Map to information/security artifacts without Core promotion.
CAND-STD-032,Wallet,Software/Application role,Missing,NIST 800-63C-4; OID4VC; W3C DC API,Wallet/VC profile candidate,Wallet is operationally central but not a universal identity concept.,Model as software agent/application with wallet role or dedicated kind?
CAND-STD-033,Relying Party,Role/Subkind,Existing,NIST; OIDC; WebAuthn,Review current ontological status,RP semantics recur but differ slightly across authentication federation and WebAuthn.,Should RP remain rigid subkind or become anti-rigid role played by organizations/software?
CAND-STD-034,Verifier,Role/Subkind,Existing,NIST; W3C VC; ISO mdoc,Semantic split required,NIST authentication verifier and VC presentation verifier are not necessarily the same role semantics.,Split/redefine or create role subtypes at Gate B.
CAND-STD-035,Credential Service Provider,Role/Subkind,Existing,NIST; ISO identity management,Review generality,CSP is highly NIST-centric whereas other ecosystems use Issuer/IdP/Authorization Server.,Retain in Core or profile under more neutral provider/issuer abstraction?
