concept_id,en_label,fa_label,primary_domain,definition_reference,status
CM4DI-C0001,Party,طرف مشارکت‌کننده,Identity Representation,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0002,IdentitySubject,موضوع هویت,Identity Representation,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0003,DigitalIdentity,هویت دیجیتال,Identity Representation,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0004,Identifier,شناسه,Identity Representation,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0005,IdentityContext,زمینه هویتی,Identity Representation,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0006,IdentityAttribute,ویژگی هویتی,Identity Information,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0007,Claim,ادعا,Identity Information,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0008,Evidence,شواهد,Identity Evidence,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0009,Proof,اثبات,Identity Evidence,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0010,IdentityBinding,پیوند هویتی,Identity Evidence,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0011,Credential,اعتبارنامه,Credential Management,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0012,CredentialStatus,وضعیت اعتبارنامه,Credential Management,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0013,CredentialLifecycleEvent,رویداد چرخه حیات اعتبارنامه,Credential Management,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0014,CredentialIssuance,صدور اعتبارنامه,Credential Management,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0015,IdentityProofing,اعتبارسنجی اولیه هویت,Identity Establishment,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0016,Enrollment,ثبت هویتی,Identity Establishment,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0017,Authentication,احراز اصالت,Authentication,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0018,Authenticator,ابزار احراز اصالت,Authentication,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0019,AuthenticationResult,نتیجه احراز اصالت,Authentication,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0020,AssuranceAssessment,ارزیابی اطمینان,Identity Evidence,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0021,Authorization,مجوزدهی,Authorization,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0022,AuthorizationRequest,درخواست مجوزدهی,Authorization,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0023,AuthorizationContext,زمینه مجوزدهی,Authorization,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0024,AuthorizationResult,نتیجه مجوزدهی,Authorization,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0025,Principal,پرینسیپال,Authorization,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0026,Resource,منبع,Authorization,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0027,Action,کنش,Authorization,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0028,Permission,اجازه,Authorization,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0029,AccessGrant,اعطای دسترسی,Authorization,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0030,Delegation,تفویض اختیار,Authorization,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0031,TrustAssessment,ارزیابی اعتماد,Trust Governance,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0032,TrustReference,مرجع اعتماد,Trust Governance,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0033,RelyingParty,طرف متکی,Federation,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C0034,Verifier,اعتبارسنج,Identity Evidence,docs/concepts/CM4DI_CORE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1001,Account,حساب کاربری,Identity Administration,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1002,UserProfile,نمایه کاربر,Identity Administration,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1003,IdentitySource,منبع هویت,Identity Administration,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1004,AuthoritativeIdentitySource,منبع مرجع هویت,Identity Administration,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1005,IdentityStore,مخزن هویت,Identity Administration,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1006,AdministrativeDomain,دامنه مدیریتی,Identity Administration,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1007,Application,برنامه کاربردی,Identity Administration,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1008,ApplicationRegistration,ثبت برنامه کاربردی,Identity Administration,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
