concept_id,label,primary_domain_id,primary_domain,secondary_domains,assignment_rationale,status
CM4DI-C0001,Party,CM4DI-D0001,Identity Representation,"CM4DI-D0009;CM4DI-D0010;CM4DI-D0014","Foundational contextual participant role used across identity interactions.",current
CM4DI-C0002,IdentitySubject,CM4DI-D0001,Identity Representation,"CM4DI-D0011;CM4DI-D0012;CM4DI-D0013;CM4DI-D0015","Defines what identity representation or identity information is about.",current
CM4DI-C0003,DigitalIdentity,CM4DI-D0001,Identity Representation,"CM4DI-D0008;CM4DI-D0011;CM4DI-D0012;CM4DI-D0013","Canonical managed digital representation of an IdentitySubject.",current
CM4DI-C0004,Identifier,CM4DI-D0001,Identity Representation,"CM4DI-D0010;CM4DI-D0011","Foundational scoped reference/sign used across profiles.",current
CM4DI-C0005,IdentityContext,CM4DI-D0001,Identity Representation,"CM4DI-D0006;CM4DI-D0007","Defines interpretation context for identity representations; distinct from operational/security domains.",current
CM4DI-C0006,IdentityAttribute,CM4DI-D0002,Identity Information,"CM4DI-D0008;CM4DI-D0015","Identity-information element about a subject.",current
CM4DI-C0007,Claim,CM4DI-D0002,Identity Information,"CM4DI-D0005;CM4DI-D0010;CM4DI-D0015","Assertion about an IdentitySubject; reused by credentials and exchange.",current
CM4DI-C0008,Evidence,CM4DI-D0003,Identity Evidence,"CM4DI-D0004;CM4DI-D0010;CM4DI-D0011;CM4DI-D0014","Cross-context evidential role supporting claims, bindings and assessments.",current
CM4DI-C0009,Proof,CM4DI-D0003,Identity Evidence,"CM4DI-D0010;CM4DI-D0011","Specialized evidential role for verification/proof use.",current
CM4DI-C0010,IdentityBinding,CM4DI-D0003,Identity Evidence,"CM4DI-D0004;CM4DI-D0011;CM4DI-D0012","Relator grounding subject-to-representation/credential/authenticator bindings.",current
CM4DI-C0011,Credential,CM4DI-D0005,Credential Management,"CM4DI-D0010;CM4DI-D0011;CM4DI-D0015","Credential lifecycle ownership belongs to Credential Management.",current
CM4DI-C0012,CredentialStatus,CM4DI-D0005,Credential Management,"CM4DI-D0010;CM4DI-D0011","Credential lifecycle/status semantics.",current
CM4DI-C0013,CredentialLifecycleEvent,CM4DI-D0005,Credential Management,CM4DI-D0011,"Generic credential lifecycle event.",current
CM4DI-C0014,CredentialIssuance,CM4DI-D0005,Credential Management,"CM4DI-D0010;CM4DI-D0015","Credential issuance event owned by lifecycle domain.",current
CM4DI-C0015,IdentityProofing,CM4DI-D0004,Identity Establishment,CM4DI-D0015,"Establishes confidence before or while creating a managed identity relationship.",current
