source_record_id,evidence_id,family,title,owner_or_author,version_or_date,status,canonical_url_or_identifier,authority_class,primary_domain_or_context,materiality,coverage_status,last_verified,notes
SM-EU-001,CM4DI-EVID0030,EU-Regulation,"Regulation (EU) 2024/1183 — European Digital Identity Framework","European Union",2024-04-30,"in force","https://eur-lex.europa.eu/eli/reg/2024/1183/oj","law","Government Identity;Trust Governance;Credential Exchange",material,"existing-summary_needs-exhaustive",2026-08-29,"Primary legal framework; amended eIDAS."
SM-EU-002,CM4DI-EVID0031,EUDI-ARF,"EUDI Wallet Architecture and Reference Framework","European Commission / Member States",v3.0.0-2026-07-21,current,"https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/releases/tag/v3.0.0","official-architecture","Credential Exchange;Government Identity;Trust Governance",material,"existing-summary_needs-exhaustive",2026-08-29,"Current ARF aligned with July 2026 amendments and FCAF."
SM-EU-003,,EU-Implementing-Regulation,"Commission Implementing Regulation (EU) 2024/2977 — PID and EAA","European Commission","consolidated 2026-08-11","in force; amended","https://eur-lex.europa.eu/eli/reg_impl/2024/2977/oj/eng","law","Government Identity;Credential Management;Credential Exchange",material,"queued",2026-08-29,"Amended by 2026/1731; use current consolidated text for semantics plus original for lineage."
SM-EU-004,,EU-Implementing-Regulation,"Commission Implementing Regulation (EU) 2024/2979 — wallet integrity and core functionalities","European Commission","current after 2026/1731","in force; amended","https://eur-lex.europa.eu/eli/reg_impl/2024/2979/oj/eng","law","Credential Exchange;Authentication",material,"queued",2026-08-29,"Part of core wallet implementation set."
SM-EU-005,,EU-Implementing-Regulation,"Commission Implementing Regulation (EU) 2024/2980 — ecosystem notifications","European Commission","current after 2026/1731","in force; amended","https://eur-lex.europa.eu/eli/reg_impl/2024/2980/oj/eng","law","Trust Governance;Government Identity",material,"queued",2026-08-29,"Trusted-entity notification semantics."
SM-EU-006,,EU-Implementing-Regulation,"Commission Implementing Regulation (EU) 2024/2981 — certification of wallet solutions","European Commission",2024-11-28,"in force","https://eur-lex.europa.eu/eli/reg_impl/2024/2981/oj/eng","law","Trust Governance;Credential Exchange",material,"queued",2026-08-29,"Certification and conformity requirements; FCAF relates functionally but does not replace security certification."
SM-EU-007,,EU-Implementing-Regulation,"Commission Implementing Regulation (EU) 2024/2982 — protocols and interfaces","European Commission","consolidated 2026-08-11","in force; amended","https://eur-lex.europa.eu/eli/reg_impl/2024/2982/oj/eng","law","Credential Exchange;Federation;Authentication",material,"queued",2026-08-29,"Amended by 2026/1731."
SM-EU-008,,EU-Implementing-Regulation,"Commission Implementing Regulation (EU) 2025/848 — wallet-relying-party registration","European Commission","current after 2026/1730","in force; amended","https://eur-lex.europa.eu/eli/reg_impl/2025/848/oj/eng","law","Federation;Trust Governance;Credential Exchange",material,"queued",2026-08-29,"National registers, registrars, intended use, access/registration certificates."
SM-EU-009,,EU-Amending-Regulation,"Commission Implementing Regulation (EU) 2026/1731","European Commission",2026-07-15,"amending act","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32026R1731","law","Credential Exchange;Trust Governance;Government Identity",material,"queued",2026-08-29,"Amends 2024/2977, 2979, 2980 and 2982 as regards standards/specifications."
SM-EU-010,,EU-Amending-Regulation,"Commission Implementing Regulation (EU) 2026/1730","European Commission",2026-07-15,"amending act","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32026R1730","law","Federation;Trust Governance;Credential Exchange",material,"queued",2026-08-29,"Amends 2025/848 as regards applicable standards/specifications."
SM-NORM-001,CM4DI-EVID0001,ISO,"ISO/IEC 24760-1:2025 — Identity management core concepts and terminology","ISO/IEC",2025,"published","https://www.iso.org/standard/24760-1","international-standard","Identity Representation;Identity Information",material,"existing-summary_needs-exhaustive",2026-08-29,"Full text access constraints must be explicit in coverage ledger."
SM-NORM-002,CM4DI-EVID0002,ISO,"ISO/IEC 24760-2:2025 — Reference architecture and requirements","ISO/IEC",2025,"published","https://www.iso.org/standard/24760-2","international-standard","Digital Identity Management",material,"existing-summary_needs-exhaustive",2026-08-29,"Cross-human/non-human and architecture anchor."
SM-NORM-003,CM4DI-EVID0009,NIST,"NIST SP 800-63-4 — Digital Identity Guidelines","NIST",2025-07,"final","https://csrc.nist.gov/pubs/sp/800/63/4/final","government-guideline","Identity Establishment;Authentication;Federation;Trust Governance",material,"existing-summary_needs-exhaustive",2026-08-29,"Mine suite parts separately as material sources."
SM-NORM-004,CM4DI-EVID0010,NIST,"NIST SP 800-63A-4 — Identity Proofing and Enrollment","NIST",2025-07,"final","https://csrc.nist.gov/pubs/sp/800/63/A/4/final","government-guideline","Identity Evidence;Identity Establishment",material,"existing-summary_needs-exhaustive",2026-08-29,"Direct proofing/evidence source."
SM-NORM-005,CM4DI-EVID0011,NIST,"NIST SP 800-63B-4 — Authentication and Authenticator Management","NIST",2025-07,"final","https://csrc.nist.gov/pubs/sp/800/63/B/4/final","government-guideline","Authentication",material,"existing-summary_needs-exhaustive",2026-08-29,"Direct authenticator/lifecycle/assurance source."
SM-NORM-006,CM4DI-EVID0012,NIST,"NIST SP 800-63C-4 — Federation and Assertions","NIST",2025-07,"final","https://csrc.nist.gov/pubs/sp/800/63/C/4/final","government-guideline","Federation;Authentication;Identity Information",material,"existing-summary_needs-exhaustive",2026-08-29,"Federation/assertion/RP roles."
SM-NORM-007,CM4DI-EVID0013,W3C,"Verifiable Credentials Data Model v2.0","W3C",2025-05-15,"Recommendation","https://www.w3.org/TR/vc-data-model-2.0/","web-standard","Credential Management;Credential Exchange",material,"existing-summary_needs-exhaustive",2026-08-29,"Direct credential roles/artifacts."
SM-NORM-008,CM4DI-EVID0014,W3C,"Decentralized Identifiers v1.0","W3C",2022-07-19,"Recommendation","https://www.w3.org/TR/did-core/","web-standard","Identity Representation;Credential Exchange",material,"existing-summary_needs-exhaustive",2026-08-29,"DID 1.1 tracked separately as monitor."
SM-NORM-009,CM4DI-EVID0020,OpenID,"OpenID for Verifiable Presentations 1.0","OpenID Foundation",2025-07,"Final","https://openid.net/specs/openid-4-verifiable-presentations-1_0.html","industry-standard","Credential Exchange",material,"existing-summary_needs-exhaustive",2026-08-29,"Presentation transaction."
SM-NORM-010,CM4DI-EVID0021,OpenID,"OpenID for Verifiable Credential Issuance 1.0","OpenID Foundation",2025-09,"Final","https://openid.net/specs/openid-4-verifiable-credential-issuance-1_0-final.html","industry-standard","Credential Management;Credential Exchange",material,"existing-summary_needs-exhaustive",2026-08-29,"Issuance transaction."
SM-NORM-011,CM4DI-EVID0022,OpenID,"OpenID Federation 1.1","OpenID Foundation",2026-05-06,"Final","https://openid.net/specs/openid-federation-1_1-final.html","industry-standard","Federation;Trust Governance",material,"existing-summary_needs-exhaustive",2026-08-29,"Trust chain/anchor/entity statements."
SM-NORM-012,CM4DI-EVID0023,OpenID,"Authorization API 1.0 (AuthZEN)","OpenID Foundation",2026-01,"Final","https://openid.net/specs/authorization-api-1_0.html","industry-standard","Authorization",material,"existing-summary_needs-exhaustive",2026-08-29,"Neutral subject/resource/action/context/decision source."
