evidence_id,title,source_family,source_type,organization_or_authors,publication_or_version_date,version_or_status,persistent_identifier_or_url,doi_if_any,license_or_access_status,paradigm,identity_subject_types,concept_candidates,relation_candidates,lifecycle_candidates,trust_or_assurance_candidates,profile_destination,core_relevance,mapping_relevance,evaluation_relevance,social_identity_flag,evidence_grade_notes,extracted_claim_or_definition_summary,provenance_notes,supersedes_or_superseded_by,review_status
"CM4DI-EVID0071","Google Cloud Workload Identity Federation","Operational IAM","Official Product Documentation","Google Cloud","2026 review","Current documentation","https://docs.cloud.google.com/iam/docs/workload-identity-federation","","Public official documentation","workload federation","workload; external software principal","WorkloadIdentity; WorkloadIdentityPool; WorkloadIdentityProvider; FederatedPrincipal; SecurityTokenService; ServiceAccountImpersonation","external credential mapsTo federated principal; STS exchanges credential; principal accesses resource or impersonates service account","token exchange; short-lived access","federation trust; attribute conditions","Machine/Workload/Device/Agent Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct","Separates external workload identity from service account and shows direct access versus service-account impersonation.","Google Cloud official IAM documentation.","","reviewed"
"CM4DI-EVID0072","Google Cloud Workforce vs Workload Identity Federation","Operational IAM","Official Product Documentation","Google Cloud","2026 review","Current documentation","https://docs.cloud.google.com/iam/docs/workforce-identity-federation","","Public official documentation","identity federation","human workforce; workload","WorkforceIdentity; WorkloadIdentity; Principal; Attribute","workforce federation targets users; workload federation targets workloads","federation","attribute-based access","Machine/Workload + Enterprise/Federated","High","High","High","false","Authority=official; Recency=current; Directness=direct","Provides an explicit human-versus-workload identity distinction in one platform vocabulary.","Google Cloud official IAM documentation.","","reviewed"
"CM4DI-EVID0073","Microsoft Entra Workload ID overview","Operational IAM","Official Product Documentation","Microsoft","2026 review","Current documentation","https://learn.microsoft.com/en-us/entra/workload-id/","","Public official documentation","workload identity","application; service; script; container","WorkloadIdentity; Application; ServicePrincipal; ManagedIdentity; FederatedCredential","workload identity authenticatesTo resource","create; credential renewal; review; delete","conditional access; risk","Machine/Workload/Device/Agent Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct","Defines workload identities for digital workloads and distinguishes applications, service principals and managed identities.","Microsoft Learn official documentation.","","reviewed"
"CM4DI-EVID0074","Microsoft Entra application and service-principal objects","Operational IAM","Official Product Documentation","Microsoft","2026 review","Current documentation","https://learn.microsoft.com/en-us/entra/identity-platform/app-objects-and-service-principals","","Public official documentation","application/workload identity","application; software workload","ApplicationObject; ServicePrincipal; ManagedIdentity; Tenant; AppInstance","applicationObject instantiatedAs servicePrincipal; managedIdentity representedBy servicePrincipal","registration; instantiation; deletion","tenant-local permissions","Machine/Workload Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct","Distinguishes an application definition from its tenant-local security principal and from managed-identity service principals.","Microsoft Learn official documentation.","","reviewed"
"CM4DI-EVID0075","Microsoft Entra Conditional Access for workload identities","Operational IAM","Official Product Documentation","Microsoft","2026 review","Current documentation","https://learn.microsoft.com/en-us/entra/identity/conditional-access/workload-identity","","Public official documentation","workload authorization","service principal","WorkloadIdentity; ServicePrincipal; Risk; AccessPolicy; TokenRequest","service principal requests token; policy evaluates workload identity","disable; delete; risk-state change","conditional access; risk","Machine/Workload Profile","Medium","High","High","false","Authority=official; Recency=current; Directness=direct","Shows workload identities have lifecycle/risk/access-policy semantics different from human MFA-oriented identity.","Microsoft Learn official documentation.","","reviewed"
"CM4DI-EVID0076","Kubernetes Service Accounts","Operational Platform","Official Project Documentation","Kubernetes","2026 review","Current documentation","https://kubernetes.io/docs/concepts/security/service-accounts/","","Open documentation","cluster workload identity","pod; workload; automation","ServiceAccount; Pod; Namespace; ServiceAccountToken; RBACRoleBinding","pod uses serviceAccount; roleBinding grants permissions to serviceAccount","create; token issue/rotate; delete","cluster trust; short-lived token","Machine/Workload Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct","ServiceAccount is a non-human account object used by workloads; it is not the workload process itself.","Kubernetes official documentation.","","reviewed"
"CM4DI-EVID0077","Amazon EKS Pod Identity","Operational IAM","Official Product Documentation","Amazon Web Services","2026 review","Current documentation","https://docs.aws.amazon.com/eks/latest/userguide/pod-identities.html","","Public official documentation","cluster workload identity","pod; workload; service account","PodIdentityAssociation; KubernetesServiceAccount; IAMRole; Pod; TemporaryCredential","association maps serviceAccountTo IAMRole; pod receives temporary credential","association create/update/delete; credential refresh","least privilege; auditability","Machine/Workload Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct","Shows a workload can use a platform-local service-account identity that is associated with a cloud access role; none of those are identical to the running Pod.","AWS official EKS documentation.","","reviewed"
"CM4DI-EVID0078","AWS IAM Roles Anywhere","Operational IAM","Official Product Documentation","Amazon Web Services","2026-07","Current documentation","https://docs.aws.amazon.com/rolesanywhere/latest/userguide/introduction.html","","Public official documentation","external workload identity","server; container; application","Workload; X509Certificate; TrustAnchor; IAMRole; TemporaryCredential","workload authenticatesWith certificate; CA registeredAs trustAnchor; workload obtains temporary credential","certificate lifecycle; session expiry","PKI trust anchor","Machine/Workload + Trust Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct","Strong evidence that workload identity can be proven through an external credential and mapped to an assumable access role without a long-lived local account secret.","AWS IAM Roles Anywhere official docs.","","reviewed"
"CM4DI-EVID0079","SPIFFE core standard","Normative/Operational Standard","Official Specification","SPIFFE/CNCF","2026 review","Stable specification","https://spiffe.io/docs/latest/spiffe-specs/spiffe/","","Open specification","workload identity","service; compute workload","SPIFFEID; SVID; WorkloadAPI; Workload","workload obtains SVID; SVID carries SPIFFEID","issue; rotate; expire","trust domain","Machine/Workload Profile","High","High","High","false","Authority=official standard; Recency=current; Directness=direct","Defines workload identity as an identifier plus verifiable identity document delivered through a workload API.","SPIFFE official specification.","","reviewed"
"CM4DI-EVID0080","SPIFFE Identity and Verifiable Identity Document","Normative/Operational Standard","Official Specification","SPIFFE/CNCF","2026 review","Stable specification","https://spiffe.io/docs/latest/spiffe-specs/spiffe-id/","","Open specification","workload identity","resource; caller; workload","SPIFFEID; TrustDomain; SVID; SigningAuthority","SPIFFEID identifies workload/resource; SVID communicates identity; authority signs SVID","SVID issue/expiry","trust domain; signing authority","Machine/Workload + Trust Profile","High","High","High","false","Authority=official standard; Recency=current; Directness=direct","Separates identifier from credential-like verifiable identity document and from the workload being identified.","SPIFFE official specification.","","reviewed"
"CM4DI-EVID0081","SPIFFE Trust Domain and Bundle","Normative/Operational Standard","Official Specification","SPIFFE/CNCF","2026 review","Stable; v1.15.2 docs","https://spiffe.io/docs/latest/spiffe-specs/spiffe_trust_domain_and_bundle/","","Open specification","workload trust federation","trust domain; issuing authority","TrustDomain; SPIFFEBundle; IssuingAuthority; TrustKey","bundle represents trustDomain keys; authority anchors identities","key rotation; bundle update","cryptographic trust domain","Machine/Workload + Trust Profile","High","High","High","false","Authority=official standard; Recency=current; Directness=direct","Confirms TrustDomain is an identity namespace/security boundary and TrustBundle is a rotating key artifact, not a social/governance trust framework.","SPIFFE official specification.","","reviewed"
"CM4DI-EVID0082","SPIFFE Federation","Normative/Operational Standard","Official Specification","SPIFFE/CNCF","2026 review","Stable specification","https://spiffe.io/docs/latest/spiffe-specs/spiffe_federation/","","Open specification","workload federation","workload; trust domain","TrustDomainFederation; SPIFFEBundle; ForeignTrustDomain","trustDomain exchanges bundleWith foreign trustDomain; workload validates foreign SVID","bundle refresh","cross-domain cryptographic trust","Machine/Workload + Trust Profile","Medium","High","High","false","Authority=official standard; Recency=current; Directness=direct","Federation here means exchange of trust material between workload trust domains, distinct from human SSO federation.","SPIFFE official specification.","","reviewed"
"CM4DI-EVID0083","SPIRE workload attestation","Operational Reference Implementation","Official Project Documentation","SPIFFE/SPIRE","2026 review","Current documentation","https://spiffe.io/docs/latest/deploying/configuring/","","Open documentation","workload attestation","node; process; pod; workload","NodeAttestation; WorkloadAttestation; Selector; RegistrationEntry; SPIREAgent","server attests node; agent attests process/workload; selectors identify eligible workload","attestation; registration; SVID issuance","attestation evidence","Machine/Workload Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct","Separates node/device-like attestation from workload/process attestation and uses runtime evidence to bind identity to a specific workload.","SPIFFE/SPIRE official docs.","","reviewed"
"CM4DI-EVID0084","Microsoft Entra device identity overview","Operational IAM","Official Product Documentation","Microsoft","2025-06","Current documentation","https://learn.microsoft.com/en-us/entra/identity/devices/overview","","Public official documentation","device identity","physical or virtual device","Device; DeviceIdentity; DeviceObject; Registration; Join; ConditionalAccess","device registeredOrJoined with Entra; deviceIdentity informs access decision","register; join; hybrid join; disable/delete","device trust/state","Machine/Workload/Device Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct","Device identity is a directory object representing a device and is explicitly used in access/configuration decisions; it is not merely an authenticator.","Microsoft Learn official documentation.","","reviewed"
"CM4DI-EVID0085","AWS IoT thing-principal association","Operational IAM/IoT","Official Product Documentation","Amazon Web Services","2026 review","Current documentation","https://docs.aws.amazon.com/iot/latest/developerguide/attach-thing-principal.html","","Public official documentation","device identity","physical device; IoT thing","Thing; Device; Principal; X509Certificate; CognitoIdentity","device representedBy thing; certificate/CognitoID attachedAs principal to thing","attach/detach principal; certificate lifecycle","certificate-based device authentication","Device Profile","Medium","High","High","false","Authority=official; Recency=current; Directness=direct","Demonstrates that a physical device, its registry representation, and the credential/principal used to communicate are separate constructs.","AWS IoT official documentation.","","reviewed"
"CM4DI-EVID0086","Microsoft Entra Agent ID — agent identities","Operational IAM","Official Product Documentation","Microsoft","2026-06-15","Current documentation","https://learn.microsoft.com/en-us/entra/agent-id/what-are-agent-identities","","Public official documentation","AI-agent identity","AI agent; human sponsor/user","Agent; AgentIdentity; AgentUserAccount; Sponsor; AutonomousAccess; DelegatedAccess","agentIdentity identifies agent; sponsor associatedWith agent; agent actsOnBehalfOf user under delegated access","dynamic create; retire; ephemeral lifecycle","agent-specific access policy; audit","Machine/Workload/Device/Agent Profile","High","High","High","false","Authority=official; Recency=very-current; Directness=direct","Explicitly distinguishes AI-agent identity from application identity and human identity, supports autonomous and delegated access, and emphasizes highly dynamic lifecycle.","Microsoft Entra Agent ID official documentation.","","reviewed"
"CM4DI-EVID0087","Microsoft Entra Agent ID documentation hub","Operational IAM","Official Product Documentation","Microsoft","2026 review","Current documentation","https://learn.microsoft.com/en-us/entra/agent-id/","","Public official documentation","AI-agent governance","AI agent","AgentIdentity; AgentBlueprint; Owner; Sponsor; AgentLifecycle","blueprint governs creation of agent identities; sponsor/owner governs agent","create; govern; retire","governance; conditional access","Agent Profile","Medium","High","High","false","Authority=official; Recency=very-current; Directness=direct","Adds agent-specific governance and lifecycle constructs that should remain profile-level unless cross-platform recurrence supports abstraction.","Microsoft Learn official Agent ID documentation.","","reviewed"
"CM4DI-EVID0088","Amazon Bedrock AgentCore Identity overview","Operational IAM","Official Product Documentation","Amazon Web Services","2026 review","Current documentation","https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/identity-overview.html","","Public official documentation","AI-agent identity","AI agent; automated workload","AgentIdentity; WorkloadIdentity; CredentialProvider; TokenVault; Tool; UserDelegation","agent uses workload identity; identity accesses credentials/tools; agent may access third-party services","identity creation/use; credential retrieval","per-request verification; audit","Agent Profile","High","High","High","false","Authority=official; Recency=very-current; Directness=direct","Agent identity is treated as specialized workload identity with centralized credential and access management.","AWS AgentCore official documentation.","","reviewed"
"CM4DI-EVID0089","Amazon Bedrock AgentCore workload identities","Operational IAM","Official Product Documentation","Amazon Web Services","2026 review","Current documentation","https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/understanding-agent-identities.html","","Public official documentation","AI-agent/workload identity","AI agent","WorkloadIdentity; Agent; WorkloadAccessToken; CredentialProvider; Deployment","workloadIdentity represents digital identity of agent; agent obtains token to access credential provider","automatic/manual creation; deployment association","stable identity across deployment/credential schemes","Agent Profile","High","High","High","false","Authority=official; Recency=very-current; Directness=direct","Shows an agent can have a stable identity anchor independent of deployment environment and credential type; multiple identities may exist for one agent in different environments.","AWS AgentCore official documentation.","","reviewed"
"CM4DI-EVID0090","GitHub Actions OIDC to cloud workload federation","Operational Platform","Official Product Documentation","GitHub","2026 review","Current documentation","https://docs.github.com/en/actions/how-tos/secure-your-work/security-harden-deployments/oidc-in-google-cloud-platform","","Public official documentation","CI/CD workload federation","workflow/job","WorkflowIdentity; OIDCToken; WorkloadIdentityProvider; CloudPrincipal","workflow obtains OIDC token; cloud exchanges token for federated access","job-scoped token issue/expiry","federation trust; short-lived credentials","Machine/Workload Profile","Medium","High","High","false","Authority=official; Recency=current; Directness=direct","Validates ephemeral pipeline/workflow identity as a workload identity that should not require a durable secret or human account.","GitHub official documentation.","","reviewed"
