bounded_context_id,label,owned_domains,definition,model_ownership,upstream_dependencies,downstream_consumers,integration_style,status
CM4DI-BC0001,Identity Semantics Context,"CM4DI-D0001;CM4DI-D0002","Owns the canonical language for identity subjects, representations, identifiers, contexts, attributes and claims.","IdentitySubject; Party; DigitalIdentity; Identifier; IdentityContext; IdentityAttribute; Claim",,"All other CM4DI bounded contexts","Published Language plus Shared Kernel for canonical identity semantics",current
CM4DI-BC0002,Identity Assurance Context,"CM4DI-D0003;CM4DI-D0004","Owns evidential roles, proof use, identity binding, assurance assessment, proofing and enrollment semantics.","Evidence; Proof; IdentityBinding; AssuranceAssessment; IdentityProofing; Enrollment; generic Verifier","CM4DI-BC0001","Credential Lifecycle; Authentication; Federation; Credential Exchange; Workload Identity; Device Identity; Trust Governance; Government Identity","Customer Supplier internally; external evidence schemes via Anticorruption Layer",current
CM4DI-BC0003,Credential Lifecycle Context,CM4DI-D0005,"Owns protocol-neutral credential issuance, status and lifecycle semantics.","Credential; CredentialStatus; CredentialLifecycleEvent; CredentialIssuance; Issuer","CM4DI-BC0001;CM4DI-BC0002","Credential Exchange; Workload Identity; Government Identity","Published Language for credential lifecycle; standards mapped through Anticorruption Layer",current
CM4DI-BC0004,Authentication Context,CM4DI-D0006,"Owns authentication events, authenticators, results and session semantics.","Authentication; Authenticator; AuthenticationResult; Session","CM4DI-BC0001;CM4DI-BC0002;CM4DI-BC0003","Federation; Workload Identity; Device Identity; Government Identity","Customer Supplier; protocol adapters remain mappings",current
CM4DI-BC0005,Authorization Context,CM4DI-D0007,"Owns access requests, principals, resources, actions, permissions, grants, delegation, policies and authorization decisions.","Authorization; AuthorizationRequest; AuthorizationContext; AuthorizationResult; Principal; Resource; Action; Permission; AccessGrant; Delegation; PermissionBundle; AccessPolicy; AccessCondition; AccessGroup; GroupMembership","CM4DI-BC0001","Identity Administration; Workload Identity; Device Identity; Agent Identity","Published Language for access semantics; vendor IAM models through Anticorruption Layer",current
CM4DI-BC0006,Identity Administration Context,CM4DI-D0008,"Owns platform-local accounts, profiles, identity sources, stores, administrative domains, applications, provisioning and attribute mappings.","Account; UserProfile; IdentitySource; AuthoritativeIdentitySource; IdentityStore; AdministrativeDomain; Application; ApplicationRegistration; Provisioning; ProvisioningConnection; AttributeMapping","CM4DI-BC0001;CM4DI-BC0005","Federation; Workload Identity; Device Identity","Customer Supplier; external directories and vendor schemas through Anticorruption Layer",current
CM4DI-BC0007,Federation Context,CM4DI-D0009,"Owns cross-domain federation relationships, configured federation connections, brokers and relying-party interaction semantics.","Federation; FederationConnection; IdentityBroker; RelyingParty","CM4DI-BC0001;CM4DI-BC0004;CM4DI-BC0006;CM4DI-BC0012","Credential Exchange; Government Identity; enterprise integration views","Customer Supplier with Identity Administration and Authentication; standards through Anticorruption Layer",current
CM4DI-BC0008,Credential Exchange Context,CM4DI-D0010,"Owns holder, wallet, request, presentation, controller, verification-method and selective-disclosure semantics.","Holder; CredentialPresentationVerifier; Wallet; HolderService; CredentialPresentation; PresentationRequest; Controller; VerificationMethod; VerifiableDataRegistry; SelectiveDisclosure; VerifiablePresentation","CM4DI-BC0001;CM4DI-BC0002;CM4DI-BC0003;CM4DI-BC0012","Government Identity; verifiable-credential integration views","Customer Supplier with Credential Lifecycle and Trust Governance; VC/DID protocols through Anticorruption Layer",current
CM4DI-BC0009,Workload Identity Context,CM4DI-D0011,"Owns runtime workload identity, service-account/principal patterns, attestation, trust domains, SVIDs and token exchange.","Workload; RuntimeInstance; ServiceAccount; ServicePrincipal; ManagedIdentity; NodeAttestation; WorkloadAttestation; TrustDomain; TrustBundle; SVID; TemporaryCredential; TokenExchange","CM4DI-BC0001;CM4DI-BC0002;CM4DI-BC0003;CM4DI-BC0004;CM4DI-BC0005;CM4DI-BC0006;CM4DI-BC0012",,"Conformist to canonical Core language; SPIFFE/cloud/Kubernetes models through Anticorruption Layer",current
CM4DI-BC0010,Device Identity Context,CM4DI-D0012,"Owns device identity-bearing semantics and managed device identity records while reusing authentication and authorization roles.","Device; DeviceIdentityRecord","CM4DI-BC0001;CM4DI-BC0002;CM4DI-BC0004;CM4DI-BC0005;CM4DI-BC0006",,"Conformist to canonical Core language; device-platform models through Anticorruption Layer",current
CM4DI-BC0011,Agent Identity Context,CM4DI-D0013,"Owns software-agent and AI-agent identity, managed agent identity and sponsor/accountability semantics.","SoftwareAgent; AIAgent; AgentIdentity; AgentSponsor","CM4DI-BC0001;CM4DI-BC0005;CM4DI-BC0012",,"Conformist to canonical Core language; emerging agent frameworks through Anticorruption Layer",current
CM4DI-BC0012,Trust Governance Context,CM4DI-D0014,"Owns trust assessment/reference, governance frameworks, registries, anchors, institutional roles, certification, accreditation and ecosystem participation.","TrustAssessment; TrustReference; TrustFramework; GovernanceFramework; TrustRegistry; TrustedList; TrustAnchor; TrustChain; GovernanceAuthority; Registrar; Regulator; ConformityAssessmentBody; Certification; Accreditation; EcosystemParticipation; ParticipantStatus","CM4DI-BC0001;CM4DI-BC0002","Federation; Credential Exchange; Workload Identity; Agent Identity; Government Identity","Published Language for governance/trust semantics; jurisdictional frameworks through Anticorruption Layer",current
