cq_id,question,purpose,status,introduced_version,required_concepts,required_relations,expected_capability,scope,evaluation_target
CM4DI-CQ0001,"What real or technical entity is a given DigitalIdentity about, and in what IdentityContext is that representation interpreted?","Separate subject from representation and context",candidate,journal-v2-gate-c,"IdentitySubject;DigitalIdentity;IdentityContext","represents;interpretedIn","Return subject and context for any digital representation",Core,SPARQL+scenario
CM4DI-CQ0002,"Can the same underlying entity play IdentitySubject in multiple identity contexts without becoming multiple real-world entities?","Support contextual multiplicity",candidate,journal-v2-gate-c,"IdentitySubject;DigitalIdentity;IdentityContext","playsRole;represents;interpretedIn","Distinguish entity identity from contextual representations",Core,scenario
CM4DI-CQ0003,"Can a non-human entity such as a device, workload or software agent be represented as an IdentitySubject without classifying it as a Person?","Human/non-human compatibility",candidate,journal-v2-gate-c,"IdentitySubject","playedBy","Demonstrate heterogeneous role players",Core+TechnicalIdentity,scenario
CM4DI-CQ0004,"Which Identifier identifies or references a subject or DigitalIdentity, under which scheme and scope?","Identifier semantics",candidate,journal-v2-gate-c,"Identifier;IdentitySubject;DigitalIdentity;IdentityContext","hasIdentifier;identifiesSubject;scopedBy","Resolve identifier target and scope",Core,SPARQL
CM4DI-CQ0005,"What Claim is made about which IdentitySubject, by whom, and what IdentityAttribute or proposition does it assert?","Normalize Claim semantics",candidate,journal-v2-gate-c,"Claim;IdentitySubject;IdentityAttribute;Party","about;asserts;assertedBy","Trace assertion meaning and source",Core,SPARQL
CM4DI-CQ0006,"What Evidence supports a Claim, IdentityProofing activity, IdentityBinding or AssuranceAssessment, and what is its provenance?","Evidence traceability",candidate,journal-v2-gate-c,"Evidence;Claim;IdentityProofing;IdentityBinding;AssuranceAssessment","supportsClaim;usesEvidence;groundedBy;derivedFrom;providedBy","Trace evidence use and provenance",Core,SPARQL
CM4DI-CQ0007,"When is an Evidence item being used as Proof, and what proposition or binding does that proof support?","Evidence/Proof anti-conflation",candidate,journal-v2-gate-c,"Evidence;Proof","playsProofRoleIn;supportsClaim;groundedBy","Represent proof as contextual use rather than universal artifact type",Core,scenario
CM4DI-CQ0008,"Which Credential was issued by which issuer for which subject, what Claims does it support, and what is its current status?","Credential semantics",candidate,journal-v2-gate-c,"Credential;IdentitySubject;Claim;CredentialStatus","credentialIssuedBy;credentialAbout;carriesClaim;hasCredentialStatus","Trace credential provenance/content/status",Core,SPARQL
CM4DI-CQ0009,"Which lifecycle event changed the state/status of a Credential and when?","Credential lifecycle",candidate,journal-v2-gate-c,"Credential;CredentialLifecycleEvent;CredentialStatus","affectsCredential;hasCredentialStatus","Reconstruct credential lifecycle; transition time/status relation formalized in Wave 7",Core,SPARQL
CM4DI-CQ0010,"What evidence and checks were used during IdentityProofing, and what confidence/assurance assessment resulted?","Separate proofing from authentication",candidate,journal-v2-gate-c,"IdentityProofing;Evidence;AssuranceAssessment","usesEvidence;producesAssuranceAssessment","Explain proofing outcome",Core,SPARQL
CM4DI-CQ0011,"What managed relationship or representation was established by Enrollment, and which subject did it bind?","Enrollment semantics",candidate,journal-v2-gate-c,"Enrollment;IdentityBinding;IdentitySubject;DigitalIdentity","enrollsSubject;createsBinding;createsDigitalIdentity","Distinguish enrollment from provisioning",Core,scenario
CM4DI-CQ0012,"What IdentityBinding links a subject to a DigitalIdentity, Credential or Authenticator, and what Evidence grounds that binding?","Binding semantics",candidate,journal-v2-gate-c,"IdentityBinding;IdentitySubject;DigitalIdentity;Credential;Authenticator;Evidence","mediatesSubject;bindsDigitalIdentity;bindsCredential;bindsAuthenticator;groundedBy","Trace identity binding and evidence",Core,SPARQL
CM4DI-CQ0013,"Who or what performed an Authentication, which Authenticator was used, in what context, and what result was produced?","Authentication event trace",candidate,journal-v2-gate-c,"Authentication;Authenticator;AuthenticationResult;IdentityContext;Party","performedBy;usesAuthenticator;authenticationInContext;producesAuthenticationResult","Reconstruct authentication event",Core,SPARQL+dataset
CM4DI-CQ0014,"Can an Authenticator be a device, secret, key or other entity without making those entities all the same ontological kind?","Authenticator role pattern",candidate,journal-v2-gate-c,"Authenticator","playedBy","Validate roleMixin design; role realization is foundational rather than a CM4DI domain relation",Core,scenario
CM4DI-CQ0015,"What assurance dimension and level/value applies to a proofing, authentication, federation or attribute assessment?","Avoid overloaded assurance level",candidate,journal-v2-gate-c,"AssuranceAssessment","assessmentTarget;hasAssuranceAssessment","Return dimension-specific assurance; dimension/value properties formalized in Wave 7",Core+TrustGovernance,SPARQL
CM4DI-CQ0016,"Which Principal requests or receives authorization to perform what Action on what Resource?","Minimal authorization kernel",candidate,journal-v2-gate-c,"Principal;Action;Resource;AuthorizationRequest","requestPrincipal;requestAction;requestResource","Resolve authorization subject/action/resource",Core,SPARQL
CM4DI-CQ0017,"What AuthorizationContext was considered in an authorization evaluation, and how is it distinct from the subject's IdentityContext?","Context anti-conflation",candidate,journal-v2-gate-c,"AuthorizationContext;IdentityContext;AuthorizationRequest;DigitalIdentity","requestContext;interpretedIn","Represent two context types independently",Core,scenario
CM4DI-CQ0018,"What explicit decision did an Authorization produce for a given request?","Authorization result semantics",candidate,journal-v2-gate-c,"Authorization;AuthorizationRequest;AuthorizationResult","evaluatesRequest;producesAuthorizationResult","Return permit/deny/indeterminate decision record",Core,SPARQL
CM4DI-CQ0019,"What Permission authorizes which Action on what Resource or resource scope?","Permission semantics",candidate,journal-v2-gate-c,"Permission;Action;Resource","permitsAction;permissionAppliesTo","Resolve normative permission unit",Core,SPARQL
CM4DI-CQ0020,"What AccessGrant assigns which Permission to which Principal, with what scope and validity?","Durable grant vs runtime decision",candidate,journal-v2-gate-c,"AccessGrant;Permission;Principal;Resource","grantPrincipal;grantPermission;grantScope","Trace access assignment independently from authorization event",Core,SPARQL
CM4DI-CQ0021,"When one actor acts on behalf of another, what Delegation authorizes that relationship and within what scope?","Delegation semantics",candidate,journal-v2-gate-c,"Delegation;Principal;Permission","delegator;delegatee;delegatedPermission","Distinguish actor from authorizing principal; scope formalized where required",Core+AgentIdentity,SPARQL
CM4DI-CQ0022,"What TrustAssessment or external Trust relation concerns which parties/claims/credentials, and what evidence/reference supports it?","Trust hook semantics",candidate,journal-v2-gate-c,"TrustAssessment;TrustReference;Party;Evidence","trustTarget;trustSupportedBy;trustAlignsTo","Trace trust assessment without conflating governance",Core+TrustGovernance,scenario
CM4DI-CQ0023,"Can a TrustFramework, TrustRegistry and TrustAnchor be represented in the Trust Governance Context without being subclasses or synonyms of TrustAssessment?","Trust Governance boundary",candidate,journal-v2-gate-c,"TrustAssessment;TrustFramework;TrustRegistry;TrustAnchor","governs;governedBy;terminatesAt;trustAlignsTo","Validate separation of evaluative, institutional and cryptographic trust constructs",TrustGovernance,scenario
CM4DI-CQ0024,"How is an Account related to its IdentitySubject and DigitalIdentity, and how can multiple external accounts be linked without asserting account or subject equality by default?","Enterprise representation and account-linking boundary",candidate,journal-v2-gate-c,"Account;IdentitySubject;DigitalIdentity","representsAccount;linkedAccount;represents","Validate account/representation semantics and evidence-governed co-reference",IdentityAdministration,scenario
CM4DI-CQ0025,"Which Session was established after an Authentication, and can that Session expire or be revoked without changing the AuthenticationResult?","Session separation",candidate,journal-v2-gate-c,"Authentication;AuthenticationResult;Session","producesAuthenticationResult;establishesSession","Validate authentication-result/session distinction",Authentication,scenario
CM4DI-CQ0026,"Who plays Issuer, Holder and CredentialPresentationVerifier roles in a credential exchange, and can the Holder differ from the Credential subject?","Credential exchange interaction roles",candidate,journal-v2-gate-c,"Issuer;Holder;CredentialPresentationVerifier;Credential;IdentitySubject","issues;holds;evaluatesPresentation;credentialAbout","Validate contextual interaction roles across Credential Management and Credential Exchange",CredentialExchange,scenario
CM4DI-CQ0027,"Can a Workload be the IdentitySubject while its ServiceAccount or ServicePrincipal is a representation or Principal rather than the workload itself?","Workload anti-conflation",candidate,journal-v2-gate-c,"Workload;IdentitySubject;ServiceAccount;ServicePrincipal;Principal","usesServiceAccount;playsServicePrincipal","Validate Workload Identity boundary while reusing Core role semantics",WorkloadIdentity,scenario
CM4DI-CQ0028,"Can a Device be an IdentitySubject and separately play Authenticator, while its device record and device credential remain distinct artifacts?","Device anti-conflation",candidate,journal-v2-gate-c,"Device;IdentitySubject;Authenticator;DeviceIdentityRecord;Credential","representedByDeviceRecord;playedBy","Validate Device Identity and Authentication role separation",DeviceIdentity,scenario
CM4DI-CQ0029,"Can an AI Agent use autonomous AccessGrant semantics or delegated rights while remaining a non-human actor with an accountable AgentSponsor?","Agent identity/delegation",candidate,journal-v2-gate-c,"AIAgent;AgentIdentity;AgentSponsor;Principal;AccessGrant;Delegation","agentRepresentedBy;sponsoredBy;usesAutonomousGrant;usesDelegation","Validate Agent Identity through Core authorization patterns",AgentIdentity,scenario
CM4DI-CQ0030,"Can LegalIdentity, PersonIdentificationData and institutional Certification be represented across Government Identity and Trust Governance without redefining DigitalIdentity or IdentitySubject?","Government and governance scope protection",candidate,journal-v2-gate-c,"LegalIdentity;PersonIdentificationData;DigitalIdentity;IdentitySubject;Certification","legalBasisFor;expressedBy;represents;certifies","Validate Government Identity and Trust Governance separation",GovernmentIdentity+TrustGovernance,scenario
