evidence_id,title,authors,year,venue,doi_or_identifier,evidence_role,scope,paradigm,main_concepts,ontology_relevance,competitor_relevance,disposition,notes
CM4DI-EVID0106,"The Pervasiveness of Digital Identity: Surveying Themes, Trends, and Ontological Foundations","Comb; Martin",2026,"Information","10.3390/info17010085","Broad systematic survey + ontology-oriented synthesis","Cross-disciplinary digital identity","cross-paradigm","actors; credentials; proofs; policies; risks; contexts; governance; interoperability","Very high","Very high","Gate-B comparative evidence","Large Scopus corpus; provides ontological fragments but no formal OWL/RDF ontology."
CM4DI-EVID0107,"MFSSIA: Ontology of blockchain-based multi-factor challenge set self-sovereign identity authentication","Kormiltsyn; Iqbal; Dwivedi; Norta; Matulevicius",2026,"Telematics and Informatics Reports","10.1016/j.teler.2026.100322","Direct ontology competitor","SSI challenge/response authentication in M2X","SSI/blockchain","challenge set; challenge; response; validation; authentication; marketplace; trust","Very high","Highest direct competitor","Mandatory competitor benchmark","UFO-grounded ontology; narrow authentication/SSI scope; no empirical dataset."
CM4DI-EVID0108,"Self-sovereign identity: A conceptual framework and research agenda","Richter; Anke",2026,"Electronic Markets","10.1007/s12525-025-00867-8","Conceptual framework","SSI socio-technical conceptualization","SSI/wallet","principles; credential exchange; building blocks; applications; governance; issuer; holder; verifier","High","High","Profile and governance evidence","Strong warning against conflating SSI principles with technical artifacts."
CM4DI-EVID0109,"Self-sovereign identity and digital wallets","Babel et al.",2025,"Electronic Markets","10.1007/s12525-025-00772-0","Conceptual/value framework","Wallet-based SSI ecosystems","SSI/wallet","holder; wallet; credential; issuer; verifier; identity ecosystem; data control","High","Medium","Wallet-profile evidence","Useful for ecosystem/value distinctions; not a formal ontology."
CM4DI-EVID0110,"A Systematic Review of Identity and Access Management Requirements in Enterprises and Potential Contributions of Self-Sovereign Identity","Gloeckler; Sedlmeir; Frank; Fridgen",2024,"Business & Information Systems Engineering","10.1007/s12599-023-00830-x","Systematic review + DSR + expert evaluation","Enterprise IAM requirements and SSI contribution","enterprise IAM + SSI","authentication; IAM requirements; compliance; operability; technology; user; least privilege","High","High","Enterprise-profile evidence","Includes prototype and expert assessment; reinforces that SSI is not a universal IAM replacement."
CM4DI-EVID0111,"Toward Interoperable Self-Sovereign Identities","Yildiz; Kuepper; Thatmann; Goendoer; Herbke",2023,"IEEE Access","10.1109/ACCESS.2023.3313723","Reference model / interoperability tutorial","SSI interoperability","SSI","trust layers; identifiers; credentials; communication; governance; interoperability","High","High","Interoperability/Profile evidence","Layered reference model useful for separation of technical trust, governance and exchange components."
CM4DI-EVID0112,"Identity management standards: A literature review","Kiourtis et al.",2023,"Computers and Informatics","article 1253111 / journal record","Standards-focused literature review","Electronic identification and IDM standards","federation/IAM","SAML; OAuth; OpenID; FIDO; federation; eID","Medium","Medium","Background triangulation","Secondary scholarly support for standards fragmentation/interoperability problem."
CM4DI-EVID0113,"Self-Sovereign Identity: A Systematic Review, Mapping and Taxonomy","Schardong; Custodio",2022,"Sensors","10.3390/s22155641","Systematic review + taxonomy","SSI concepts and practical solutions","SSI","functional concepts; non-functional concepts; privacy; identity management; authorization","High","High","SSI taxonomy evidence","Broad review of >80 scientific/non-scientific works; taxonomy is not a foundational ontology."
CM4DI-EVID0114,"An Ontology-Based Identity and Access Management Metamodel for Secure Adaptive Enterprise Architecture","Nahar",2021,"University of Technology Sydney thesis","hdl:10453/153295","Ontology-based IAM metamodel","Enterprise architecture IAM","enterprise IAM","identity management; access management; metamodel; patterns; security architecture","High","High","Competitor/background evidence","Ontology/metamodel oriented but enterprise-EA specific; thesis rather than peer-reviewed journal ontology."
CM4DI-EVID0115,"Building a Credential Exchange Infrastructure for Digital Identity: A Sociohistorical Perspective and Policy Guidelines","authors in Frontiers article",2021,"Frontiers in Blockchain","10.3389/fbloc.2021.629790","Socio-technical architecture analysis","Credential exchange and ToIP","SSI/digital trust","credential holder; issuer; verifier; cryptographic trust; technology lane; governance lane","High","Medium","Trust/governance evidence","Useful for distinction between technical trust infrastructure and governance."
CM4DI-EVID0116,"A Decentralized Digital Identity Architecture","Goodell; Aste",2019,"Frontiers in Blockchain","10.3389/fbloc.2019.00017","Architecture method article","Decentralized digital identity","decentralized identity","multiple identities; privacy; unlinkability; authentication; authorization; early binding","High","Medium","Architecture/background evidence","Strong privacy/context multiplicity perspective; not cross-paradigm reference ontology."
CM4DI-EVID0117,"In Search of Self-Sovereign Identity Leveraging Blockchain Technology","Ferdous; Chowdhury; Alassafi",2019,"IEEE Access","10.1109/ACCESS.2019.2931173","Formal mathematical SSI model","SSI properties and lifecycle","SSI/blockchain","identity; profile; assertion; claim; lifecycle; control; portability; consent","High","High","Formal-model competitor evidence","Formal treatment but not UFO/OntoUML/OWL ontology and remains SSI-centric."
CM4DI-EVID0118,"A Survey on Essential Components of a Self-Sovereign Identity","Muehle; Gruener; Gayvoronskaya; Meinel",2018,"Computer Science Review","10.1016/j.cosrev.2018.10.002","Foundational SSI survey","Essential SSI architecture","SSI/blockchain","identifier registry; claim registry; authentication; verifiable claims; storage","Medium","Medium","Historical SSI evidence","Influential early architecture; blockchain assumptions are now too narrow for CM4DI Core."
CM4DI-EVID0119,"Introduction to Trust Over IP V2.0","Huitema et al.",2021,"Trust Over IP Foundation","ToIP V2.0 2021-11-17","Industry conceptual architecture referenced in scholarship","Digital trust stack","decentralized trust","technology layers; governance layers; trust support; trust spanning; trust tasks; applications","High","Medium","Trust-profile background","Non-peer-reviewed but influential conceptual framework; already triangulated by scholarly literature."
CM4DI-EVID0120,"Identity & the Web","W3C TAG/impact report",2026,"W3C","W3C identity-web-impact","Current Web identity landscape synthesis","Web identity","cross-paradigm / decentralized","trust frameworks; agents; credentials; identifiers; data registries; governance","High","Medium","Triangulation/background","Not academic peer review; retained only because scholarly frameworks reference the same layered distinctions and it is current authoritative synthesis."
