candidate_id,candidate_label,scholarly_convergence,current_cm4di_status,recommendation,reason,gate_b_question
CAND-ACAD-001,Identity Representation / Account,High,Missing,Core-or-profile candidate,"IAM and SSI literature repeatedly distinguishes the represented subject from profiles/accounts/identity artifacts.","What is the UFO category and relation to DigitalIdentity?"
CAND-ACAD-002,Contextual Identity,High,Partial via IdentityContext,Core review,"Literature supports multiple/context-dependent digital identities and context-sensitive disclosure.","Does IdentityContext need stronger identity-context binding semantics?"
CAND-ACAD-003,Issuer Role,High,Missing or implicit,Wallet profile with possible generic role pattern,"Credential exchange literature treats issuer as a role tied to a credential/issuance event.","Should issuer be a contextual role played by Party rather than a rigid actor class?"
CAND-ACAD-004,Holder Role,High,Missing,Wallet profile,"Holder is distinct from credential subject and can vary by credential/scenario.","How should Holder differ from IdentitySubject and possessor/controller?"
CAND-ACAD-005,Verifier Role,High,Existing but semantically overloaded,Review existing concept,"Literature and standards use verifier differently across authentication and credential presentation.","Split credential verifier from authentication verifier or model a higher-level verifying role?"
CAND-ACAD-006,Credential Exchange,High,Missing,Profile/process candidate,"SSI literature consistently separates issuance and presentation interactions.","Should a neutral CredentialExchange process exist or only Issuance/Presentation events?"
CAND-ACAD-007,Issuance,High,Missing,Core lifecycle/process candidate,"Credential issuance is independently recurrent across literature and standards.","Core event or wallet-profile specialization?"
CAND-ACAD-008,Presentation,High,Missing,Wallet/profile candidate,"Holder-to-verifier presentation is central to wallet/VC literature.","Model generic EvidencePresentation or credential-specific Presentation?"
CAND-ACAD-009,Credential Status,High,Missing,Core-or-profile candidate,"Validity, expiry and revocation are recurrent decision factors.","Separate status object/state from lifecycle events?"
CAND-ACAD-010,Revocation,High,Missing,Core lifecycle candidate,"Credential/identity revocation repeatedly appears but lifecycle targets differ.","Which entity types can be revoked in Core?"
CAND-ACAD-011,Trust Relationship / Assessment,High,Existing ONTrust link,Core review,"Credential exchange literature separates verifier trust in issuer from technical verification.","How should ONTrust:Trust relate to acceptance decisions and evidence?"
CAND-ACAD-012,Governance Framework,High,Partial TrustReference,Trust/Government profile,"Recent SSI literature elevates governance to first-order status.","Should generic GovernanceFramework be modeled separately from TrustFramework?"
CAND-ACAD-013,Technical Trust Infrastructure,High,Missing,Profile/mapping,"ToIP and SSI reference models separate cryptographic trust infrastructure from governance.","Do CQs require a generic TrustInfrastructure concept or only mappings?"
CAND-ACAD-014,Verifiable Data Registry,Medium-High,Missing,Wallet profile,"Recent SSI work treats registries as sources for status/schema/trusted issuer information without requiring blockchain.","Profile concept or mapping-only abstraction?"
CAND-ACAD-015,Identity Lifecycle,High,Partial,Core review,"Formal SSI work and IAM research distinguish lifecycle stages.","What lifecycle events belong to identity/account versus credentials?"
CAND-ACAD-016,Credential Lifecycle,High,Missing,Core-or-profile review,"Issuance, validity, suspension/revocation and presentation are distinct from identity lifecycle.","How much lifecycle semantics belongs in Core?"
CAND-ACAD-017,Profile,Medium-High,OWL helper exists / conceptually unclear,Core/profile review,"Formal SSI and IAM literature uses profile as a releasable or stored identity representation.","Is Profile an information object distinct from DigitalIdentity?"
CAND-ACAD-018,Assertion,Medium,Missing/ambiguous,Review / likely profile,"Federation/SSI literature uses assertion with inconsistent meanings.","Should Assertion be a generic information artifact or remain profile-specific?"
CAND-ACAD-019,Interoperability Relation/Requirement,High,Not ontology class,Evaluation/requirement artifact,"Literature frames interoperability as multi-layer and semantic, not a single entity.","Represent in ontology, CQ/requirement registry, or mappings only?"
CAND-ACAD-020,Identity Ecosystem,High,Missing,Research/profile context,"Wallet and broad digital-identity literature treats ecosystems and governance as first-order analysis units.","Is ecosystem needed as ontology context or only research/evaluation metadata?"
CAND-ACAD-021,Delegated/Assisted Identity Use,Medium,Missing,Deferred/Core candidate pending synthesis,"Broad identity research highlights delegation/assistance and actor-subject separation.","Does Gate B evidence justify generic actsOnBehalfOf in Core?"
CAND-ACAD-022,Privacy/Control Principle,High,Out of Core scope,Requirement/governance mapping,"SSI literature treats autonomy/control as normative principles rather than technical identity objects.","Keep as requirement/governance profile rather than class?"
CAND-ACAD-023,Identity Proof / Evidence,High,Partial,Core review,"Literature differentiates claims, credentials, proofs and evidence despite terminological variation.","What is the minimal neutral Evidence/Proof pattern?"
CAND-ACAD-024,Role-in-Interaction,High,Partial via actor subclasses,Core modeling pattern,"Issuer/holder/verifier and IAM roles are context-dependent, not necessarily rigid actor kinds.","Should role modeling be systematically revised using UFO anti-rigidity?"
CAND-ACAD-025,Paradigm / Identity-Management Approach,High,Missing,Research/mapping metadata,"Literature distinguishes fragmented, federated, SSI/decentralized and wallet paradigms.","Keep outside domain ontology as profile/mapping metadata?"
