extract_id,aws_construct,kind,source_semantics,important_relations_or_lifecycle,cm4di_disposition,cm4di_target,ddd_domain,semantic_risk,status
AWS-X-001,IAM Principal,authorization-role/reference,"Entity or session that can be named/recognized as principal in policy evaluation","principal appears in policy; may be user role role-session service federated user/account",mapping,CM4DI-C0025 Principal,Authorization,"AWS Principal syntax spans entities and sessions; not a rigid entity kind",accepted
AWS-X-002,IAM User,managed-security-identity,"AWS-account-local identity with long-term credentials and permissions","has credentials/policies/groups; can assume role",mapping-composite,"CM4DI-C1001 Account; C0025 Principal",Identity Administration,"Not IdentitySubject/person",accepted
AWS-X-003,IAM Role,assumable-authorization-identity,"IAM identity intended to be assumed by trusted principals; has permissions and trust policy","trusted principal assumes role; creates role session; session gets temporary credentials",mapping-composite,"C1016 PermissionBundle; C0030 Delegation; C0029 AccessGrant; C1015 Session",Authorization,"Not UFO Role and not simply PermissionBundle; assumption semantics are relational/temporal",accepted
AWS-X-004,RoleTrustPolicy,assumption-policy,"Policy specifying who may assume role","names trusted principal; constrains AssumeRole",mapping,CM4DI-C1017 AccessPolicy + C1018 AccessCondition,Authorization,"Not generic TrustAssessment or TrustFramework",accepted
AWS-X-005,IdentityBasedPolicy,policy-artifact,"Policy attached to IAM identity defining allowed/denied actions/resources","attached to user/group/role; contributes to effective permission",mapping,CM4DI-C1017 AccessPolicy,Authorization,"Policy statements are not identical to Permission instances",accepted
AWS-X-006,ResourceBasedPolicy,policy-artifact,"Policy attached to resource that names principals and permissions","resource grants/denies principal actions",mapping,CM4DI-C1017 AccessPolicy,Authorization,"Authorization ownership differs from identity-based policy",accepted
AWS-X-007,SessionPolicy,policy-constraint,"Policy passed when creating role/federated session that restricts resulting permissions","intersects with role/user policies; cannot grant beyond base role permission",candidate-constraint,AccessCondition/AccessPolicy + Session,Authorization,"Constraint semantics may require SHACL/rule/evaluation layer rather than ontology class",investigate
AWS-X-008,PermissionsBoundary,maximum-permission-constraint,"Managed policy setting maximum permissions for user/role","effective permissions are intersection with identity policy and other constraints",candidate-constraint,AccessPolicy/AccessCondition,Authorization,"Boundary is not an AccessGrant; it constrains grants/policies",investigate
AWS-X-009,RoleSession,temporal-principal,"Principal created when role is assumed and session credentials are used","derived from role assumption; has session name; temporary credentials; constrained permissions",mapping-composite,"CM4DI-C1015 Session; C0025 Principal",Authorization,"Role session principal is not same individual as IAM Role entity/configuration",accepted
AWS-X-010,TemporarySecurityCredentials,credential-artifact,"Short-lived credentials returned by STS role/federation operations","issued to session; expire; can be scope-limited",mapping,CM4DI-C3013 TemporaryCredential,Workload Identity,"May be used for human federation too; concept ownership might remain workload profile but mapping is cross-profile",investigate
AWS-X-011,AssumeRole,event/operation,"Operation by which trusted principal assumes role and obtains temporary credentials","requires trust/authorization; creates role session and credentials",candidate-event-pattern,"Delegation/TokenExchange/Session establishment pattern",Authorization,"Not exactly OAuth token exchange; event deserves cross-system normalization",investigate
AWS-X-012,PermissionSet,authorization-template,"IAM Identity Center template containing one or more IAM policies and access settings","assigned to user/group on account; materializes managed IAM role in target account",mapping,CM4DI-C1016 PermissionBundle,Authorization,"Permission set is not actual account assignment and not application permission",accepted
AWS-X-013,AccountAssignment,access-grant,"Assignment of user/group plus permission set to AWS account","creates access entitlement; causes IAM Identity Center-managed role provisioning",mapping,CM4DI-C0029 AccessGrant,Authorization,"Assignment differs from permission set and generated IAM role",accepted
AWS-X-014,IdentitySource,source-role/config,"Configured source where IAM Identity Center users/groups are managed","one source per organization; can be Identity Center directory AD or external IdP",mapping,CM4DI-C1003 IdentitySource,Identity Administration,"External IdP may also play federation role; source vs IdP semantics differ",accepted
