cq_id,governed_relation_ids,relation_resolution,formalization_notes,status
CM4DI-CQ0001,"CM4DI-R0001;CM4DI-R0002",governed,"Direct Core relations.",closed
CM4DI-CQ0002,"CM4DI-R0001;CM4DI-R0002",governed+foundational,"Role realization/playedBy is a foundational typing relation and must not be invented as a domain material relation.",closed
CM4DI-CQ0003,,foundational,"IdentitySubject role realization is supplied by domain/profile rigid kinds; no new Core relation required.",closed
CM4DI-CQ0004,"CM4DI-R0003;CM4DI-R0004;CM4DI-R0005",governed,"Identifier target and scope are directly traceable.",closed
CM4DI-CQ0005,"CM4DI-R0006;CM4DI-R0007;CM4DI-R0008",governed,"Direct Claim semantics.",closed
CM4DI-CQ0006,"CM4DI-R0009;CM4DI-R0010;CM4DI-R0011;CM4DI-R0017;CM4DI-R0025",governed+derived,"Evidence supporting AssuranceAssessment may be derived through proofing/trust provenance unless Wave 7 justifies a direct property.",closed
CM4DI-CQ0007,"CM4DI-R0012;CM4DI-R0009;CM4DI-R0017",governed+derived,"Proof use is contextual; no essential Proof artifact relation is introduced.",closed
CM4DI-CQ0008,"CM4DI-R0018;CM4DI-R0019;CM4DI-R0020;CM4DI-R0021",governed,"Direct Credential provenance/content/status trace.",closed
CM4DI-CQ0009,"CM4DI-R0022;CM4DI-R0021",governed+formalization-needed,"Timestamp and explicit status-transition result property belong to Wave 7 OWL/SHACL design if needed for executable CQ.",closed
CM4DI-CQ0010,"CM4DI-R0025;CM4DI-R0026",governed,"Direct proofing evidence/outcome relations.",closed
CM4DI-CQ0011,"CM4DI-R0027;CM4DI-R0028;CM4DI-R0029",governed,"Direct enrollment semantics.",closed
CM4DI-CQ0012,"CM4DI-R0013;CM4DI-R0014;CM4DI-R0015;CM4DI-R0016;CM4DI-R0017",governed,"IdentityBinding mediation and grounding are explicit.",closed
CM4DI-CQ0013,"CM4DI-R0030;CM4DI-R0032;CM4DI-R0033;CM4DI-R0034",governed,"Direct Authentication event trace.",closed
CM4DI-CQ0014,,foundational,"Authenticator is roleMixin; role-player realization is foundational typing, not a new material relation.",closed
