radar_id,type,name,category,discovered_from,why_material,affected_domains_or_contexts,priority,status,provisional_disposition,official_validation_needed
RAD-001,product,WorkOS,B2B identity platform,2026 CIAM landscape,"Enterprise SSO, Directory Sync, Organizations and emerging MCP/agent identity may expose B2B organization-membership and provisioning patterns","Identity Administration;Federation;Authorization;Agent Identity",high,candidate,investigate,true
RAD-002,product,Stytch,developer CIAM,2026 CIAM landscape,"B2B organizations, SSO, SCIM, Connected Apps and agent-related OAuth patterns","Identity Administration;Federation;Authorization;Agent Identity",medium,candidate,investigate,true
RAD-003,product,Descope,identity orchestration/CIAM,2026 CIAM landscape,"Visual identity journeys and agent identity highlight orchestration versus domain semantics","Authentication;Identity Establishment;Federation;Agent Identity",high,candidate,investigate,true
RAD-004,product,Clerk,developer CIAM,2026 B2B CIAM comparison,"Organizations, enterprise connections, SCIM and session model are useful operational evidence","Identity Administration;Federation;Authentication;Authorization",medium,candidate,investigate,true
RAD-005,product,Frontegg,B2B CIAM,2026 CIAM landscape,"Tenant-aware organization/member/admin model and embedded enterprise identity","Identity Administration;Federation;Authorization",medium,candidate,investigate,true
RAD-006,product,FusionAuth,self-hosted CIAM,2026 IAM landscape,"Independent self-hosted alternative to Keycloak with application/tenant/user/role semantics","Identity Administration;Authentication;Federation;Authorization",medium,candidate,benchmark,true
RAD-007,product,OneLogin,workforce IAM,2026 IAM landscape,"Independent workforce IAM reference point for directory, SSO and lifecycle patterns","Identity Administration;Federation;Authentication",medium,candidate,benchmark,true
RAD-008,product,JumpCloud,cloud directory/workforce IAM,2026 IAM landscape,"Directory-centric cloud IAM helps benchmark IdentityStore, device and federation boundaries","Identity Administration;Device Identity;Federation",medium,candidate,benchmark,true
RAD-009,product,WSO2 Identity Server,open-source IAM/CIAM,identity platform landscape,"Open-source IAM/CIAM with standards-heavy architecture and extension model","Identity Administration;Federation;Authentication;Authorization",high,candidate,investigate,true
RAD-010,product,Cisco Duo,workforce access security,2026 IAM landscape,"MFA/passwordless/device trust and directory role provide authentication/device evidence","Authentication;Device Identity;Identity Administration",medium,candidate,benchmark,true
RAD-011,product,SailPoint,identity governance,2026 IAM landscape,"Access certification, lifecycle governance and entitlements reveal IGA semantics not covered by generic IAM","Authorization;Identity Administration;Trust Governance",high,candidate,investigate,true
RAD-012,product,Saviynt,identity governance,2026 IAM landscape,"IGA and entitlement governance provide comparative evidence for access review and governance","Authorization;Identity Administration;Trust Governance",medium,candidate,investigate,true
RAD-013,product,CyberArk,privileged access/identity security,2026 IAM landscape,"Privileged identities, sessions, JIT access and machine/agent security expose PAM-specific semantics","Authorization;Authentication;Workload Identity;Agent Identity",high,candidate,investigate,true
RAD-014,product,BeyondTrust,privileged access,2026 IAM landscape,"PAM sessions, privileged accounts and JIT access are adjacent to AccessGrant and Session","Authorization;Authentication;Identity Administration",medium,candidate,benchmark,true
RAD-015,product,Aembit,workload identity,2026 non-human identity landscape,"Dedicated workload identity platform can challenge Workload Identity relations and attestation/credential lifecycle","Workload Identity;Authentication;Authorization",high,candidate,investigate,true
RAD-016,product,Teleport,infrastructure identity/access,2026 machine identity landscape,"Short-lived identity, infrastructure sessions and workload/human access cross-cut multiple contexts","Workload Identity;Authentication;Authorization",high,candidate,investigate,true
