alignment_id,neighbor_ontology,neighbor_construct,cm4di_construct,cm4di_id_or_scope,mapping_predicate,confidence,decision,status,rationale,anti_conflation,source
ALN-001,gUFO,Role,Principal,"CM4DI-C0025",related-to,medium,align,provisional,"Principal is a contextual authorization role pattern but its exact UFO projection must be decided in #69","vendor IAM Role and gUFO Role are not equivalent",https://github.com/nemo-ufes/gufo
ALN-002,gUFO,RoleMixin,IdentitySubject,"CM4DI-C0002",related-to,high,align,provisional,"Gate-C models IdentitySubject as contextual roleMixin over heterogeneous identity-bearing entities","IdentitySubject is not a rigid common superclass",https://github.com/nemo-ufes/gufo
ALN-003,gUFO,Relator,IdentityBinding,"CM4DI-C0010",related-to,high,align,provisional,"IdentityBinding is modeled as a relator-mediated semantic pattern","database foreign key is not a relator",https://github.com/nemo-ufes/gufo
ALN-004,gUFO,Relator,AccessGrant,"CM4DI-C0029",related-to,high,align,provisional,"AccessGrant is a durable authorization relator distinct from decision/session","role assignment implementation object is not automatically AccessGrant",https://github.com/nemo-ufes/gufo
ALN-005,gUFO,Relator,Delegation,"CM4DI-C0030",related-to,high,align,provisional,"Delegation is modeled as authority-bearing relator pattern","token exchange is implementation/protocol evidence rather than the delegation itself",https://github.com/nemo-ufes/gufo
ALN-006,ONTrust,generic trust relation,TrustAssessment,"CM4DI-C0031",partially-overlaps,high,bridge,provisional,"CM4DI should align identity-specific trust assessment to generic well-founded trust semantics","TrustAssessment != TrustFramework != TrustRegistry != TrustAnchor",https://github.com/unibz-core/trust-ontology
ALN-007,PROV-O,prov:wasDerivedFrom,"Claim/Evidence/Credential provenance","profile/relation scope",bridge-to,high,bridge,provisional,"Use PROV for source/derivation provenance rather than creating generic provenance relations","derivation is not identity binding or semantic equality",https://www.w3.org/TR/prov-o/
ALN-008,PROV-O,prov:wasAttributedTo,"Claim/Evidence provenance","profile/relation scope",bridge-to,high,bridge,provisional,"Attribution can support issuer/source provenance","attribution does not imply truth or trust",https://www.w3.org/TR/prov-o/
ALN-009,W3C ORG,org:Organization,"organization boundary","external neighbor",bridge-to,high,bridge,provisional,"Use ORG for organizational structure when needed by B2B/governance scenarios","Organization != AccessGroup",https://www.w3.org/TR/vocab-org/
ALN-010,W3C ORG,org:Membership,"organization membership boundary","external neighbor",bridge-to,high,bridge,provisional,"Use ORG membership for Agent-Organization-Role membership semantics","Membership != GroupMembership access grouping != AccessGrant",https://www.w3.org/TR/vocab-org/
ALN-011,ODRL,odrl:Permission,Permission,"CM4DI-C0028",partially-overlaps,medium,bridge,provisional,"CM4DI Permission is a minimal authorization-semantic construct; ODRL permission belongs to a richer policy model","do not make the two exact without context/asset/action analysis",https://www.w3.org/TR/odrl-model/
ALN-012,ODRL,odrl:Constraint,AccessCondition,"CM4DI-P01 extension",partially-overlaps,medium,bridge,provisional,"ODRL provides reusable rich constraint semantics beyond CM4DI's minimal access-condition layer","policy constraint language is not identity semantics",https://www.w3.org/TR/odrl-model/
ALN-013,DPV,dpv:Purpose,"purpose/privacy boundary","external neighbor",bridge-to,high,bridge,provisional,"Purpose/legal data-processing semantics should remain DPV-owned when needed by credential/presentation/privacy scenarios","Purpose is not added to CM4DI Core from EUDI intended-use evidence",https://www.w3.org/community/reports/dpvcg/CG-FINAL-dpv-20240801/
ALN-014,DPV,dpv:LegalBasis,"legal-basis boundary","external neighbor",bridge-to,high,bridge,provisional,"Legal-basis semantics are out of CM4DI Core scope and should align to DPV","TrustFramework/legal identity does not equal legal basis for processing",https://www.w3.org/community/reports/dpvcg/CG-FINAL-dpv-20240801/
