candidate_id,candidate_label,candidate_type,current_cm4di_status,primary_evidence_ecosystems,recurrence,recommendation,rationale,gate_b_question
CAND-GOV-001,Trust Framework,Governance/context construct,Partial via TrustReference,"EU; UK; Canada; World Bank",High,Profile-first with Core context abstraction,"A trust framework is a governed rule system and cannot be represented adequately as a mere reference string/object.","Should Core contain a neutral TrustFramework/TrustContext abstraction or only a link to governed frameworks?"
CAND-GOV-002,Trust Registry,Governed information service,Missing,"Canada; UK; EU trusted-list pattern",High,Trust/Assurance/Government profile,"Registry semantics recur and expose current participant/service status.","Should TrustRegistry be a first-class information/service construct with entries and status history?"
CAND-GOV-003,Trusted List,Governed information artifact,Missing,"EU; Canada analogous registry",Medium,Trust profile subtype/mapping,"A trusted list communicates service/provider compliance status and history; it is not a TrustAnchor.","Unify under a generic TrustStatusRegistry abstraction or retain separate registry/list types?"
CAND-GOV-004,Trust Anchor,Authoritative entity/role,Missing,"EU; OpenID Federation from standards wave",Medium,Trust profile candidate,"Government evidence confirms cryptographic/authoritative roots distinct from registry/list governance.","How should TrustAnchor relate to ONTrust:Trust and TrustReference without collapsing cryptographic and social trust?"
CAND-GOV-005,Governance Authority,Institutional role,Missing,"EU; Australia; World Bank; UK",High,Government profile candidate,"Mature ecosystems distinguish authority that sets/enforces rules from identity-service operators.","Use one generic GovernanceAuthority role with jurisdiction-specific specializations?"
CAND-GOV-006,Regulator,Institutional role,Missing,"Australia; UK statutory context; World Bank oversight",Medium,Government profile,"Regulation/compliance oversight is not an IdP function.","Is Regulator a specialization of GovernanceAuthority or a distinct role?"
CAND-GOV-007,Registrar,Institutional role,Missing,"EU; UK/Canada registry analogues",Medium,Government/Trust profile,"Registration of relying parties or trusted participants is distinct from provider operation and certification.","Model Registrar as role mediating a Registration relator/event?"
CAND-GOV-008,Conformity Assessment Body,Institutional role,Missing,"EU; UK",Medium,Government/Trust profile,"Independent conformity assessment produces/grounds certification status.","Represent CAB generically or map only as external governance actor?"
CAND-GOV-009,Accreditation,Governance event/relator,Missing,"EU; Australia; UK accreditation of CAB",High,Generic governance lifecycle candidate,"Accreditation is a governed status-establishing process and differs from identity enrollment.","Create generic ConformanceAssessment/Accreditation event pattern or profile-only?"
CAND-GOV-010,Certification,Governance event/relator,Missing,"EU; UK; Canada",High,Generic governance lifecycle candidate,"Certification recurs as evidence that a service satisfies a framework/profile.","Can certification and accreditation share a generic ConformityAssessment superclass while retaining semantics?"
CAND-GOV-011,Participant Registration,Governance event/relator,Missing,"EU; UK; Canada; Australia; MOSIP",High,Generic lifecycle/profile candidate,"Ecosystem participation is established through registration/onboarding distinct from subject enrollment.","Introduce EcosystemParticipation/Registration as a reusable pattern?"
CAND-GOV-012,Participant Status,State/quality,Missing,"EU; UK; Canada; Australia; MOSIP",High,Trust profile candidate,"Trust decisions depend on current registered/certified/accredited/suspended/revoked status.","Model status as state of participation/certification rather than a loose datatype?"
CAND-GOV-013,Trustmark,Governance artifact,Missing,"EU; Canada; Australia",Medium,Mapping-only/profile,"Trustmarks externally signal governed status but are scheme-specific.","Map to CertificationStatus evidence rather than Core?"
CAND-GOV-014,Legal Identity,Identity substrate / social object,Missing,"EU; World Bank; foundational ID",High,Core candidate requiring UFO analysis,"Government digital identity repeatedly relies on a legally established identity basis distinct from its digital representation.","What is the UFO category and identity criterion for LegalIdentity, and how does it relate to IdentitySubject and DigitalIdentity?"
CAND-GOV-015,Person Identification Data,Information object,Partial via IdentityAttribute/DigitalIdentity,"EU",Medium,Profile-first / Core mapping candidate,"PID is an issued legal data set used to establish identity, not simply one attribute or generic credential.","Map PID to a credential/identity-information composite or introduce a neutral IdentityDataSet concept?"
CAND-GOV-016,Electronic Attestation of Attributes,Credential/information object,Representable by Credential/Claim,"EU; Canada credential pattern",Medium,Wallet/Government profile,"Legally governed attestations are specialized credential-like objects carrying attributes and provenance.","Can CM4DI Credential cleanly specialize to attestation types without importing legal taxonomy into Core?"
CAND-GOV-017,Attribute Provenance,Relation/information,Only partial helper evidence refs,"UK; EU; Canada",High,Core-or-profile candidate,"Attribute trust depends repeatedly on source, derivation and verification provenance.","Should provenance be generic on Claim/IdentityAttribute/Credential or modeled via Evidence/Derivation events?"
CAND-GOV-018,Attribute Binding,Relation/event,Partial via Claim about subject,"UK; EU; Canada",High,Core candidate,"Trusted attributes are explicitly bound to a user/subject; binding is more specific than merely being about a subject.","Model binding as relation, event/relator, or evidence-backed assertion?"
CAND-GOV-019,Attribute Quality / Confidence,Quality/value,Partial via assurance hints,"UK; Canada",Medium,Trust profile candidate,"Frameworks distinguish confidence/quality of attributes from authentication assurance.","Use a generic AssuranceAssessment pattern with different dimensions rather than one overloaded AssuranceLevel?"
CAND-GOV-020,Pseudonym,Identifier subtype,Missing,"EU; broader standards",Medium,Core-or-profile candidate,"User-chosen pseudonyms are explicit identity identifiers intentionally separated from legal identity data.","Should Pseudonym specialize Identifier and carry linkability/context constraints?"
