domain_id,parent_domain_id,label,ddd_level,strategic_type,definition,scope,exclusions,legacy_lineage,status,introduced_version
CM4DI-D0000,,Digital Identity Management,Domain,Core,"Problem space concerned with representing, establishing, administering, authenticating, authorizing, exchanging and governing digital identities across heterogeneous ecosystems.","All CM4DI in-scope digital-identity semantics and integration views.","Social Identity as psychosocial selfhood; full cybersecurity; full privacy law ontology.","Successor organizational frame for the mixed Wave-5 semantic-domain list.",current,journal-v2-ddd-refactor
CM4DI-D0001,CM4DI-D0000,Identity Representation,Subdomain,Core,"Defines what entity is represented or identified and how a managed digital identity, identifier and identity context represent that entity.","Party; IdentitySubject; DigitalIdentity; Identifier; IdentityContext.","Account administration; federation; social identity; trust infrastructure.","Refines former Identity Subjecthood and Digital Representation clusters.",current,journal-v2-ddd-refactor
CM4DI-D0002,CM4DI-D0000,Identity Information,Subdomain,Core,"Defines identity-related information and assertions about identity subjects.","IdentityAttribute; Claim and their semantic interpretation.","Evidence evaluation; credential lifecycle; attribute synchronization mechanics.","Refines former Identity Information cluster.",current,journal-v2-ddd-refactor
CM4DI-D0003,CM4DI-D0000,Identity Evidence,Subdomain,Core,"Defines evidential roles, proof use, subject-representation binding and assurance assessment used to support identity assertions and decisions.","Evidence; Proof; IdentityBinding; AssuranceAssessment; generic Verifier role.","Identity proofing workflow itself; cryptographic mechanisms; governance certification.","Refines former Evidence/Provenance and Trust/Assurance Core hooks.",current,journal-v2-ddd-refactor
CM4DI-D0004,CM4DI-D0000,Identity Establishment,Subdomain,Core,"Defines processes that establish confidence in an identity subject and create a managed identity relationship or representation.","IdentityProofing; Enrollment.","Provisioning; runtime authentication; account synchronization.","Successor to former Proofing and Enrollment cluster.",current,journal-v2-ddd-refactor
CM4DI-D0005,CM4DI-D0000,Credential Management,Subdomain,Supporting,"Defines credential issuance, status and lifecycle independently from presentation technology.","Credential; CredentialStatus; CredentialLifecycleEvent; CredentialIssuance; Issuer.","Wallet operation; presentation; session; generic identity proofing.","Refines former Credential Semantics and profile issuer semantics.",current,journal-v2-ddd-refactor
CM4DI-D0006,CM4DI-D0000,Authentication,Subdomain,Generic,"Defines verification of an actor or control of an authenticator and the resulting authentication outcome and session relationship.","Authentication; Authenticator; AuthenticationResult; Session.","Identity proofing; federation governance; authorization decisions.","Refines former Authentication cluster and P01 Session.",current,journal-v2-ddd-refactor
CM4DI-D0007,CM4DI-D0000,Authorization,Subdomain,Generic,"Defines access requests, principals, resources, actions, permissions, grants, delegation, policies and authorization decisions.","Authorization kernel plus permission bundles, access policies, conditions and operational access groups.","Authentication; sociological groups; full policy-language ontology.","Refines former Authorization cluster and P01 access-management constructs.",current,journal-v2-ddd-refactor
CM4DI-D0008,CM4DI-D0000,Identity Administration,Subdomain,Supporting,"Defines platform-local administration of accounts, profiles, identity sources, stores, applications, provisioning and attribute mappings.","Account; UserProfile; IdentitySource; IdentityStore; AdministrativeDomain; Application; Provisioning; AttributeMapping.","Federation relationship semantics; proofing; authorization policy semantics.","Splits former Federation and Provisioning profile area.",current,journal-v2-ddd-refactor
CM4DI-D0009,CM4DI-D0000,Federation,Subdomain,Supporting,"Defines cross-domain identity relationships, federation connections, brokers and relying interactions across independently administered identity domains.","Federation; FederationConnection; IdentityBroker; RelyingParty.","Account provisioning; wallet presentation; trust-framework governance itself.","Splits former Federation and Provisioning profile area.",current,journal-v2-ddd-refactor
CM4DI-D0010,CM4DI-D0000,Credential Exchange,Subdomain,Supporting,"Defines holding, requesting, controlling, selectively disclosing and presenting credential-derived information to verifiers.","Holder; Wallet; HolderService; CredentialPresentation; PresentationRequest; Controller; VerificationMethod; VerifiableDataRegistry; SelectiveDisclosure; VerifiablePresentation.","Credential issuance lifecycle; generic authentication; government legal identity.","Successor problem-space domain underlying former Wallet / VC profile view.",current,journal-v2-ddd-refactor
CM4DI-D0011,CM4DI-D0000,Workload Identity,Subdomain,Supporting,"Defines identity of runtime workloads and service principals, workload attestation, trust domains and short-lived workload credentials.","Workload; RuntimeInstance; ServiceAccount; ServicePrincipal; ManagedIdentity; NodeAttestation; WorkloadAttestation; TrustDomain; TrustBundle; SVID; TemporaryCredential; TokenExchange.","Physical device identity; autonomous agent governance; generic human account administration.","Split from former Machine Identity and P03 technical profile view.",current,journal-v2-ddd-refactor
CM4DI-D0012,CM4DI-D0000,Device Identity,Subdomain,Supporting,"Defines devices as identity-bearing entities and their managed identity records while preserving separation from authenticator roles and credentials.","Device; DeviceIdentityRecord.","Workload execution identity; device credential mechanisms; generic authenticator ontology.","Split from former Machine Identity and P03 technical profile view.",current,journal-v2-ddd-refactor
CM4DI-D0013,CM4DI-D0000,Agent Identity,Subdomain,Supporting,"Defines software and AI agents as identity-bearing and authorization-capable entities with managed agent identities and accountable sponsors.","SoftwareAgent; AIAgent; AgentIdentity; AgentSponsor.","General AI ontology; social identity; generic workload identity unless explicitly mapped.","Split from former Machine Identity and P03 technical profile view.",current,journal-v2-ddd-refactor
CM4DI-D0014,CM4DI-D0000,Trust Governance,Subdomain,Core,"Defines trust assessments, external trust references, governance frameworks, registries, anchors, institutional roles, conformance processes and participation status.","TrustAssessment; TrustReference; TrustFramework; GovernanceFramework; TrustRegistry; TrustedList; TrustAnchor; TrustChain; governance roles; Certification; Accreditation; EcosystemParticipation; ParticipantStatus.","Cryptographic algorithms; social/interpersonal trust theory; government identity data itself.","Refines former Trust and Assurance plus Government / Institutional Trust clusters while separating governance from legal identity.",current,journal-v2-ddd-refactor
CM4DI-D0015,CM4DI-D0000,Government Identity,Subdomain,Supporting,"Defines legally recognized identity constructs, person-identification data, government attestations and governed identity-service-provider roles.","LegalIdentity; PersonIdentificationData; GovernmentAttestation; IdentityServiceProvider.","General trust-framework governance; complete public-administration ontology; civil-registry domain details.","Split from former Government / Institutional Trust profile area.",current,journal-v2-ddd-refactor
