service_candidate_id,bounded_context,service_candidate,service_type,primary_capability,governed_concepts,external_dependencies,status
SVC-001,Identity Semantics Context,Identity Representation Service,Domain/Application Service,"manage canonical subject-representation and identifier semantics","IdentitySubject;DigitalIdentity;Identifier;IdentityContext","ISO 24760 mappings; local applications",candidate
SVC-002,Identity Semantics Context,Identity Information Service,Domain/Application Service,"manage normalized identity attributes and claims","IdentityAttribute;Claim","OIDC/VC/SCIM adapters",candidate
SVC-003,Identity Assurance Context,Evidence Service,Domain Service,"register/classify identity evidence and provenance","Evidence;Proof;IdentityBinding","NIST/EUDI proofing sources; PROV-O alignment",candidate
SVC-004,Identity Assurance Context,Identity Proofing Orchestrator,Application Service,"coordinate proofing steps and evidence evaluation","IdentityProofing;IdentityBinding;AssuranceAssessment","external verification/IDV providers; government sources",candidate
SVC-005,Identity Assurance Context,Enrollment Service,Application Service,"establish managed identity relationship after evidence decisions","Enrollment;IdentitySubject;DigitalIdentity","Identity Administration",candidate
SVC-006,Credential Lifecycle Context,Credential Issuance Service,Application Service,"issue credentials using governed lifecycle semantics","Credential;CredentialIssuance;Issuer","OID4VCI/EUDI/credential providers",candidate
SVC-007,Credential Lifecycle Context,Credential Status Service,Domain/Application Service,"manage credential lifecycle state and status history","CredentialStatus;CredentialLifecycleEvent","VC status mechanisms; issuer adapters",candidate
SVC-008,Authentication Context,Authentication Orchestrator,Application Service,"coordinate authenticators and authentication events","Authentication;Authenticator;AuthenticationResult","WebAuthn/FIDO; external IdPs; IAM providers",candidate
SVC-009,Authentication Context,Session Service,Application Service,"create and manage post-authentication session context","Session;AuthenticationResult","SSO provider/session stores",candidate
SVC-010,Authorization Context,Authorization Decision Service,Domain/Application Service,"evaluate principal-action-resource request and return decision","Authorization;AuthorizationRequest;AuthorizationContext;AuthorizationResult;Principal;Resource;Action","AuthZEN/XACML/policy engines",candidate
SVC-011,Authorization Context,Access Grant Service,Domain Service,"manage durable permissions, grants and delegated authority","Permission;PermissionBundle;AccessGrant;Delegation","IAM role/permission adapters",candidate
SVC-012,Authorization Context,Access Policy Adapter,Integration Adapter,"translate vendor/policy-engine constructs without changing Core semantics","AccessPolicy;AccessCondition;Permission","AWS IAM; Google IAM; Entra; OPA/other engines if selected",candidate
SVC-013,Identity Administration Context,Account Service,Application Service,"manage platform-local accounts and profiles","Account;UserProfile;AdministrativeDomain","directories and CIAM providers",candidate
SVC-014,Identity Administration Context,Identity Source Connector,Integration Adapter,"connect authoritative/non-authoritative identity sources","IdentitySource;AuthoritativeIdentitySource;IdentityStore","LDAP; AD; Entra; Okta; SCIM; HR sources",candidate
SVC-015,Identity Administration Context,Provisioning Service,Application Service,"create/update/synchronize local representations","Provisioning;ProvisioningConnection;AttributeMapping","SCIM; vendor provisioning APIs",candidate
SVC-016,Identity Administration Context,Application Registration Service,Application Service,"manage application/client registration semantics","Application;ApplicationRegistration","OIDC/SAML/OAuth clients; vendor APIs",candidate
SVC-017,Federation Context,Federation Broker,Application/Integration Service,"mediate cross-domain authentication and identity exchange","Federation;FederationConnection;IdentityBroker;RelyingParty","OIDC; SAML; OpenID Federation; cloud IAM",candidate
SVC-018,Credential Exchange Context,Presentation Service,Application Service,"coordinate credential presentation and request lifecycle","CredentialPresentation;PresentationRequest;VerifiablePresentation;SelectiveDisclosure","OpenID4VP; EUDI wallet",candidate
SVC-019,Credential Exchange Context,Wallet Adapter,Integration Adapter,"connect wallet/holder implementations to canonical semantics","Wallet;Holder;HolderService","EUDI wallet; external wallets",candidate
SVC-020,Credential Exchange Context,Credential Verification Service,Domain/Application Service,"verify presentations, proof material and registry status","CredentialPresentationVerifier;VerificationMethod;VerifiableDataRegistry;Verifier","VC data integrity; status lists; trust registries",candidate
SVC-021,Workload Identity Context,Workload Attestation Service,Domain/Application Service,"attest node/workload and establish identity binding","Workload;RuntimeInstance;NodeAttestation;WorkloadAttestation","SPIRE; cloud workload federation",candidate
SVC-022,Workload Identity Context,Workload Credential Service,Application Service,"issue/manage short-lived workload credentials","ServiceAccount;ServicePrincipal;ManagedIdentity;SVID;TemporaryCredential;TokenExchange","SPIFFE/SPIRE; AWS STS; Entra MI; Google WIF",candidate
SVC-023,Device Identity Context,Device Identity Service,Application Service,"manage device identity records and cross-context roles","Device;DeviceIdentityRecord","MDM/device directories; authentication systems",candidate
SVC-024,Agent Identity Context,Agent Identity Registry,Application Service,"register/manage software-agent identity representations","SoftwareAgent;AIAgent;AgentIdentity","agent runtimes/platforms pending evidence",candidate
SVC-025,Agent Identity Context,Agent Accountability Service,Domain/Application Service,"manage sponsor and delegated authority relationships","AgentSponsor;Delegation;AccessGrant","governance/agent frameworks pending evidence",candidate
