evidence_id,title,source_family,source_type,organization_or_authors,publication_or_version_date,version_or_status,persistent_identifier_or_url,doi_if_any,license_or_access_status,paradigm,identity_subject_types,concept_candidates,relation_candidates,lifecycle_candidates,trust_or_assurance_candidates,profile_destination,core_relevance,mapping_relevance,evaluation_relevance,social_identity_flag,evidence_grade_notes,extracted_claim_or_definition_summary,provenance_notes,supersedes_or_superseded_by,review_status
"CM4DI-EVID0046","AWS IAM Identity Center — External identity providers","Operational IAM","Official Product Documentation","Amazon Web Services","2026 review","Current documentation","https://docs.aws.amazon.com/singlesignon/latest/userguide/manage-your-identity-source-idp.html","","Public official documentation","enterprise workforce federation","human workforce user","IdentitySource; ExternalIdP; User; Group; Assignment; SCIMProvisioning; SAMLFederation","identity source manages user; external IdP authenticates user; SCIM provisions user/group; assignment grants access","provision; deprovision; assignment lifecycle","federation trust; SAML metadata","Enterprise/Federated Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct; Cross-platform=high","Separates authoritative identity source, authentication federation and provisioning. SAML authenticates while SCIM materializes users/groups for authorization assignments.","AWS official IAM Identity Center documentation.","","reviewed"
"CM4DI-EVID0047","AWS IAM Identity Center — Permission sets","Operational IAM","Official Product Documentation","Amazon Web Services","2026 review","Current documentation","https://docs.aws.amazon.com/singlesignon/latest/userguide/permissionsets.html","","Public official documentation","enterprise authorization","human workforce user/group","PermissionSet; Assignment; AWSAccount; IAMRole; Policy","permission set assignedTo user/group for account; permission set provisionedAs IAM role","create; provision; update; delete permission set/assignment","least privilege","Enterprise/Federated Authorization Profile","Medium","High","High","false","Authority=official; Recency=current; Directness=direct","Shows a vendor-specific permission bundle materialized into an access context; supports neutral AccessGrant/PermissionBundle patterns without treating AWS PermissionSet as Core.","AWS official IAM Identity Center documentation.","","reviewed"
"CM4DI-EVID0048","AWS IAM roles","Operational IAM","Official Product Documentation","Amazon Web Services","2026 review","Current documentation","https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles.html","","Public official documentation","enterprise/cloud authorization","human user; application; service","IAMRole; RoleSession; TemporaryCredential; TrustPolicy; PermissionPolicy","principal assumes role; role session receives temporary credential; policies constrain role","assume; session start/expire","trust policy; temporary credentials","Enterprise/Federated Authorization Profile","Medium","High","High","false","Authority=official; Recency=current; Directness=direct","An AWS role is an assumable IAM identity/security context with permissions, not an ontological social role. Role sessions and temporary credentials are distinct operational artifacts.","AWS official IAM documentation.","","reviewed"
"CM4DI-EVID0049","Amazon Cognito user pools","Operational IAM","Official Product Documentation","Amazon Web Services","2026 review","Current documentation","https://docs.aws.amazon.com/cognito/latest/developerguide/cognito-user-pools.html","","Public official documentation","CIAM/federation","human application user","UserPool; UserProfile; UserAccount; Group; ExternalIdP; OIDCProvider; Session; Token; AttributeMapping","user pool authenticates user; IdP claims mapTo profile; group membership informs access","signup; confirmation; disable; recovery; migration; sign-in","authentication assurance features","Enterprise/Federated + CIAM Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct","User pool is both a directory and OIDC IdP; external identities are normalized into local user profiles through claim/attribute mapping.","AWS official Cognito documentation.","","reviewed"
"CM4DI-EVID0050","Amazon Cognito identity pools","Operational IAM","Official Product Documentation","Amazon Web Services","2026 review","Current documentation","https://docs.aws.amazon.com/cognito/latest/developerguide/cognito-identity.html","","Public official documentation","federated authorization","authenticated or guest app user","IdentityPool; FederatedIdentity; IdentityProvider; TemporaryAWSCredential; IAMRole; GuestIdentity","external identity linkedTo pool identity; identity exchanges proof/token for temporary credential; role grants resource access","identity creation; credential issuance/expiry","provider trust; role policy","Enterprise/Federated Authorization Profile","Medium","High","High","false","Authority=official; Recency=current; Directness=direct","Distinguishes authentication source from a federated authorization identity that receives temporary cloud credentials, including guest/unauthenticated identities.","AWS official Cognito documentation.","","reviewed"
"CM4DI-EVID0051","Microsoft Entra — Application and service principal objects","Operational IAM","Official Product Documentation","Microsoft","2026 review","Current documentation","https://learn.microsoft.com/en-us/entra/identity-platform/app-objects-and-service-principals","","Public official documentation","enterprise/workload identity","application; software workload","ApplicationObject; ServicePrincipal; SecurityPrincipal; Tenant; Permission; Consent; AppInstance","application object instantiatedAs service principal in tenant; service principal granted permissionsTo resource","registration; consent; provisioning; deletion","tenant-local authorization context","Enterprise/Federated + Machine Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct","Strong evidence that a global application description and a tenant-local security principal/application instance are distinct concepts.","Microsoft Learn official documentation.","","reviewed"
"CM4DI-EVID0052","Microsoft Entra — Workload identities overview","Operational IAM","Official Product Documentation","Microsoft","2026 review","Current documentation","https://learn.microsoft.com/en-us/entra/workload-id/workload-identities-overview","","Public official documentation","workload/machine identity","application; service; script; container","WorkloadIdentity; ServicePrincipal; ManagedIdentity; FederatedCredential; DeviceIdentity","workload identity authenticatesTo resource; external token federatesTo Entra principal","create; credential rotate; review; delete","conditional access; workload risk","Machine/Workload/Device/Agent Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct","Confirms human versus non-human identity distinction and separates workload identities from device identities. Detailed machine ontology remains deferred to Issue #6.","Microsoft Learn official documentation.","","reviewed"
"CM4DI-EVID0053","Microsoft Entra — Application provisioning","Operational IAM","Official Product Documentation","Microsoft","2026 review","Current documentation","https://learn.microsoft.com/en-us/entra/identity/app-provisioning/how-provisioning-works","","Public official documentation","enterprise provisioning","human user; group","ProvisioningService; SourceIdentity; TargetAccount; SCIMEndpoint; AttributeMapping; Scope; ProvisioningCycle","provisioner synchronizes identity from source to target; attribute mapping transforms data","initial provision; incremental update; deprovision","","Enterprise/Federated Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct","Provisioning is an identity synchronization process distinct from authentication; scope and attribute mappings determine target account creation/maintenance/removal.","Microsoft Learn official documentation.","","reviewed"
"CM4DI-EVID0054","Microsoft Entra — Device identity overview","Operational IAM","Official Product Documentation","Microsoft","2025-06 updated","Current documentation","https://learn.microsoft.com/en-us/entra/identity/devices/overview","","Public official documentation","device identity","device","DeviceIdentity; DeviceObject; DeviceRegistration; DeviceJoin; ConditionalAccess","device identity represents device; registration/join establishes directory object; policy uses device attributes","register; join; hybrid join; disable/delete","device assurance/context","Machine/Workload/Device/Agent Profile","Medium","High","High","false","Authority=official; Recency=current; Directness=direct","Device identity is a directory object used in access decisions and must not be conflated with workload identity or authenticator device.","Microsoft Learn official documentation.","","reviewed"
"CM4DI-EVID0055","Microsoft Entra — External identities overview","Operational IAM","Official Product Documentation","Microsoft","2026 review","Current documentation","https://learn.microsoft.com/en-us/entra/external-id/external-identities-overview","","Public official documentation","B2B/B2C federation","guest; partner; customer","ExternalUser; GuestAccount; ExternalTenant; IdentityProvider; Entitlement; ConditionalAccess","external identity representedBy guest/local account; entitlement provisions access; policy constrains external access","invite; provision; assign; review; remove","conditional access; MFA","Enterprise/Federated Profile","Medium","High","High","false","Authority=official; Recency=current; Directness=direct","Shows that an external real-world user can have a tenant-local account representation and lifecycle distinct from the source identity.","Microsoft Learn official documentation.","","reviewed"
