relation_pattern_id,source_family,source_term_or_pattern,semantic_interpretation,cm4di_relation_or_candidate,affected_domain,disposition,anti_conflation_note,status
RLP-001,CIAM,account linking,"correlation/co-reference between managed account representations",linkedAccount,Identity Administration,existing-relation,"Does not entail same IdentitySubject or owl:sameAs",active
RLP-002,Enterprise IAM,profile sourcing/mastery,"specified IdentitySource is authoritative for selected attributes/profile data",candidate authoritativeFor relation,Identity Administration,candidate-relation,"Authoritative source is scoped by data/attribute; not global identity authority",investigate
RLP-003,Provisioning,source-target synchronization,"configured relation through which identity representations are created/updated/deactivated",ProvisioningConnection,Identity Administration,existing-relation,"Provisioning is not Enrollment or Federation",active
RLP-004,Federation,broker connection,"configured cross-domain relationship between provider/broker/client parties",FederationConnection,Federation,existing-relation,"Connection config is not the same as the enduring abstract Federation relation",active
RLP-005,Authentication,session establishment,"successful authentication establishes/updates a bounded security session",candidate establishedBy/establishes,Authentication,candidate-relation,"AuthenticationResult is an information artifact; Session is a temporally bounded relation",investigate
RLP-006,Authorization,permission assignment,"principal receives durable permission/bundle within scope",AccessGrant,Authorization,existing-relator,"Grant differs from runtime AuthorizationResult",active
RLP-007,AWS,role assumption,"principal temporarily assumes an authorization role and receives temporary credentials/session",Delegation/AccessGrant/Session pattern,Authorization,candidate-composite,"AWS IAM Role is not a UFO Role and not a single generic CM4DI class",investigate
RLP-008,Google IAM,policy binding,"members/principals are bound to a role over a resource hierarchy, optionally under conditions",AccessGrant + PermissionBundle + AccessCondition,Authorization,mapping-composite,"Binding is not itself universal identity equality/role semantics",active
RLP-009,Entra,app-service-principal,"tenant-local service principal represents an application in a directory tenant",candidate representation relation,Workload Identity,candidate-relation,"Application object and ServicePrincipal are distinct",investigate
RLP-010,VC,credential subject,"credential/claim is about a subject while holder may differ",about/represents pattern,Credential Management,existing-pattern,"Holder != IdentitySubject",active
RLP-011,VC,presentation verification,"holder/wallet presents credential-derived information to verifier",CredentialPresentation relation pattern,Credential Exchange,existing-event-pattern,"Presentation != Authentication by default",active
RLP-012,NIST,authenticator binding,"authenticator is bound/associated to subscriber/account under managed lifecycle",IdentityBinding-related candidate,Authentication,candidate-refinement,"Authenticator binding is not identity proofing and may require separate lifecycle relation",investigate
RLP-013,SPIFFE,workload-SVID,"attested workload is issued short-lived SVID containing SPIFFE ID",CredentialIssuance + IdentityBinding,Workload Identity,mapping-composite,"Workload != identifier != credential",active
RLP-014,Trust,participant-framework,"participant is admitted to governed trust ecosystem with status and scope",EcosystemParticipation,Trust Governance,existing-relator,"Participation != generic trust assessment",active
RLP-015,OpenID Federation,trust chain,"entity statements form a verification path ending in configured trust anchor",TrustChain/TrustAnchor,Trust Governance,existing-pattern,"TrustChain is not institutional TrustFramework",active
RLP-016,Agent identity,acts on behalf of,"agent/principal exercises delegated authority from another party/principal",Delegation,Agent Identity,existing-relator,"Agent identity does not become sponsor/user identity",active
RLP-017,B2B CIAM,organization membership,"account/user representation participates in customer organization with role/context",candidate ORG-aligned membership,Identity Administration,candidate-neighbor-bridge,"Do not model social group or invent organization ontology if W3C ORG is adequate",investigate
RLP-018,Relationship authorization,tuple relationship,"subject/principal has typed relation to resource/object used for permission inference",candidate mapping to AccessGrant/relationship authorization,Authorization,candidate-pattern,"Do not collapse all authorization tuples into ontological relations",investigate
