nist_construct,part,semantic_type,relation_or_lifecycle,cm4di_target,ddd_domain,current_disposition,assurance_or_constraint_signal,next_action
,,,,,,investigate,,Cross-check W3C/FIDO/EUDI/vendor evidence before #66
,,,,,,investigate,,Cross-check W3C/FIDO/EUDI/vendor evidence before #66
,,,,,,active,,Cross-check W3C/FIDO/EUDI/vendor evidence before #66
,,,,,,active,,Cross-check W3C/FIDO/EUDI/vendor evidence before #66
,,,,,,active,,Cross-check W3C/FIDO/EUDI/vendor evidence before #66
,,,,,,investigate,,Cross-check W3C/FIDO/EUDI/vendor evidence before #66
,,,,,,investigate,,Cross-check W3C/FIDO/EUDI/vendor evidence before #66
,,,,,,active,,Cross-check W3C/FIDO/EUDI/vendor evidence before #66
,,,,,,investigate,,Cross-check W3C/FIDO/EUDI/vendor evidence before #66
,,,,,,investigate,,Cross-check W3C/FIDO/EUDI/vendor evidence before #66
,,,,,,active,,Cross-check W3C/FIDO/EUDI/vendor evidence before #66
,,,,,,active,,Cross-check W3C/FIDO/EUDI/vendor evidence before #66
,,,,,,investigate,,Cross-check W3C/FIDO/EUDI/vendor evidence before #66
,,,,,,active,,Cross-check W3C/FIDO/EUDI/vendor evidence before #66
,,,,,,active,,Cross-check W3C/FIDO/EUDI/vendor evidence before #66
,,,,,,investigate,,Cross-check W3C/FIDO/EUDI/vendor evidence before #66
