candidate_id,candidate_label,candidate_type,current_cm4di_status,primary_operational_evidence,recurrence,recommendation,rationale,gate_b_question
CAND-IAM-001,Identity Source,System/role abstraction,Missing,"AWS; PingOne; Okta; Keycloak; authentik",High,Core-or-profile candidate,"Operational systems distinguish where identity data is managed from who authenticates the subject.","Should Core contain neutral IdentitySource or should it start in Enterprise/Federated Profile?"
CAND-IAM-002,Authoritative Identity Source,Role/relationship,Missing,"PingOne; AWS external IdP; Okta profile sourcing",High,Enterprise/Federated profile with possible Core relation,"One source can be authoritative for account/profile attributes while other systems cache or synchronize representations.","Model authority as a role of a source, a relation to attributes/accounts, or both?"
CAND-IAM-003,Identity Store / Directory,System/information service,Missing,"AWS; Entra; Okta; Keycloak; Auth0; PingOne",High,Enterprise/Federated profile,"Directories persist users/accounts/groups/attributes but are infrastructure, not identity subjects.","Do CQs require first-class directory semantics or only mappings to identity-source systems?"
CAND-IAM-004,Account,Platform-local identity representation,Missing,"Cognito; Entra; Okta; Auth0; PingOne; ZITADEL; Google Identity Platform",High,High-priority Core-or-profile candidate,"Platforms consistently maintain local account objects distinct from the real subject and from credentials.","What UFO category should Account have and how does it relate to DigitalIdentity and IdentitySubject?"
CAND-IAM-005,User Profile,Information object/record,Partial via fields on identity artifacts,"Cognito; Okta; Auth0; Ory",High,Enterprise/Federated profile candidate,"Profile is a mutable record of attributes associated with an account; it is not the subject itself.","Should UserProfile be modeled separately from DigitalIdentity or treated as a representation artifact?"
CAND-IAM-006,Account Link / Identity Link,Relational construct/event,Missing,"Cognito; ZITADEL; Auth0; Google Identity Platform",High,Enterprise/Federated profile candidate,"Multiple external identities/accounts can be linked to one local account experience.","Does linking assert co-reference to one IdentitySubject, account equivalence, or both?"
CAND-IAM-007,External Identity Reference,Information/relational artifact,Missing,"Cognito; Entra guest; ZITADEL federated user; Auth0",Medium,Enterprise/Federated profile,"Local systems retain references to externally managed identities without owning the source identity.","Use a generic ExternalIdentityReference or model through linked Accounts/Identifiers?"
CAND-IAM-008,Group,Collective/access-management object,Missing,"AWS; Entra; Google; Okta; PingOne; Keycloak; authentik",High,Enterprise/Federated profile candidate,"Groups recur as membership collections used for assignments and policies; they are not social-group identity concepts by default.","Model Group as an access-management collection while routing sociological group identity to future social-identity work?"
CAND-IAM-009,Group Membership,Relator/relation,Missing,"AWS; Entra; Okta; PingOne; Keycloak",High,Enterprise/Federated profile candidate,"Membership is an explicit many-to-many relation that often drives access and provisioning.","Is simple membership relation sufficient or is temporal/source provenance required?"
CAND-IAM-010,Administrative Partition,Context/governance boundary,Missing,"Entra tenant; Google tenant; Okta realm; Keycloak realm; PingOne environment/population; ZITADEL organization",High,Profile abstraction,"Tenant/realm/environment boundaries isolate identities/configuration but differ from CM4DI IdentityContext.","Introduce generic AdministrativeDomain/IdentityDomain rather than overload IdentityContext?"
CAND-IAM-011,Application / Client,Software/service participant,Missing as neutral first-class concept,"Entra; Google; Okta; PingOne; Keycloak; ZITADEL",High,Enterprise/Federated profile candidate,"Applications are relying/resource participants and can be OIDC/OAuth clients, but application identity and relying-party role are not identical.","Model Application as software entity able to play RelyingParty/Client/ResourceServer roles?"
CAND-IAM-012,Application Object / Registration,Configuration information object,Missing,"Entra; OIDC platforms",Medium,Mapping/Profile candidate,"Entra explicitly separates global application configuration from local service-principal instance.","Is a generic ApplicationRegistration useful across platforms or too implementation-specific?"
