pattern_id,pattern_label,pattern_type,evidence_ecosystems,recurrence_class,recommended_destination,reasoning
GOV-PAT-001,Trust Framework,Governance construct,"EU; UK; Canada; Australia; World Bank",Common-cross-framework,Trust/Assurance/Government profile with possible Core context abstraction,"Rules governing trusted participation recur widely; jurisdiction-specific legal content must remain external."
GOV-PAT-002,Trust Registry / Trusted List,Governed information service,"EU; UK; Canada",Common-cross-framework,Trust/Assurance/Government profile,"Status discovery is recurrent but registry/list semantics and legal effects differ."
GOV-PAT-003,Participant Registration,Governance event/status,"EU; UK; Canada; Australia; MOSIP",Common-cross-framework,Generic lifecycle pattern + profile,"Joining a governed ecosystem is recurrent and distinct from identity enrollment."
GOV-PAT-004,Accreditation / Certification,Governance event/status,"EU; UK; Canada; Australia",Common-cross-framework,Trust/Assurance/Government profile,"Third-party or regulatory conformity status recurs but accreditation and certification must not be lexically collapsed."
GOV-PAT-005,Provider Recognition / Mandate,Governance relation,"EU; Australia",Multi-framework,Trust/Assurance/Government profile,"Authority may recognise or mandate a provider; not a universal identity relation."
GOV-PAT-006,Identity Service Provider,Provider role,"UK; Australia; conceptually MOSIP",Multi-framework,Neutral provider abstraction + mappings,"A neutral identity-service role may help mapping, but existing CM4DI provider classes need ontological role review."
GOV-PAT-007,Attribute Service Provider,Provider role,"UK; Australia; Canada credentials",Multi-framework,Trust/Government profile,"Attribute creation/verification/provenance is distinct from identity proofing and credential holding."
GOV-PAT-008,Holder/Wallet Service,Provider/application role,"EU; UK; Canada",Multi-framework,Wallet/VC + Trust profile,"Holding/reuse is a recurring function distinct from issuing/verifying."
GOV-PAT-009,Orchestration / Identity Exchange,Intermediary role,"UK; Australia",Multi-framework,Enterprise/Government profile,"A mediator can route identity/attribute information without being an IdP or RP."
GOV-PAT-010,Relying Party,Role,"EU; UK; Canada; Australia; MOSIP",Common-cross-framework,Core role review + profile mappings,"Highly recurrent, but role semantics and current rigid modelling must be reviewed."
GOV-PAT-011,Governance Authority / Regulator,Institutional role,"EU; Australia; World Bank; UK",Common-governance,Trust/Assurance/Government profile,"Oversight is critical for real ecosystems but likely outside the minimal identity Core."
GOV-PAT-012,Registrar,Institutional role,"EU; UK register governance; Canada registry",Multi-framework,Trust/Assurance/Government profile,"Registry maintenance is distinct from accreditation/certification and provider operations."
GOV-PAT-013,Conformity Assessment Body,Institutional role,"EU; UK",Multi-framework,Trust/Assurance/Government profile,"Independent assessment is governance-specific and not a Core identity role."
GOV-PAT-014,Assurance / Confidence Level,Quality/value,"EU; UK; Canada; Australia; standards wave",Common-cross-framework,Core-or-profile candidate,"Recurrent but domain varies: proofing, authentication, federation, attribute quality and provider conformance."
GOV-PAT-015,Legal Identity Basis,Identity substrate,"EU; World Bank; national ID systems",Common-governmental,Core candidate requiring UFO analysis,"Digital identity often relies on a legal/foundational identity basis that must not be conflated with its digital representation."
GOV-PAT-016,Identity / Attribute Provenance,Information relation,"UK; EU; Canada",Common-credential-trust,Core-or-profile candidate,"Source and derivation affect trust and are more general than one credential format."
GOV-PAT-017,Binding to Subject/User,Relation,"EU; UK; Canada; standards wave",Common-cross-framework,Core candidate,"Repeatedly distinguishes trustworthy identity information from unattached data."
GOV-PAT-018,Pseudonym,Identifier subtype,"EU; broader identity standards",Multi-framework,Core-or-profile candidate,"A user-chosen/managed identifier preserving separation from legal identity has cross-paradigm value."
GOV-PAT-019,Selective Disclosure,Capability/process,"EU; wallet/VC standards",Wallet-dominant,Wallet/VC profile,"Important privacy capability but not universal to all identity paradigms."
GOV-PAT-020,User-controlled Sharing,Governance/capability,"EU; UK; Canada principles",Multi-framework,Wallet/VC + privacy boundary,"Relevant to consent/privacy boundary; avoid turning CM4DI into a complete privacy ontology."
GOV-PAT-021,Credential/Attestation Lifecycle,Lifecycle pattern,"EU; UK; Canada; standards wave",Common-cross-framework,Generic Core lifecycle candidate + profiles,"Issuance/status/revocation recur; mechanisms remain ecosystem-specific."
GOV-PAT-022,Provider Participation Lifecycle,Lifecycle pattern,"UK; Canada; Australia; MOSIP",Common-governance,Trust/Government profile,"Registration, approval, suspension and revocation concern ecosystem participation rather than subject identity."
GOV-PAT-023,Holder Account / Wallet Lifecycle,Lifecycle pattern,"EU; UK",Wallet-dominant,Wallet/VC profile,"Recovery/closure/revocation should not be merged with credential lifecycle."
GOV-PAT-024,Transaction/Audit Record,Information artifact,"EU; Australia; MOSIP",Multi-framework,Evaluation/operational mapping,"Useful for accountability and validation scenarios but not a likely Core identity concept."
GOV-PAT-025,Trustmark,Governance artifact,"EU; Canada; Australia",Multi-framework,Mapping/profile,"Visible assurance marker is jurisdiction/scheme specific and maps to certification status."
