extract_id,nist_construct,part,source_anchor,source_url,locator_scope,locator_confidence,closure_state,notes
NIST63-X-001,Applicant,63A,"Identity Proofing Requirements; Identity Resolution / Validation / Verification context",https://pages.nist.gov/800-63-4/sp800-63a.html,section-set,medium,covered,"Applicant is the pre-enrollment individual undergoing proofing; retain contextual-role mapping."
NIST63-X-002,CredentialServiceProvider,63A/B/C,"Roles and responsibilities across enrollment/proofing, authenticator management, and federation",https://pages.nist.gov/800-63-4/sp800-63.html,suite-role,medium,covered,"Cross-part provider role; exact responsibilities are distributed across the suite."
NIST63-X-003,IdentityEvidence,63A,"Identity Evidence Collection and Validation",https://pages.nist.gov/800-63-4/sp800-63a.html,section-heading,high,covered,"Evidence is collected and validated as part of proofing."
NIST63-X-004,IdentityResolution,63A,"Identity Resolution",https://pages.nist.gov/800-63-4/sp800-63a.html,section-heading,high,covered,"Resolution precedes validation/verification and distinguishes an identity in the relevant population/context."
NIST63-X-005,IdentityValidation,63A,"Identity Evidence and Attribute Validation",https://pages.nist.gov/800-63-4/sp800-63a.html,section-heading,high,covered,"Validation concerns authenticity/accuracy/validity of evidence and attributes."
NIST63-X-006,IdentityVerification,63A,"Identity Verification",https://pages.nist.gov/800-63-4/sp800-63a.html,section-heading,high,covered,"Verification establishes that the applicant is the person associated with the validated evidence."
NIST63-X-007,IdentityProofing,63A,"Identity Proofing Requirements",https://pages.nist.gov/800-63-4/sp800-63a.html,section-heading,high,covered,"Composite process containing resolution, validation, and verification requirements."
NIST63-X-008,Enrollment,63A,"Enrollment and post-proofing establishment of subscriber/account relationship",https://pages.nist.gov/800-63-4/sp800-63a.html,section-set,medium,covered,"Enrollment follows successful proofing and supports subsequent authenticator binding."
NIST63-X-009,SubscriberAccount,63A/B,"Enrollment record / subscriber account; Authenticator Event Management",https://pages.nist.gov/800-63-4/sp800-63b.html,cross-part-section-set,medium,covered,"Account is the managed locus to which authenticators are bound; terminology spans A/B."
NIST63-X-010,Subscriber,63A/B/C,"Definitions and role usage throughout suite",https://pages.nist.gov/800-63-4/sp800-63.html,suite-role,medium,covered,"Contextual role after enrollment; avoid universal-class overcommitment."
NIST63-X-011,IdentityAssuranceLevel,63A,"IAL Requirements / IAL requirements summary",https://pages.nist.gov/800-63-4/sp800-63a/ial/,section-table,high,covered,"IAL is the proofing assurance dimension and remains distinct from AAL/FAL."
NIST63-X-012,Authenticator,63B,"Authenticator Types; Authenticator Event Management",https://pages.nist.gov/800-63-4/sp800-63b.html,section-set,high,covered,"Authenticator participates in authentication and has a managed lifecycle."
NIST63-X-015,Authentication,63B,"Authentication / Authenticator Assurance Level Requirements",https://pages.nist.gov/800-63-4/sp800-63b.html,section-set,high,covered,"Authentication demonstrates control of bound authenticator(s) under AAL requirements."
NIST63-X-016,AuthenticationAssuranceLevel,63B,"Authenticator Assurance Levels",https://pages.nist.gov/800-63-4/sp800-63b.html,section-heading,high,covered,"AAL is the authentication assurance dimension; do not collapse into IAL/FAL."
NIST63-X-018,Session,63B,"Session Management",https://pages.nist.gov/800-63-4/sp800-63b.html,section-heading,high,covered,"Session is established/maintained after authentication and has independent lifecycle constraints."
NIST63-X-019,Federation,63C,"Federation",https://pages.nist.gov/800-63-4/sp800-63c.html,section-heading,high,covered,"Federation conveys authentication/attribute information across separately administered systems."
NIST63-X-020,IdentityProvider,63C,"Federation roles / IdP requirements",https://pages.nist.gov/800-63-4/sp800-63c.html,section-set,medium,covered,"IdP is a federation role; Rev4 wallet model requires role-sensitive treatment."
NIST63-X-021,RelyingParty,63C,"Federation roles / RP requirements",https://pages.nist.gov/800-63-4/sp800-63c.html,section-set,medium,covered,"RP consumes validated assertion and makes local decisions; role mapping already exists."
NIST63-X-028,FederationProxy,63C,"Federation Proxy",https://pages.nist.gov/800-63-4/sp800-63c.html,section-heading,medium,covered,"Intermediary federation role; effective assurance must respect chain semantics."
