repo_id,repository,owner,artifact_type,ecosystem,maintenance_status_at_review,license_record,role_in_ecosystem,reusable_artifacts,ontology_relevant_constructs,cm4di_use,selection_status,notes
IMPL-001,w3c/vc-data-model-2.0-test-suite,W3C,Conformance test suite,W3C VC 2.0,"Active; pushed 2026-08-16","GitHub metadata SPDX=NOASSERTION; inspect repository license before code reuse","Official VC 2.0 test suite","test cases; implementation reports; expected behaviors","VerifiableCredential; issuer; credentialSubject; status; validity; context","Conformance-oriented mapping and CQ/test-case design",Selected,"Use semantics/test vectors as evidence; do not copy code without license verification"
IMPL-002,w3c/vc-test-suite-implementations,W3C,Implementation registry/test harness,W3C VC,"Active public repository","License must be verified in repository before reuse","Tracks implementations participating in W3C VC testing","implementation endpoints/configuration; reports","issuer; holder; verifier; credential/presentation implementation roles","Cross-implementation coverage and interoperability scenario selection",Selected,"Useful to avoid evaluating against a single implementation"
IMPL-003,w3c/vc-bitstring-status-list-test-suite,W3C,Conformance test suite,W3C VC status,"Active public repository","License must be verified in repository before reuse","Tests VC status-list behavior","status test cases; vectors; implementation results","CredentialStatus; statusPurpose; revocation/suspension behavior","Credential lifecycle/status CQ design",Selected,"Profile-level mechanism; generic lifecycle only in CM4DI"
IMPL-004,w3c/did-test-suite,W3C,Conformance test suite,W3C DID,"Active; non-archived","License must be verified in repository before reuse","Tests DID Core implementations","DID documents; test vectors; reports","DID; DIDSubject; DIDController; verificationMethod; service","Identifier/controller/profile mapping",Selected,"DID remains profile/mapping evidence, not Core commitment"
IMPL-005,openid-certification/conformance-suite,OpenID Certification,Certification/conformance suite,OpenID/OAuth/OID4VC,"Active mirror; pushed 2026-08-19; authoritative development upstream on OpenID GitLab","GitHub metadata SPDX=NOASSERTION; inspect upstream license before reuse","OpenID certification and conformance engine","test plans; protocol traces; assertions; certification profiles","RP/client; OP/AS; token; authorization request/response; federation/VC flows","Protocol-to-CM4DI mapping and interoperability evaluation",Selected,"GitHub repository is a read-only mirror of the authoritative upstream suite"
IMPL-006,eu-digital-identity-wallet/eudi-lib-ios-wallet-kit,EU Digital Identity Wallet,EUDI reference implementation library,EUDI Wallet,"Active; pushed 2026-08-19",Apache-2.0,"Part of the EUDI Wallet Reference Implementation","wallet APIs; credential storage/presentation flows; OpenID4VP/ISO 18013-5 integration","Wallet; credential; presentation; verifier interaction; holder-controlled disclosure","Government/Wallet profile scenario validation",Selected,"Implementation detail must not define Core ontology"
IMPL-007,eu-digital-identity-wallet/eudi-wallet-reference-implementation-roadmap,EU Digital Identity Wallet,Official roadmap/reference-implementation coordination,EUDI Wallet,"Active public repository","Repository license must be verified before reuse","Tracks scope and evolution of EUDI reference implementation","roadmap; feature scope; implementation milestones","wallet lifecycle; issuance; presentation; relying-party interaction","Temporal/status context and scenario selection",Selected,"Not itself a runtime implementation"
IMPL-008,spiffe/spire,SPIFFE,SPIFFE reference implementation/runtime,Workload identity,"Active; pushed 2026-08-19",Apache-2.0,"SPIFFE Runtime Environment","registration entries; node/workload attestation; SVID issuance; Workload API; federation","Workload; SPIFFE ID; SVID; TrustDomain; TrustBundle; Attestation; federation","Machine/workload profile validation and non-human scenarios",Selected,"Strong implementation evidence for distinction among workload, identifier, credential and attestation"
IMPL-009,spiffe/spire-examples,SPIFFE,Official examples,Workload identity,"Active public repository","Repository license must be verified before reuse","Executable/tutorial scenarios around SPIRE","example deployments; workload registration; federation examples","workload binding; trust domain; SVID presentation","Scenario instantiation and reproducible examples",Selected,"Secondary to spiffe/spire itself"
IMPL-010,keycloak/keycloak,Keycloak,Production-grade IAM implementation,Enterprise IAM/SSO,"Active; pushed 2026-08-19",Apache-2.0,"Open-source IAM/SSO platform","realm/client/user/group/role/session/federation/broker/provisioning implementation","Account; Profile; Realm; Client; Session; IdentityProvider; UserFederation; role/permission constructs","Enterprise/Federated profile reverse-benchmark and scenario testing",Selected,"Vendor role/realm semantics must remain normalized; IAM Role is not UFO Role"
IMPL-011,mosip/mosip-ref-impl,MOSIP,Reference implementations,Foundational/government identity,"Active; pushed 2026-08-13",MIT,"Reference/demo implementations of MOSIP modules","reference modules; registration/credential/authentication integrations","Resident; registration; credential provider; partner; authentication; lifecycle","Government/foundational-ID profile scenario validation",Selected,"Use as implementation evidence, not universal governance vocabulary"
IMPL-012,mosip/mosip-functional-tests,MOSIP,Functional test repository,Foundational/government identity,"Active public repository","License must be verified in repository before reuse","End-to-end/functional test surface for MOSIP","test cases; workflows; fixtures","registration; issuance; authentication; partner interactions; lifecycle","Scenario/test-case discovery and reproducibility support",Selected,"Useful after Gate B for selecting runnable government-ID scenarios"
