evidence_id,title,source_family,source_type,organization_or_authors,publication_or_version_date,version_or_status,persistent_identifier_or_url,doi_if_any,license_or_access_status,paradigm,identity_subject_types,concept_candidates,relation_candidates,lifecycle_candidates,trust_or_assurance_candidates,profile_destination,core_relevance,mapping_relevance,evaluation_relevance,social_identity_flag,evidence_grade_notes,extracted_claim_or_definition_summary,provenance_notes,supersedes_or_superseded_by,review_status
"CM4DI-EVID0001","ISO/IEC 24760-1:2025 — Core concepts and terminology","Normative","International Standard","ISO/IEC","2025-09","Published; Edition 3","https://www.iso.org/standard/24760-1","","Official abstract accessible; full text restricted","cross-paradigm","individual; organization; IT component","Identity; Identifier; IdentityInformation; IdentityAttribute; Principal","identity distinguishedFrom identifier","","","Core","High","High","High","false","Authority=normative; Recency=current; Directness=direct; Cross-ecosystem=high","Foundational identity-management terminology with explicit identity/identifier distinction.","Official ISO page.","Supersedes withdrawn 2019 edition and 2023 amendment","reviewed"
"CM4DI-EVID0002","ISO/IEC 24760-2:2025 — Reference architecture and requirements","Normative","International Standard","ISO/IEC","2025-09","Published; Edition 2","https://www.iso.org/standard/24760-2","","Official abstract accessible; full text restricted","cross-paradigm","individual; organization; device; software","IdentityManagementSystem; Principal; IdentityInformation; IdentityContext; MobileIdentity","system manages identityInformation","","risk-based identity management","Core + Profiles","High","High","High","false","Authority=normative; Recency=current; Directness=direct; Cross-ecosystem=high","Reference architecture spans people organizations devices and software and explicitly recognizes mobile/federated/decentralized settings.","Official ISO page.","Supersedes ISO/IEC 24760-2:2015","reviewed"
"CM4DI-EVID0003","ISO/IEC 24760-3:2025 — Practice","Normative","International Standard","ISO/IEC","2025-09","Published; Edition 2","https://www.iso.org/standard/24760-3","","Official abstract accessible; full text restricted","cross-paradigm","person; device; organization; software","IdentityInformation; IdentityAttribute; AccessControl; Assurance","attribute supports access decision","","assurance mechanisms","Core + Trust/Assurance","High","High","Medium","false","Authority=normative; Recency=current; Directness=direct","Links identity information and attributes to access control and assurance practice.","Official ISO page.","Current edition","reviewed"
"CM4DI-EVID0004","ISO/IEC 29115:2013 — Entity authentication assurance framework","Normative","International Standard","ISO/IEC","2013-04","Published; to be revised","https://www.iso.org/standard/45138.html","","Official abstract accessible; full text restricted","authentication","entity","AuthenticationAssurance; LevelOfAssurance; AuthenticationResult","authentication achieves assurance","","four LoAs","Trust/Assurance Profile","Medium","High","Medium","false","Authority=normative; Recency=active-older; Directness=direct","Framework for authentication assurance and mapping/exchange of assurance results.","Official ISO page.","Will be replaced by ISO/IEC CD 29115.2","reviewed"
"CM4DI-EVID0005","ISO/IEC 29146:2024 — Framework for access management","Normative","International Standard","ISO/IEC","2024-01","Published; Edition 2","https://www.iso.org/standard/86013.html","","Official abstract accessible; full text restricted","authorization/access management","subject","AccessRequest; Subject; ICTResource; Context; AccessDecision","subject requests accessTo resource; decision evaluatedIn context","","","Core + Enterprise/Federated","High","High","High","false","Authority=normative; Recency=current; Directness=direct","Defines access management around a recognized subject ICT resources context and accountability.","Official ISO page.","Supersedes prior edition","reviewed"
"CM4DI-EVID0006","ISO/IEC 23220-1:2023 — Mobile eID generic system architectures","Normative","International Standard","ISO/IEC","2023-02","Published","https://www.iso.org/standard/74910.html","","Official abstract accessible; full text restricted","mobile credential","human primarily","MobileEIDSystem; MdocApp; VerificationApplication; LifecyclePhase","app interactsWith verifier","installation; issuing; operational","","Wallet/VC Profile","Low","High","High","false","Authority=normative; Recency=current; Directness=direct","Defines generic mobile eID architecture and lifecycle phases.","Official ISO page.","First edition","reviewed"
"CM4DI-EVID0007","ISO/IEC TS 23220-3:2026 — Installation and issuing phase","Normative","Technical Specification","ISO/IEC","2026-06","Published","https://www.iso.org/standard/86783.html","","Official abstract accessible; full text restricted","mobile credential","human primarily","CredentialIssuance; AttributeIssuance; CredentialDerivation; Discoverability","issuer issues credential","installation; issuance; derivation","","Wallet/VC Profile","Medium","High","High","false","Authority=normative; Recency=very-current; Directness=direct","Defines installation plus issuing/deriving attributes and credentials; revocation is explicitly outside this part.","Official ISO page.","First edition","reviewed"
"CM4DI-EVID0008","ISO/IEC TS 23220-4:2026 — Operational phase","Normative","Technical Specification","ISO/IEC","2026-04","Published","https://www.iso.org/standard/86785.html","","Official abstract accessible; full text restricted","mobile credential","human primarily","MdocReader; IssuingAuthority; HolderVerification; IssuerAuthentication","reader verifies holder; reader authenticates issuer/material","operational","issuer authentication; holder verification","Wallet/VC Profile","Medium","High","High","false","Authority=normative; Recency=very-current; Directness=direct","Defines operational interfaces plus issuer authentication mdoc authentication and holder verification.","Official ISO page.","First edition","reviewed"
"CM4DI-EVID0009","NIST SP 800-63-4 — Digital Identity Guidelines","Normative","Government Guideline","NIST","2025-07","Final","https://csrc.nist.gov/pubs/sp/800/63/4/final","10.6028/NIST.SP.800-63-4","Open","centralized/federated/wallet","user","IdentityProofing; Enrollment; Authenticator; Federation; Assertion; CSP; Subscriber","proofing precedes enrollment; authentication may feed federation","proofing; enrollment; authenticator management; federation","IAL; AAL; FAL","Core + Profiles","High","High","High","false","Authority=official; Recency=current; Directness=direct; DOI","Current NIST suite integrates proofing authentication federation assertions and subscriber-controlled wallets.","Official NIST CSRC.","Supersedes SP 800-63-3","reviewed"
"CM4DI-EVID0010","NIST SP 800-63A-4 — Identity Proofing and Enrollment","Normative","Government Guideline","NIST","2025-07","Final","https://csrc.nist.gov/pubs/sp/800/63/A/4/final","10.6028/NIST.SP.800-63A-4","Open","centralized/federated","human applicant","Applicant; IdentityEvidence; IdentityProofing; Enrollment; CSP; IAL","applicant provides evidenceTo CSP","evidence collection; validation; verification; enrollment","IAL","Core + Trust/Assurance","High","High","High","false","Authority=official; Recency=current; Directness=direct; DOI","Strong evidence that Identity Evidence and Identity Proofing are distinct from Enrollment.","Official NIST CSRC.","Supersedes SP 800-63A","reviewed"
