claim_id,planned_claim,claim_type,required_evidence,required_artifacts,current_status,claim_ceiling_if_incomplete,governed_by
PUB003-CLM-001,"CM4DI is a cross-paradigm digital-identity reference ontology","scope/reference-ontology","source-complete cross-paradigm evidence; explicit scope; foundational commitments; competitor comparison; stable release","#60;#64;#69;Gate-D/Wave8 evaluation;release manifest",planned,"cross-paradigm ontology framework / candidate reference ontology","#67"
PUB003-CLM-002,"CM4DI provides an integrated semantic layer across standards and identity ecosystems","integration/interoperability","versioned standards/framework catalogs; mappings; cross-context scenarios; CQ/mapping evaluation","#62;#63;#68;mappings;Wave8 coverage/interoperability results",planned,"ontology with documented mappings","#67"
PUB003-CLM-003,"CM4DI is well-founded in UFO and OntoUML","foundational/formal","Gate-C stereotype review; formal UFO/gUFO projection; explicit approximation notes","Gate-C registries;#69;formal manifest",partially-evidenced,"UFO-grounded conceptual ontology","#69"
PUB003-CLM-004,"CM4DI is formally operationalized in OWL with machine-checkable constraints","formal-ontology","authoritative OWL source; OWL 2 profile; SHACL allocation; deterministic build","#69;Wave7 OWL/SHACL artifacts;CI evidence",not-yet-evidenced,"conceptual ontology with planned formalization","#69"
PUB003-CLM-005,"CM4DI is logically consistent and satisfiable","logical-validation","reasoner run bound to exact release; OWL profile validation","HermiT/ROBOT or governed equivalent;SHA-bound report",not-yet-evidenced,"no consistency claim beyond conceptual QC","Gate D/Wave8"
PUB003-CLM-006,"CM4DI satisfies its competency questions","functional-semantic","52 CQs converted to executable tests plus representative instances","SPARQL CQ suite;query results;scenario data",not-yet-evidenced,"52 governed CQs are defined/traceable","Wave7/Wave8"
PUB003-CLM-007,"CM4DI has broad coverage of current EU/EUDI semantics","regulatory/coverage","exhaustive mining of EUDI legal/ARF sources; semantic reconciliation; coverage experiment","#62;EU catalog;EUDI crosswalk;Wave8 EUDI evaluation",not-yet-evidenced,"EUDI is a major mapped target with existing evidence","#60/#62"
PUB003-CLM-008,"CM4DI connects rather than duplicates mature neighboring ontologies","reuse/interoperability","qualified neighbor inventory; reuse/align/create decisions; formal mappings/import decisions","#65;neighbor catalog;alignment registry;#69",not-yet-evidenced,"neighbor candidates identified","#65/#69"
PUB003-CLM-009,"CM4DI advances beyond the strongest existing digital-identity ontologies/models","novelty/comparative","full closest-work revalidation; common comparison dimensions; evaluated CM4DI release","#64;competitor catalogs;comparative Wave8 results",not-yet-evidenced,"novelty hypothesis only","#64/#67"
PUB003-CLM-010,"CM4DI is comprehensive/complete for the declared scope","completeness","Source Completeness PASS; saturation/coverage justification; no material unresolved source gap; explicit non-scope; evaluation coverage","#60/#66;coverage ledgers;Gate-D/Wave8;limitations",not-yet-evidenced,"do not use complete/comprehensive; use scoped/integrated candidate wording","#60/#67"
PUB003-CLM-011,"CM4DI is reproducible","reproducibility","stable IDs; exact source/release; generated distributions; checksums; tests; SHA-bound evaluation and archive","manifests;CI;release package;scholarly archive",partially-evidenced,"reproducible research workflow in progress","Wave7/GateE"
