family_id,source_family,scope,primary_issues,comparison_role,readiness,blocking_items
CF-001,EU-EUDI,"EU law; implementing regulations; EUDI ARF; TS; FCAF; reference implementation","#62","regulatory-primary; architecture; conformance","in-progress","article/annex/HLR/TS/FCAF deep extraction"
CF-002,ISO-IEC,"identity terminology; assurance; access; mobile eID","#63;#92;#93","normative-primary","in-progress-partial-access","restricted full text; exact version/coverage accounting"
CF-003,NIST-800-63,"proofing; authentication; federation; assurance","#63;#92;#94","normative-primary","in-progress","clause/table locators; recovery/rebinding; C-4 changes"
CF-004,W3C-Identity,"VC; DID; proof/status; WebAuthn; Digital Credentials","#63;#92;#95","normative-primary; monitor","queued-deep-dive","section-level extraction and status control"
CF-005,OpenID,"OIDC; OID4VP; OID4VCI; Federation; HAIP; AuthZEN; Identity Assurance","#63;#92;#96","normative-industry","queued-deep-dive","flow/role/lifecycle extraction"
CF-006,Protocol-Families,"IETF; OASIS; FIDO","#63;#92;#97","normative-primary","queued-deep-dive","SCIM/OAuth/SAML/XACML/FIDO exact lifecycle and mapping"
CF-007,Global-Trust-Frameworks,"UK; Canada; Australia; MOSIP; World Bank","#63;#92;#98","government/institutional","queued-deep-dive","source coverage and governance matrix"
CF-008,Direct-Ontology-Competitors,"MFSSIA; Layouni/Pollet; SemID; semDIM; Nahar; additional competitors","#64;#99-#104","ontology-primary; scholarly-primary","in-progress","full-text/source-level extraction; formal comparison"
CF-009,Neighbor-Ontologies,"UFO/gUFO; ONTrust; PROV-O; ORG; ODRL; DPV; VC vocabularies","#65;#99;#105","reuse/alignment target","queued-deep-dive","axiom/reuse/import decisions"
CF-010,Cloud-Identity,"AWS; Microsoft Entra; Google Cloud","#72;#87-#90","official-operational","pass-1-complete","remaining API/lifecycle/CQ deepening"
CF-011,IAM-CIAM-SSO,"Okta; Auth0; Ping; Keycloak; ZITADEL; Ory; authentik; Dex","#72;#78-#86","official-operational","partial","five products need pass-1; existing four need pass-2"
CF-012,B2B-Identity,"WorkOS; Stytch; Descope; Clerk; Frontegg","#106-#111","official-operational","queued","all deep-dives"
CF-013,IGA-PAM,"SailPoint; Saviynt; CyberArk; BeyondTrust; Teleport","#112-#117","official-operational; adjacency","queued","all deep-dives"
CF-014,Externalized-Authorization,"Cerbos; OpenFGA; SpiceDB; Permit.io; OPA","#118-#123","official-operational; authorization-model","queued","all deep-dives"
CF-015,Workload-Agent-Identity,"SPIFFE/SPIRE; Aembit; Entra Agent ID; Auth0/Ping/Descope agent identity","#124-#128;#89","official-operational; emerging","partial","cross-vendor convergence and lifecycle"
CF-016,Identity-Proofing-Products,"Persona; Entrust; Jumio; Veriff","#129-#133","official-operational","queued","all deep-dives; NIST/EUDI comparison"
CF-017,Identity-Stores,"LDAP; AD; SCIM; vendor directories","#73","normative/operational/persistence","partial","schema/lifecycle/persistence comparison"
CF-018,Reference-Implementations,"W3C; OpenID; EUDI; Keycloak; ZITADEL; Ory; authentik; Dex; SPIRE; MOSIP","#75","implementation/conformance","partial","license/upstream/test-fixture/CQ mapping"
CF-019,Datasets,"LANL; RBA; ID4D; Findex; bounded additional datasets","#74","evaluation-only","partial-ready","checksum/sampling/license/Gate-D bindings"
CF-020,Social-Identity-Bridge,"SemSocialIdentity; W3C ORG boundary; Commentium integration","#135; external SemSocialIdentity work","adjacent research bridge","defined-not-executed","later bridge comparison; no scope merger"
